split,train_blocks,test_blocks,selected_trial,is_sharpe,oos_sharpe,oos_percentile,logit,below_oos_median
1,0;1;2;3,4;5;6;7,grid_1087,1.100552550318097,0.2682453217892308,0.15625,-1.6863989535702288,True
2,0;1;2;4,3;5;6;7,grid_1089,1.022787070300864,0.2723467271604381,0.29282407407407407,-0.881707470444075,True
3,0;1;2;5,3;4;6;7,grid_0045,0.65374626374103,0.8652366922636459,0.8360339506172839,1.629009832611942,False
4,0;1;2;6,3;4;5;7,grid_0043,0.7284506103008775,0.7806117902356063,0.9540895061728395,3.0340637744098866,False
5,0;1;2;7,3;4;5;6,grid_0655,1.1418779077226526,0.3220760616928615,0.3900462962962963,-0.4471176181890007,True
6,0;1;3;4,2;5;6;7,grid_1089,1.371886169916799,-0.1954891360155253,0.02662037037037037,-3.5990974440437986,True
7,0;1;3;5,2;4;6;7,grid_0045,0.8048631973778893,0.7283711594812182,0.8360339506172839,1.629009832611942,False
8,0;1;3;6,2;4;5;7,grid_1087,0.9785903426400059,0.3462282314223272,0.24266975308641975,-1.1380979375760207,True
9,0;1;3;7,2;4;5;6,grid_1087,1.304313236977557,-0.06294205447536888,0.04822530864197531,-2.9824443792270556,True
10,0;1;4;5,2;3;6;7,grid_0405,0.8083485072307343,0.6026574805086212,0.6616512345679012,0.6706613672278571,False
11,0;1;4;6,2;3;5;7,grid_1197,0.9407902450334862,0.3238296667426948,0.3422067901234568,-0.6534754074080377,True
12,0;1;4;7,2;3;5;6,grid_0657,1.3440262185595153,0.040526880955566995,0.4702932098765432,-0.11896727628669951,True
13,0;1;5;6,2;3;4;7,grid_0402,0.49434776051342044,0.8625189518782328,0.6732253086419753,0.722809139984473,False
14,0;1;5;7,2;3;4;6,grid_0655,0.8789650527547902,0.5152458801062908,0.3236882716049383,-0.7368731784540282,True
15,0;1;6;7,2;3;4;5,grid_0655,1.0737837063457067,0.3233317719854384,0.25655864197530864,-1.0639326277585124,True
16,0;2;3;4,1;5;6;7,grid_1087,1.3998151577041662,-0.15886568810571633,0.09220679012345678,-2.286982836795852,True
17,0;2;3;5,1;4;6;7,grid_0045,0.8744902374844606,0.6595373760189409,0.7943672839506173,1.351454282861945,False
18,0;2;3;6,1;4;5;7,grid_1087,1.0075554393811479,0.3249576022941328,0.33912037037037035,-0.6672166006389431,True
19,0;2;3;7,1;4;5;6,grid_1087,1.3337299360525399,-0.0816227482659439,0.07368827160493827,-2.5313671681746235,True
20,0;2;4;5,1;3;6;7,grid_0254,0.8615416329722446,0.48842926086895894,0.5304783950617284,0.12206491711314474,False
21,0;2;4;6,1;3;5;7,grid_1197,0.9715801387025218,0.298279262292307,0.4533179012345679,-0.18727381311242125,True
22,0;2;4;7,1;3;5;6,grid_0657,1.300620490536578,0.08641157028654191,0.7426697530864198,1.059891200806261,False
23,0;2;5;6,1;3;4;7,grid_0254,0.6806662244192648,0.6849431244626473,0.29205246913580246,-0.885436507051222,True
24,0;2;5;7,1;3;4;6,grid_0043,0.9203076117062904,0.5665258024069918,0.7017746913580247,0.8557631299307004,False
25,0;2;6;7,1;3;4;5,grid_0655,1.0387494443703449,0.3571650744083994,0.5991512345679012,0.4019298320494595,False
26,0;3;4;5,1;2;6;7,grid_1087,1.0012005577252492,0.21042781325975368,0.36766975308641975,-0.5422266750896276,True
27,0;3;4;6,1;2;5;7,grid_1087,1.2824955977733876,-0.0930245877549209,0.15007716049382716,-1.7339960031838968,True
28,0;3;4;7,1;2;5;6,grid_1087,1.570081617005136,-0.606688494811655,0.05594135802469136,-2.825884321022097,True
29,0;3;5;6,1;2;4;7,grid_0290,0.729724448090177,0.6336573005761906,0.6076388888888888,0.4373981552111733,False
30,0;3;5;7,1;2;4;6,grid_0043,1.0096076161668772,0.4310037023595696,0.8892746913580247,2.083353739671128,False
31,0;3;6;7,1;2;4;5,grid_1087,1.2186840072291822,-0.011735843163874106,0.1246141975308642,-1.949442161557185,True
32,0;4;5;6,1;2;3;7,grid_0290,0.8705228826944592,0.45179008581998525,0.3097993827160494,-0.8010573695619574,True
33,0;4;5;7,1;2;3;6,grid_0657,1.065036393977367,0.2849562084528374,0.7064043209876543,0.8779841868128246,False
34,0;4;6;7,1;2;3;5,grid_0657,1.2616304325122454,0.04728063846848506,0.6122685185185185,0.4568579000332328,False
35,0;5;6;7,1;2;3;4,grid_0290,0.8126182805377227,0.5182238471963976,0.41242283950617287,-0.3539584418701165,True
36,1;2;3;4,0;5;6;7,grid_0005,0.9082991670086021,0.4326325165571625,0.4378858024691358,-0.24974687627970188,True
37,1;2;3;5,0;4;6;7,grid_0045,0.4821238034731063,0.9884431001001618,0.8352623456790124,1.6233916272079658,False
38,1;2;3;6,0;4;5;7,grid_0005,0.7050860748296546,0.623620446352878,0.2820216049382716,-0.9344557968924723,True
39,1;2;3;7,0;4;5;6,grid_0043,0.9921018445184216,0.5734323862053705,0.8267746913580247,1.562939107731323,False
40,1;2;4;5,0;3;6;7,grid_0077,0.44765542579335865,0.8675555276446415,0.6392746913580247,0.5722174881378761,False
41,1;2;4;6,0;3;5;7,grid_0077,0.6267288582353472,0.7226046619055977,0.6994598765432098,0.8447271648841026,False
42,1;2;4;7,0;3;5;6,grid_0666,0.9801041074256339,0.4506013500384288,0.6832561728395061,0.7687765283304051,False
43,1;2;5;6,0;3;4;7,grid_0291,0.28517522308151566,0.8842093609895924,0.16087962962962962,-1.651697721723983,True
44,1;2;5;7,0;3;4;6,grid_0043,0.5743873495071721,0.9109249935142595,0.7403549382716049,1.047814166362972,False
45,1;2;6;7,0;3;4;5,grid_0327,0.6934243395122739,0.6836156552047802,0.5505401234567902,0.20285325147703565,False
46,1;3;4;5,0;2;6;7,grid_0147,0.6501293551706927,0.5295654052578164,0.1909722222222222,-1.4437052683332299,True
47,1;3;4;6,0;2;5;7,grid_0327,0.7824059568302558,0.5942457559706771,0.7295524691358025,0.9923531816238677,False
48,1;3;4;7,0;2;5;6,grid_1087,1.1049666578135138,0.19045520966134558,0.48032407407407407,-0.07874436751155599,True
49,1;3;5;6,0;2;4;7,grid_0402,0.4497731996806544,0.8878517501654356,0.4425154320987654,-0.2309594834171619,True
50,1;3;5;7,0;2;4;6,grid_0043,0.6928648542141229,0.8133154641719744,0.9000771604938271,2.1980822103218918,False
51,1;3;6;7,0;2;4;5,grid_0327,0.906132025502334,0.4691729487607294,0.39621913580246915,-0.42124389304569526,True
52,1;4;5;6,0;2;3;7,grid_0290,0.4757139477251998,0.8837550101106187,0.5528549382716049,0.21221258448842018,False
53,1;4;5;7,0;2;3;6,grid_0666,0.7338561244160047,0.6565584424811656,0.6199845679012346,0.48948272456542374,False
54,1;4;6;7,0;2;3;5,grid_0657,0.9444133919899189,0.5143478677345054,0.7689043209876543,1.202134722097345,False
55,1;5;6;7,0;2;3;4,grid_0291,0.4479339985558249,0.8063334300096979,0.29822530864197533,-0.8557631299307003,True
56,2;3;4;5,0;1;6;7,grid_0290,0.7395565433594501,0.626962508142821,0.5783179012345679,0.3158720099260593,False
57,2;3;4;6,0;1;5;7,grid_0398,0.8486464820739268,0.3583728452952515,0.33526234567901236,-0.6844791112625374,True
58,2;3;4;7,0;1;5;6,grid_1087,1.1337519819573358,0.16984384274926154,0.5775462962962963,0.31270874216902705,False
59,2;3;5;6,0;1;4;7,grid_0291,0.550036022962267,0.6850746364378514,0.1863425925925926,-1.473952526826202,True
60,2;3;5;7,0;1;4;6,grid_0043,0.7849445929162915,0.7221657579131834,0.7858796296296297,1.3002653024803714,False
61,2;3;6;7,0;1;4;5,grid_0043,0.8984947866109462,0.6168363405738521,0.9232253086419753,2.4869982631838803,False
62,2;4;5;6,0;1;3;7,grid_0290,0.7062620996294822,0.6521049790718672,0.2033179012345679,-1.365684956853771,True
63,2;4;5;7,0;1;3;6,grid_0290,0.8204214990431575,0.5102476896620776,0.3900462962962963,-0.4471176181890007,True
64,2;4;6;7,0;1;3;5,grid_0675,0.9255622267238587,0.4604071063194691,0.7357253086419753,1.0238677673381935,False
65,2;5;6;7,0;1;3;4,grid_0291,0.6916864473821073,0.5463527509400711,0.05131172839506173,-2.9171609139944388,True
66,3;4;5;6,0;1;2;7,grid_0290,0.7658890442473688,0.592614193125536,0.39621913580246915,-0.42124389304569526,True
67,3;4;5;7,0;1;2;6,grid_0290,0.8727997894513149,0.4394926044834645,0.7017746913580247,0.8557631299307004,False
68,3;4;6;7,0;1;2;5,grid_1087,1.0222596150894454,0.2500449649350561,0.7249228395061729,0.9690135789991695,False
69,3;5;6;7,0;1;2;4,grid_0290,0.7025359768055036,0.6529974170493594,0.47646604938271603,-0.09420541077279175,True
70,4;5;6;7,0;1;2;3,grid_0290,0.8450906122310404,0.4677445147443566,0.19791666666666666,-1.3993664426872434,True
