window_end,window_start,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
2017-02-28,2014-01-21,756,0.3037919990143947,0.09245302236667108,0.27427070409459675,0.6701131409283192,1.050430344832417,0.3370867576683792,0.1484278117853908,39.43589490058095,13.14529830019365,62589.8678876585,0.008420655577847437,0.5586935560188188,423,,0.5277777777777778
2017-03-31,2014-02-28,756,0.27307979966279006,0.0838068104266716,0.2742707040945963,0.626657337098729,0.984898060470389,0.3055623848100325,0.14529851887862383,38.72726109148358,12.909087030494526,61832.66221150759,0.008342973395695582,0.5677653087030918,446,,0.5251322751322751
2017-04-28,2014-03-26,756,0.28954745268076776,0.08845992212137133,0.27427070409459664,0.6619868623481202,1.0428641521977766,0.322527782955854,0.14365756804825802,38.93254179600171,12.97751393200057,62493.500143949524,0.008469618931949743,0.5740788136026798,464,,0.5277777777777778
2017-05-31,2014-04-24,756,0.3231264642840279,0.09782669084000917,0.27427070409459686,0.7228948871189145,1.14333344449471,0.35667932950749426,0.14334892353345322,40.87378027217404,13.624593424058013,66010.29332449207,0.008383406875249796,0.5875209147653057,484,,0.5238095238095238
2017-06-30,2014-05-28,756,0.34790651587301724,0.10463786058843705,0.27427070409459675,0.7667401014336783,1.213337302132463,0.38151307823363867,0.14319226409050428,39.39126293183118,13.13042097727706,64119.744416408066,0.008318636042168839,0.6065217311332256,506,,0.5251322751322751
2017-07-31,2014-06-27,756,0.34605743194285243,0.10413250832144261,0.27427070409459675,0.7637814847269566,1.2113633575781824,0.37967054726168276,0.143136217959509,39.78595296293759,13.261984320979197,65245.1617587964,0.008674333692395439,0.6180347781333726,527,,0.5238095238095238
2017-08-31,2014-07-30,756,0.3628883062034225,0.10871542173323356,0.27427070409459653,0.7941644098150402,1.2594977737736093,0.39638000016121805,0.14282172017857586,37.039118183456914,12.346372727818972,61266.10613870742,0.008960123946856979,0.62544015057546,550,,0.5224867724867724
2017-09-29,2014-08-28,756,0.35742143953780325,0.10723099542035142,0.27427070409459675,0.7893160438648325,1.2465485281315303,0.39096773304438354,0.14182110448325472,35.73573861654335,11.911912872181118,59558.74349915171,0.008776571995293398,0.6255808884516424,571,,0.5251322751322751
2017-10-31,2014-09-23,756,0.3812281342795456,0.11366645568374145,0.27427070409459653,0.835946392622241,1.3225031506107146,0.41443163264180655,0.14064629057429825,35.036445309625734,11.678815103208578,58764.72364479366,0.009049342854746406,0.6268644726599216,588,,0.5251322751322751
2017-11-30,2014-10-30,756,0.33449833514806215,0.10096288558258815,0.2742707040945972,0.7527626206772841,1.1766118421945448,0.3681139985981354,0.14101493203942816,33.06585534046862,11.021951780156208,55944.53792015201,0.008839390404880635,0.627047934009961,610,,0.5277777777777778
2017-12-29,2014-11-28,756,0.24347264550756997,0.07533903725023827,0.2742707040945972,0.5895110028452208,0.9121615115154544,0.2746886055473628,0.13982549421774285,32.80076344961382,10.933587816537939,55902.03760153737,0.008889718879881119,0.6260657329809863,631,,0.5277777777777778
2018-01-31,2014-12-30,756,0.09815533498806506,0.03170275895998742,0.27427070409459675,0.30631938574458345,0.44847714378498493,0.11558930095958425,0.12928861027646416,32.187220916198875,10.729073638732958,55092.051358341516,0.008763183928431999,0.6310787994855245,653,,0.5304232804232805
2018-02-28,2015-01-22,756,0.01666914372407069,0.005525790637028516,0.27427070409459686,0.10743719846729542,0.15559776843659437,0.020147214246850998,0.1287286765750487,32.36145762960408,10.78715254320136,55432.295613904804,0.008959410928056008,0.6374868596916736,668,,0.5277777777777778
2018-03-30,2015-03-02,756,-0.019410794381440444,-0.006512586502286477,0.2742707040945974,0.014425949378436095,0.020849701080335955,-0.023745104398901647,0.12934587314511392,33.925063697011055,11.308354565670351,58153.07482146414,0.009000997353760922,0.6474197464850056,690,,0.5277777777777778
2018-04-27,2015-03-26,756,-0.0622229774298797,-0.021186698606219023,0.2742707040945972,-0.10189303518370241,-0.14659816474701157,-0.07724739933912751,0.12862740343120485,35.742619258308096,11.914206419436033,61222.794321676,0.008762457182344757,0.6450130351894814,708,,0.5238095238095238
2018-05-31,2015-04-28,756,-0.16159239659709124,-0.057057806474996364,0.27427070409459653,-0.40588520566212477,-0.5812336880442722,-0.20803463739720815,0.1253096515365039,38.736619923884035,12.912206641294679,66110.35971275256,0.008597765686464654,0.6377960734853368,730,,0.5158730158730159
2018-06-29,2015-05-27,756,-0.19049970743149103,-0.06802197989090475,0.2742707040945971,-0.5133873419744981,-0.7260353915163611,-0.2480103739677705,0.1225173819340468,38.81066383059908,12.936887943533028,65916.84978401691,0.008605341958599721,0.6263003520827596,750,,0.5145502645502645
2018-07-31,2015-06-29,756,-0.08052701147318142,-0.027596921380305672,0.1671854460129526,-0.19068207229619247,-0.2780073939117549,-0.16506772592015945,0.11310867517436433,37.842603354713994,12.614201118237999,63891.64000686296,0.008588957114121292,0.611599635923739,566,,0.5145502645502645
2018-08-31,2015-07-30,756,-0.038551580803826924,-0.013019293334798121,0.16734227282134717,-0.07903426981326671,-0.11430319630200879,-0.07780038549313466,0.10100973632763192,36.15345482482719,12.051151608275731,60973.97411211376,0.00836656618754296,0.6041747777915384,476,,0.5171957671957672
2018-09-28,2015-08-26,756,0.02171019496531179,0.00718498402053469,0.16734227282134684,0.12234930385281317,0.17851598428331567,0.04293585774471533,0.09754293628527172,38.15154841192539,12.71718280397513,64286.43301077207,0.00847506340675931,0.5984020706917769,205,,0.5198412698412699
2018-10-31,2015-09-23,756,0.004863743454860625,0.001618626453117722,0.16734227282134673,0.06518106398696527,0.09428637434628022,0.00967254971399698,0.09644664082153975,42.150987689150135,14.050329229716711,71037.12563161438,0.008577416419305392,0.5994141932824258,205,,0.5211640211640212
2018-11-30,2015-10-30,756,-0.01048085081500949,-0.003505893866148968,0.17878912463950125,0.011149390395996401,0.016052857315741145,-0.01960910023592332,0.09548102185243128,42.64637451145225,14.215458170484084,71856.80610797822,0.008674101695550374,0.6094683425034287,205,,0.5198412698412699
2018-12-28,2015-11-27,756,0.017297396366670492,0.005732870183229766,0.17878912463950136,0.10793548383201995,0.15452523524067702,0.03206498267044569,0.09453055781887235,41.03612136089059,13.678707120296863,69163.18138585454,0.008762789427257273,0.6146292671541211,224,,0.5291005291005291
2019-01-31,2015-12-29,756,0.0051106668186593485,0.0017006617163664028,0.17878912463950136,0.0650519907600329,0.0930399778807372,0.009512109418263026,0.0932731447682346,41.091476269663985,13.697158756554662,69284.38227600278,0.008344828621791197,0.6233576176774721,246,,0.5264550264550265
2019-02-28,2016-01-20,756,0.20612370084572706,0.0644631150657422,0.17878912463950147,0.7164711837927114,1.1467292647258898,0.3605538938440543,0.09327069956140047,40.29276439868202,13.430921466227339,68095.0341168246,0.008215773463936867,0.6329717691078427,261,,0.5304232804232805
2019-03-29,2016-02-25,756,0.1910322465975407,0.060004819782742524,0.17878912463950125,0.6431421723790909,1.0207068020857515,0.33561783975245885,0.09809688933534579,41.46074401489731,13.82024800496577,70436.74931926493,0.008407967104819303,0.6389984219674937,282,,0.5277777777777778
2019-04-30,2016-03-25,756,0.15880496774681818,0.050356634031681446,0.17878912463950158,0.5453299309239269,0.8644778875649044,0.2816537870142672,0.09910265464965348,41.96791943490124,13.989306478300414,71623.99771491135,0.008516831839136903,0.6377382179624403,303,,0.5251322751322751
2019-05-31,2016-04-25,756,0.11867204595699987,0.03808821795592032,0.17878912463949925,0.41625579564671483,0.6467002392900599,0.2130343108548652,0.10241334883439582,44.76693378026273,14.922311260087577,76628.01653572229,0.008423045662826345,0.6377489254118124,323,,0.5238095238095238
2019-06-28,2016-05-23,756,0.15690324403841616,0.04978173665497132,0.1787891246395008,0.5195670859706851,0.8175862107346245,0.2784382817207036,0.10390477830291343,46.67330118098341,15.557767060327803,80126.85583608152,0.008531354946892106,0.6461320757951758,342,,0.5238095238095238
2019-07-31,2016-06-27,756,0.1254525456919242,0.04018134956744435,0.1787891246395008,0.4316574493775587,0.6761784051404357,0.22474157557661018,0.10374010502164771,48.361556632120326,16.120518877373442,83393.72867278123,0.008757601726535055,0.6530204480796281,365,,0.5224867724867724
