symbol,active_net_pnl_contribution,active_return_contribution,share_of_positive_contribution
SZ159949,94715.24930999998,0.06333089212479227,0.10639323434887307
SZ159583,65984.90308000003,0.03471875694584099,0.07412055933993002
SZ159869,59808.25950000001,0.04004304094529467,0.06718236203079805
SH588170,57211.55549999997,0.029511461218320496,0.06426549553655032
SH510060,47316.11467000001,0.034599006239440365,0.05314998918586981
SZ159667,45652.736999999994,0.023269371160122697,0.05128152416525027
SH515880,39996.78784999997,0.021177009489034518,0.044928220681755886
SH512690,39482.889857668415,0.024754096094301074,0.04435096126547545
SH510230,34294.40385161249,0.030998604705354062,0.03852275713172067
SH515700,34073.570150000014,0.02017517693494279,0.03827469557944743
SZ159938,28918.688319999997,0.019918633710066587,0.03248423887289432
SH515210,24054.95875000001,0.0142598597398465,0.027020832254421548
SH516510,21419.254489999992,0.015854144605094392,0.02406015693496274
SH516150,19633.67218,0.01111512918546464,0.02205441996503456
SH510300,17853.746754602493,0.014386935403916714,0.02005503734937965
SZ159931,17195.988039999997,0.014619729807531142,0.019316179799222434
SZ159928,15251.997660000005,0.010729711463635138,0.017132503721948387
SH510420,15087.817919999992,0.010701959199525338,0.016948081322383273
SZ159967,14253.13796000001,0.0094655047032739,0.016010488894157352
SH512980,13452.058500000016,0.010542364728296264,0.015110639763835214
SH512760,11832.12528000001,0.008475347382348786,0.0132909757080411
SH562500,10323.378660000011,0.006467225307600533,0.011596207084359905
SH510180,10025.105323166797,0.008838994671693488,0.011261157921137506
SZ159814,9797.55426000001,0.005407246209246954,0.011005550785367836
SZ159909,9752.185799999994,0.007535966472751585,0.010954588588340503
SH560860,9335.68872000001,0.005095323166619037,0.010486739200191542
SH513090,9225.045289999991,0.006739465661092944,0.01036245390861588
SH510120,9159.72299999999,0.006202790873773871,0.010289077659713989
SZ159887,8147.651500000024,0.005408948888159419,0.009152222073504352
SH588020,7792.842329999994,0.005025552773789532,0.008753666450751462
SH510160,7414.657339999985,0.005930663351582414,0.008328852869396627
SH512290,6866.171200000011,0.0045531482585133435,0.007712740734811716
SZ159622,6365.674119999994,0.0037128005481026683,0.007150534506022891
SH561330,6277.776510000016,0.0035389263150476013,0.007051799496744442
SH518880,6121.8210390915065,0.004886884675455463,0.006876615383465587
SZ159546,5800.447200000009,0.0035688267674905557,0.006515617524882653
SH510500,5091.146912499977,0.005161760969999844,0.005718863546389494
SZ159852,4713.803600000005,0.0033059451130604558,0.005294995417769672
SZ159902,4445.861951318467,0.003589588274471122,0.004994017710086137
SH510130,4373.090219999998,0.003073191926272246,0.004912273535620648
SH512580,3973.962139999978,0.001988701057381051,0.0044639346708653755
SZ159516,3541.5384899999917,0.0019636326838084724,0.00397819503477083
SH515220,3337.4944689480885,0.005739759681674282,0.003748993258843397
SH515980,3303.6529800000135,0.002175490734819909,0.003710979259085206
SH588200,3018.2370400000163,0.004745200663655607,0.0033903727547203643
SH515230,2880.2123200000024,0.0019761274717042645,0.0032353301772275267
SZ159748,2454.156810000002,0.0014132862574734342,0.002756743845551443
SZ159861,2135.3598000000025,0.0014004267777462521,0.0023986405280630625
SZ159903,1930.1160600000085,0.0015142435754595155,0.002168091112973754
SH513800,1425.852874609505,0.0010120168579853149,0.0016016544341115606
SZ159939,981.686429999987,0.0006833305421869462,0.001102724167068945
SZ159905,809.015780000015,0.002306081343133131,0.0009087639646258135
SH516110,772.6712500000258,0.0006089515896506078,0.0008679383095622603
SH512010,573.4135000000164,0.00042255417031157225,0.000644112931431287
SH515400,538.1815500000012,0.00032908617923576824,0.0006045370327219791
SH512220,42.42896000001474,0.00018000742654787508,4.766026925279843e-05
SH511010,0.0,0.0,0.0
SH510110,-70.96075000000269,-6.14700049800513e-05,0.0
SH517180,-350.0596121666759,-4.2254574585722025e-05,0.0
SZ159996,-1500.0655899999874,-0.0010037729309844373,0.0
SH515300,-1660.1101113769114,-0.0010949403824495863,0.0
SH512070,-1806.6021000000576,-0.0007986522623970311,0.0
SH510630,-2423.8655600000043,-0.0007459248536740812,0.0
SH516070,-3174.517060000003,-0.0020085783824750625,0.0
SH512660,-3838.064320000004,-0.0021273553789033155,0.0
SH512890,-4126.92969999997,-0.0026815368526859826,0.0
SH512400,-4212.253089999964,-0.001917099407595248,0.0
SH562800,-4233.011819999993,-0.0004208797733407332,0.0
SH510050,-4460.288662159728,-0.0033048085409554543,0.0
SH512040,-4519.98743841535,-0.002893809572305011,0.0
SZ159851,-4564.565440000036,-0.002350563355503536,0.0
SH512170,-4668.787199999978,-0.002666708505041521,0.0
SZ159933,-5598.5292,-0.004305521710930176,0.0
SH515650,-6532.553420000005,-0.003592691715641303,0.0
SZ159652,-6609.618299999987,-0.004200464805136599,0.0
SZ159738,-6747.114590000009,-0.004083254919682902,0.0
SH510150,-7051.233599999997,-0.005909667056587095,0.0
SH515900,-7077.191500000006,-0.004266772348559875,0.0
SH515250,-7291.7888400000065,-0.004452081178920965,0.0
SH517390,-7577.532850000022,-0.004413862977423813,0.0
SH512800,-8019.432679999995,-0.0064515389733959365,0.0
SH515100,-8271.435900000002,-0.00538405521573152,0.0
SZ159363,-9455.60760000001,-0.004579060751460474,0.0
SH561980,-10064.679680000008,-0.005473082244426711,0.0
SH510170,-10237.555679999992,-0.005635188735724219,0.0
SH510030,-10357.809700000002,-0.00769234560671774,0.0
SZ159781,-10871.48682000001,-0.005679280330407491,0.0
SZ159611,-10928.402100000027,-0.0071563753323448,0.0
SH510210,-10998.155700000014,-0.00782538481683347,0.0
SH517800,-11034.806419999994,-0.006525739103808186,0.0
SH515080,-11712.360638735245,-0.007151351878081209,0.0
SZ159796,-13573.543679999992,-0.007050720753194158,0.0
SZ159907,-13720.53005999999,-0.009275716024032748,0.0
SZ159930,-14129.208389999987,-0.009486442016032447,0.0
SH512100,-15462.495840000012,-0.009188836396641026,0.0
