trial,lookbacks,top_k,active_sleeve,minimum_excess_horizons,minimum_dispersion_iqr,rank_buffer,maximum_pair_correlation,minimum_adv20,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,average_active_exposure,maximum_active_exposure,gate_open_ratio,decision_count
grid_0001,42/84/168,2,0.2,1,0.05,1,0.85,20000000.0,1000000.0,3053,1.1067138399431813,0.06343505487879186,0.29015994289362534,0.560021514173648,0.8745668435963991,0.2186209931191212,0.12348484266375796,74.91462579808953,6.183585228011321,141801.00967382285,0.009559043202447192,0.15500088227939926,1228,-0.2161487038640264,0.5237471339665902,0.15500088227939926,0.2624378239680476,0.8087091757387247,643
grid_0002,42/84/168,2,0.2,1,0.05,1,0.9,20000000.0,1000000.0,3053,0.9882129474644297,0.0583654488209866,0.2894324397345065,0.5181523425824678,0.8046093972465453,0.20165482789187225,0.12448009562294339,72.87519197585469,6.0152467664315035,133538.89224706765,0.008161511172628711,0.15518955187945416,1231,-0.21415112068661057,0.5280052407468064,0.15518955187945416,0.25188898096657514,0.8087091757387247,643
grid_0003,42/84/168,2,0.2,1,0.05,1,0.95,20000000.0,1000000.0,3053,1.0677023499684615,0.06179563889412676,0.2765780096260769,0.5416943138162369,0.8411658555120057,0.22342932823065775,0.12521635545394136,73.06851146010254,6.031203697329132,138436.9961861885,0.00983407242122879,0.15431603071138328,1227,-0.19233871273710268,0.5270226007206027,0.15431603071138328,0.2518223351460406,0.8087091757387247,643
grid_0004,42/84/168,2,0.2,1,0.05,2,0.85,20000000.0,1000000.0,3053,1.2306271029485516,0.06846371099452764,0.29218810817707785,0.5967940712313146,0.9299741756994182,0.23431381729278267,0.12386300714671394,66.70004330442899,5.505539113238161,129774.62842849581,0.009221441559261356,0.15504256589012866,1228,-0.21342336933977957,0.5263675073698002,0.15504256589012866,0.25779060857184294,0.8087091757387247,643
grid_0005,42/84/168,2,0.2,1,0.05,2,0.9,20000000.0,1000000.0,3053,1.0906064203803059,0.0627615617950068,0.29293891500318014,0.5507951600769813,0.854766389447022,0.2142479492501891,0.12467532878303947,64.31375607053772,5.308570759834755,120028.79639181648,0.007880965294149347,0.1552597525201903,1230,-0.21293697330274997,0.5289878807730102,0.1552597525201903,0.2520646832311999,0.8087091757387247,643
grid_0006,42/84/168,2,0.2,1,0.05,2,0.95,20000000.0,1000000.0,3053,1.200772893528257,0.06727604802203446,0.2821601679690522,0.5847461960921857,0.910139726425736,0.23843212352146534,0.12468808003122618,61.190085752654184,5.050737507261334,117529.29931278416,0.00888261606871975,0.15363684495277957,1227,-0.19341274613951132,0.5289878807730102,0.15363684495277957,0.25218898667377976,0.8087091757387247,643
grid_0007,42/84/168,2,0.2,1,0.05,3,0.85,20000000.0,1000000.0,3053,1.3721935035260264,0.07390422586707168,0.2950919359399323,0.6402471683584992,0.9991980996456501,0.25044474913104814,0.12327742867750024,59.729864098967916,4.930208238761845,119865.70488493277,0.007396022265185419,0.15265628264959966,1225,-0.21105974623334667,0.5240746806419915,0.15265628264959966,0.25224437695786756,0.8087091757387247,643
grid_0008,42/84/168,2,0.2,1,0.05,3,0.9,20000000.0,1000000.0,3053,1.1980157124407453,0.06716561720577308,0.30071108865544716,0.5839843271047118,0.906512688362641,0.22335597102882698,0.12467293925686615,57.868925591618286,4.776603095017297,111122.2162488857,0.00751529360391985,0.15526592123830307,1230,-0.2178137829058382,0.5250573206681952,0.15526592123830307,0.252072845466061,0.8087091757387247,643
grid_0009,42/84/168,2,0.2,1,0.05,3,0.95,20000000.0,1000000.0,3053,1.22381358174423,0.06819394484835861,0.2901593963201582,0.5874002697450543,0.9110658312430484,0.2350223556886446,0.12583760445310532,56.011208824559574,4.623263879393715,108785.06486797653,0.00904462622504828,0.15639957606659266,1227,-0.20225071332800204,0.5296429741238127,0.15639957606659266,0.2579031284216799,0.8087091757387247,643
grid_0010,42/84/168,2,0.2,1,0.1,1,0.85,20000000.0,1000000.0,3053,1.197609810226457,0.06714934925005367,0.26287931932225983,0.6135090622599644,0.964497644559793,0.2554379303140856,0.11715504376897633,65.98352679628319,5.446396578009618,127729.46397297006,0.011117444484930841,0.09601004368856259,1227,-0.18330719687074248,0.5286603340976089,0.09601004368856259,0.2520051310386374,0.4976671850699845,643
