trade_date,symbol,active_net_pnl_contribution,active_return_contribution
2014-01-06,SH510300,0.0,0.0
2014-01-06,SH511010,0.0,0.0
2014-01-06,SH518880,0.0,0.0
2014-01-07,SH510300,0.0,0.0
2014-01-07,SH511010,0.0,0.0
2014-01-07,SH518880,0.0,0.0
2014-01-08,SH510300,0.0,0.0
2014-01-08,SH511010,0.0,0.0
2014-01-08,SH518880,0.0,0.0
2014-01-09,SH510300,0.0,0.0
2014-01-09,SH511010,0.0,0.0
2014-01-09,SH518880,0.0,0.0
2014-01-10,SH510300,0.0,0.0
2014-01-10,SH511010,0.0,0.0
2014-01-10,SH518880,0.0,0.0
2014-01-13,SH510300,0.0,0.0
2014-01-13,SH511010,0.0,0.0
2014-01-13,SH518880,0.0,0.0
2014-01-14,SH510300,0.0,0.0
2014-01-14,SH511010,0.0,0.0
2014-01-14,SH518880,0.0,0.0
2014-01-15,SH510300,0.0,0.0
2014-01-15,SH511010,0.0,0.0
2014-01-15,SH518880,0.0,0.0
2014-01-16,SH510300,0.0,0.0
2014-01-16,SH511010,0.0,0.0
2014-01-16,SH518880,0.0,0.0
2014-01-17,SH510300,0.0,0.0
2014-01-17,SH511010,0.0,0.0
2014-01-17,SH518880,0.0,0.0
2014-01-20,SH510300,0.0,0.0
2014-01-20,SH511010,0.0,0.0
2014-01-20,SH518880,0.0,0.0
2014-01-21,SH510300,0.0,0.0
2014-01-21,SH511010,0.0,0.0
2014-01-21,SH518880,0.0,0.0
2014-01-22,SH510300,0.0,0.0
2014-01-22,SH511010,0.0,0.0
2014-01-22,SH518880,0.0,0.0
2014-01-23,SH510300,0.0,0.0
2014-01-23,SH511010,0.0,0.0
2014-01-23,SH518880,0.0,0.0
2014-01-24,SH510300,0.0,0.0
2014-01-24,SH511010,0.0,0.0
2014-01-24,SH518880,0.0,0.0
2014-01-27,SH510300,0.0,0.0
2014-01-27,SH511010,0.0,0.0
2014-01-27,SH518880,0.0,0.0
2014-01-28,SH510300,0.0,0.0
2014-01-28,SH511010,0.0,0.0
2014-01-28,SH518880,0.0,0.0
2014-01-29,SH510300,0.0,0.0
2014-01-29,SH511010,0.0,0.0
2014-01-29,SH518880,0.0,0.0
2014-01-30,SH510300,0.0,0.0
2014-01-30,SH511010,0.0,0.0
2014-01-30,SH518880,0.0,0.0
2014-02-07,SH510300,0.0,0.0
2014-02-07,SH511010,0.0,0.0
2014-02-07,SH518880,0.0,0.0
2014-02-10,SH510300,0.0,0.0
2014-02-10,SH511010,0.0,0.0
2014-02-10,SH518880,0.0,0.0
2014-02-11,SH510300,0.0,0.0
2014-02-11,SH511010,0.0,0.0
2014-02-11,SH518880,0.0,0.0
2014-02-12,SH510300,0.0,0.0
2014-02-12,SH511010,0.0,0.0
2014-02-12,SH518880,0.0,0.0
2014-02-13,SH510300,0.0,0.0
2014-02-13,SH511010,0.0,0.0
2014-02-13,SH518880,0.0,0.0
2014-02-14,SH510300,0.0,0.0
2014-02-14,SH511010,0.0,0.0
2014-02-14,SH518880,0.0,0.0
2014-02-17,SH510300,0.0,0.0
2014-02-17,SH511010,0.0,0.0
2014-02-17,SH518880,0.0,0.0
2014-02-18,SH510300,0.0,0.0
2014-02-18,SH511010,0.0,0.0
2014-02-18,SH518880,0.0,0.0
2014-02-19,SH510300,0.0,0.0
2014-02-19,SH511010,0.0,0.0
2014-02-19,SH518880,0.0,0.0
2014-02-20,SH510300,0.0,0.0
2014-02-20,SH511010,0.0,0.0
2014-02-20,SH518880,0.0,0.0
2014-02-21,SH510300,0.0,0.0
2014-02-21,SH511010,0.0,0.0
2014-02-21,SH518880,0.0,0.0
2014-02-24,SH510300,0.0,0.0
2014-02-24,SH511010,0.0,0.0
2014-02-24,SH518880,0.0,0.0
2014-02-25,SH510300,0.0,0.0
2014-02-25,SH511010,0.0,0.0
2014-02-25,SH518880,0.0,0.0
2014-02-26,SH510300,0.0,0.0
2014-02-26,SH511010,0.0,0.0
2014-02-26,SH518880,0.0,0.0
2014-02-27,SH510300,0.0,0.0
2014-02-27,SH511010,0.0,0.0
2014-02-27,SH518880,0.0,0.0
2014-02-28,SH510300,0.0,0.0
2014-02-28,SH511010,0.0,0.0
2014-02-28,SH518880,0.0,0.0
2014-03-03,SH510300,0.0,0.0
2014-03-03,SH511010,0.0,0.0
2014-03-03,SH518880,0.0,0.0
2014-03-04,SH510300,0.0,0.0
2014-03-04,SH511010,0.0,0.0
2014-03-04,SH518880,0.0,0.0
2014-03-05,SH510300,0.0,0.0
2014-03-05,SH511010,0.0,0.0
2014-03-05,SH518880,0.0,0.0
2014-03-06,SH510300,0.0,0.0
2014-03-06,SH511010,0.0,0.0
2014-03-06,SH518880,0.0,0.0
2014-03-07,SH510300,0.0,0.0
2014-03-07,SH511010,0.0,0.0
2014-03-07,SH518880,0.0,0.0
2014-03-10,SH510300,0.0,0.0
2014-03-10,SH511010,0.0,0.0
2014-03-10,SH518880,0.0,0.0
2014-03-11,SH510300,0.0,0.0
2014-03-11,SH511010,0.0,0.0
2014-03-11,SH518880,0.0,0.0
2014-03-12,SH510300,0.0,0.0
2014-03-12,SH511010,0.0,0.0
2014-03-12,SH518880,0.0,0.0
2014-03-13,SH510300,0.0,0.0
2014-03-13,SH511010,0.0,0.0
2014-03-13,SH518880,0.0,0.0
2014-03-14,SH510300,0.0,0.0
2014-03-14,SH511010,0.0,0.0
2014-03-14,SH518880,0.0,0.0
2014-03-17,SH510300,0.0,0.0
2014-03-17,SH511010,0.0,0.0
2014-03-17,SH518880,0.0,0.0
2014-03-18,SH510300,0.0,0.0
2014-03-18,SH511010,0.0,0.0
2014-03-18,SH518880,0.0,0.0
2014-03-19,SH510300,0.0,0.0
2014-03-19,SH511010,0.0,0.0
2014-03-19,SH518880,0.0,0.0
2014-03-20,SH510300,0.0,0.0
2014-03-20,SH511010,0.0,0.0
