date,code,amount,avg_cost,last_price,market_value
2014-01-02,159915.XSHE,170800,1.2746552818999999,1.306,223064.80000000002
2014-01-02,510230.XSHG,271900,0.4986475493999999,0.498,135406.2
2014-01-02,159902.XSHE,148400,2.3210140954,2.361,350372.4
2014-01-02,511880.XSHG,4000,74.44367340409997,74.352,297408.0
2014-01-03,159915.XSHE,170800,1.2746552818999999,1.325,226310.0
2014-01-03,510230.XSHG,271900,0.4986475493999999,0.488,132687.2
2014-01-03,159902.XSHE,148400,2.3210140954,2.366,351114.4
2014-01-03,511880.XSHG,4000,74.44367340409997,74.428,297712.0
2014-01-06,159915.XSHE,155900,1.2746552818999999,1.299,202514.09999999998
2014-01-06,159902.XSHE,127500,2.3210140954,2.307,294142.5
2014-01-06,511880.XSHG,2100,74.44367340409997,74.438,156319.80000000002
2014-01-06,159901.XSHE,249200,1.3607671077,1.33,331436.0
2014-01-07,159915.XSHE,155900,1.2746552818999999,1.324,206411.6
2014-01-07,159902.XSHE,127500,2.3210140954,2.329,296947.5
2014-01-07,511880.XSHG,2100,74.44367340409997,74.47,156387.0
2014-01-07,159901.XSHE,249200,1.3607671077,1.33,331436.0
2014-01-08,159915.XSHE,155900,1.2746552818999999,1.375,214362.5
2014-01-08,159902.XSHE,127500,2.3210140954,2.343,298732.5
2014-01-08,511880.XSHG,2100,74.44367340409997,74.463,156372.3
2014-01-08,159901.XSHE,249200,1.3607671077,1.332,331934.4
2014-01-09,159915.XSHE,155900,1.2746552818999999,1.348,210153.2
2014-01-09,159902.XSHE,127500,2.3210140954,2.31,294525.0
2014-01-09,511880.XSHG,2100,74.44367340409997,74.473,156393.3
2014-01-09,159901.XSHE,249200,1.3607671077,1.317,328196.39999999997
2014-01-10,159915.XSHE,155900,1.2746552818999999,1.324,206411.6
2014-01-10,159902.XSHE,127500,2.3210140954,2.267,289042.5
2014-01-10,511880.XSHG,2100,74.44367340409997,74.492,156433.2
2014-01-10,159901.XSHE,249200,1.3607671077,1.3,323960.0
2014-01-13,159915.XSHE,241600,1.292414271078394,1.336,322777.60000000003
2014-01-13,159902.XSHE,141000,2.3161247673393617,2.256,318095.99999999994
2014-01-13,511880.XSHG,4600,74.53074299540434,74.511,342750.6
2014-01-14,159915.XSHE,241600,1.292414271078394,1.377,332683.2
2014-01-14,159902.XSHE,141000,2.3161247673393617,2.289,322749.0
2014-01-14,511880.XSHG,4600,74.53074299540434,74.533,342851.8
2014-01-15,159915.XSHE,241600,1.292414271078394,1.39,335824.0
2014-01-15,159902.XSHE,141000,2.3161247673393617,2.318,326838.0
2014-01-15,511880.XSHG,4600,74.53074299540434,74.543,342897.80000000005
2014-01-16,159915.XSHE,241600,1.292414271078394,1.371,331233.6
2014-01-16,159902.XSHE,141000,2.3161247673393617,2.303,324723.0
2014-01-16,511880.XSHG,4600,74.53074299540434,74.574,343040.39999999997
2014-01-17,159915.XSHE,241600,1.292414271078394,1.367,330267.2
2014-01-17,159902.XSHE,141000,2.3161247673393617,2.273,320493.0
2014-01-17,511880.XSHG,4600,74.53074299540434,74.571,343026.6
2014-01-20,159915.XSHE,250300,1.2948654757992009,1.342,335902.60000000003
2014-01-20,159902.XSHE,150400,2.3131135430994014,2.252,338700.8
2014-01-20,511880.XSHG,4100,74.53074299540434,74.547,305642.7
2014-01-21,159915.XSHE,250300,1.2948654757992009,1.381,345664.3
2014-01-21,159902.XSHE,150400,2.3131135430994014,2.274,342009.6
2014-01-21,511880.XSHG,4100,74.53074299540434,74.563,305708.3
2014-01-22,159915.XSHE,250300,1.2948654757992009,1.399,350169.7
2014-01-22,159902.XSHE,150400,2.3131135430994014,2.329,350281.60000000003
2014-01-22,511880.XSHG,4100,74.53074299540434,74.604,305876.4
2014-01-23,159915.XSHE,250300,1.2948654757992009,1.43,357929.0
2014-01-23,159902.XSHE,150400,2.3131135430994014,2.345,352688.00000000006
2014-01-23,511880.XSHG,4100,74.53074299540434,74.635,306003.5
