INFO Universe: 全部ETF=79 | 初筛=46 | 流动性通过=10 | 跟踪指数去重后=8
INFO Universe: 全部ETF=109 | 初筛=77 | 流动性通过=35 | 跟踪指数去重后=30
INFO Universe: 全部ETF=118 | 初筛=79 | 流动性通过=33 | 跟踪指数去重后=30
INFO Universe: 全部ETF=119 | 初筛=81 | 流动性通过=9 | 跟踪指数去重后=8
INFO Universe: 全部ETF=155 | 初筛=108 | 流动性通过=17 | 跟踪指数去重后=12
INFO Universe: 全部ETF=164 | 初筛=112 | 流动性通过=19 | 跟踪指数去重后=11
INFO Universe: 全部ETF=273 | 初筛=132 | 流动性通过=45 | 跟踪指数去重后=29
INFO Universe: 全部ETF=313 | 初筛=149 | 流动性通过=59 | 跟踪指数去重后=40
INFO Universe: 全部ETF=370 | 初筛=214 | 流动性通过=92 | 跟踪指数去重后=62
INFO Universe: 全部ETF=659 | 初筛=363 | 流动性通过=136 | 跟踪指数去重后=85
INFO Universe: 全部ETF=721 | 初筛=470 | 流动性通过=180 | 跟踪指数去重后=101
INFO Universe: 全部ETF=865 | 初筛=565 | 流动性通过=196 | 跟踪指数去重后=109
INFO Universe: 全部ETF=878 | 初筛=575 | 流动性通过=205 | 跟踪指数去重后=109
INFO Universe: 全部ETF=962 | 初筛=642 | 流动性通过=182 | 跟踪指数去重后=107
INFO Universe: 全部ETF=1088 | 初筛=707 | 流动性通过=243 | 跟踪指数去重后=126
INFO Universe: 全部ETF=1355 | 初筛=788 | 流动性通过=310 | 跟踪指数去重后=135
INFO Universe: 全部ETF=1584 | 初筛=885 | 流动性通过=438 | 跟踪指数去重后=165
