period,trial,use_absolute_momentum,use_inverse_vol,use_vol_target,use_rank_buffer,use_correlation_guard,use_capacity,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
full,factorial_000000,False,False,False,False,False,False,3053,0.14250541230354563,0.011057192983708664,0.6463945131126463,0.19296955812623193,0.30221229993267446,0.017105951179046813,0.3148597682071853,339.33956254419604,28.009685476952964,480677.8701553808,0.004224881928513484,0.9957751180714866,2707,-0.5767003614305717,0.508679986898133
full,factorial_000001,False,False,False,False,False,True,3053,-0.013051044337555107,-0.0010837599328721303,0.5996674163700673,0.14036204946234962,0.21858184228303948,-0.0018072683345585006,0.28733989807365345,340.24745857190527,28.084624814975474,440597.71459856327,0.006149834285222356,0.8763997445886742,2707,-0.5277897183396856,0.5132656403537504
full,factorial_000010,False,False,False,False,True,False,3053,0.35822102257292054,0.025594339284643164,0.600484127920405,0.2344176937498499,0.3686606244714489,0.04262284062907943,0.29896833422374225,352.5918545189098,29.103553009749515,534186.1131005074,0.00490173603596985,0.9950982639640301,1388,-0.5654513112805037,0.5168686537831642
full,factorial_000011,False,False,False,False,True,True,3053,0.2939483209085054,0.02149870580119373,0.5536728392551775,0.21368173463808504,0.3370061761847246,0.038829258502394,0.2687955489866051,350.58985181151695,28.938304178349906,480316.46695085976,0.006911976124803511,0.8731694811891986,1388,-0.5197989682289572,0.5188339338355715
full,factorial_000100,False,False,False,True,False,False,3053,-0.08033339581333976,-0.006888546835989606,0.7148549154946175,0.13421874954661522,0.2081703503330217,-0.009636286590018521,0.3113556628560487,187.18673395735468,15.450722881511096,252972.58538741892,0.004992242377136909,0.9950077576228632,1364,-0.6725564662179124,0.5139207337045529
full,factorial_000101,False,False,False,True,False,True,3053,-0.11623420292323228,-0.010147288503775886,0.6767726739954293,0.1102798523686785,0.17082915475890242,-0.014993643942314991,0.28982733474315614,196.1717200953105,16.192359470690548,250358.9716848203,0.006982807080538769,0.9067764824456281,1532,-0.6194968530476179,0.5139207337045529
full,factorial_000110,False,False,False,True,True,False,3053,0.3090906140749965,0.02248015084690347,0.6397162901213003,0.22434097310106332,0.3516793863110193,0.035140813504437846,0.29914564325120524,235.74628611237551,19.4589138880834,381513.0257497044,0.005356198187619158,0.9946438018123808,1361,-0.5725630428144783,0.520799213887979
full,factorial_000111,False,False,False,True,True,True,3053,0.1728780205485041,0.01324915933993065,0.5545212672580224,0.18406271904175142,0.2884375540171429,0.023892968804324916,0.2703065624851298,243.70970460243706,20.116228483398015,338852.28575396317,0.00872422199933174,0.8780476918695322,1362,-0.5039331043665712,0.5214543072387815
full,factorial_001000,False,False,True,False,False,False,3053,1.0701649935617494,0.061899964533477014,0.45052047450556987,0.4215641958469609,0.6903737174979323,0.13739656250120488,0.18163064138667387,305.2188503906188,25.193301768239742,628673.6870384575,0.0076201275064690125,0.7356411627063479,1177,-0.4247361548708154,0.511300360301343
full,factorial_001001,False,False,True,False,False,True,3053,0.8956715186130206,0.054209813090299486,0.3647260193503242,0.40962908592402303,0.6653000458065761,0.14863160348927623,0.1602550171852483,287.019005804553,23.691054524319473,558835.4715016243,0.008488596023060409,0.6150442500313553,1177,-0.33486289764373944,0.512610547002948
