date,equity,cash,market_value,positions,gross_traded,benchmark_value,daily_return,drawdown
2019-01-02,992319.7986633077,152487.80559183966,839831.9930714681,9,847258.0170030595,0.986345112323761,-0.007680201336692338,0.0
2019-01-03,1000521.7650283214,340608.43129618146,659913.33373214,7,188365.5008554539,0.9847840070724487,0.008265446659496467,0.0
2019-01-04,1036504.3966884942,429822.79227634403,606681.6044121502,6,89330.49061796596,1.0083768367767334,0.03596386697210363,0.0
2019-01-07,1039017.928839,38467.42193714804,1000550.5069018519,10,391237.99893951416,1.0144984722137451,0.0024250086719710406,0.0
2019-01-08,1036924.1035478485,329127.509877398,707796.5936704505,7,291038.4379095324,1.0123063325881958,-0.0020151964976110603,-0.0020151964976110603
2019-01-09,1033393.8139269275,329127.509877398,704266.3040495295,7,0.0,1.02252995967865,-0.003404578607867359,-0.005412914210591979
2019-01-10,1026508.8347593556,329127.509877398,697381.3248819576,7,0.0,1.0206068754196167,-0.006662493112290613,-0.012039343819237103
2019-01-11,1028945.5596551585,427308.6268336336,601636.9328215249,6,98308.91855035101,1.0279440879821777,0.002373798269718952,-0.009694124523044856
2019-01-14,1023157.1933077644,288255.18604778254,734902.0072599818,9,440663.2898515778,1.0189759731292725,-0.0056255321703648775,-0.015265122084041738
2019-01-15,1033212.2953159284,478804.0075383247,554408.2877776037,7,190796.85740516882,1.0389750003814697,0.009827524132100196,-0.00558761630760185
2019-01-16,1026495.7947096027,576648.4153872059,449847.3793223968,6,97971.77115137801,1.039194107055664,-0.006500600734984485,-0.012051894179910372
2019-01-17,1021539.5250604585,718451.7162337449,303087.8088267136,4,141987.88509716527,1.0334711074829102,-0.004828338970980783,-0.016822042520548086
2019-01-18,1023039.3187713113,817560.9826658119,205478.33610549936,3,99238.27619111547,1.052320957183838,0.0014681700257892505,-0.015378570113359968
2019-01-21,1019861.5271163385,395287.872517708,624573.6545986305,8,525423.8045318604,1.0581237077713013,-0.0031062263166868886,-0.018437027110847715
2019-01-22,1010972.3213460095,395287.872517708,615684.4488283015,8,0.0,1.0440667867660522,-0.008716090894675954,-0.026992419201397833
2019-01-23,1012236.0074985814,582150.8509928888,430085.1565056926,6,187106.21655670454,1.0433127880096436,0.001249971068336908,-0.02577618787612712
2019-01-24,1014536.8333479958,680251.5181687953,334285.3151792005,5,98228.36404917037,1.0492019653320312,0.002273013242336752,-0.02356176425016976
2019-01-25,1011562.0220179235,680251.5181687953,331310.50384912826,5,0.0,1.0577349662780762,-0.0029321866218058323,-0.026424863382055075
2019-01-28,1017782.5423934262,199342.34225756122,818440.200135865,10,664888.0277188896,1.0575058460235596,0.006149420638680736,-0.020437940343630223
2019-01-29,1020467.7390491122,246280.24355756122,774187.495491551,10,46999.00000000001,1.0608904361724854,0.0026382813065073396,-0.017853580073075137
2019-01-30,1009706.6928707807,293030.9857955056,716675.7070752751,10,46811.59731445312,1.0524238348007202,-0.010545209580421266,-0.028210519909864895
2019-01-31,1014476.204782713,389783.7225323496,624692.4822503633,9,96878.67901956939,1.0634348392486572,0.004723660787442796,-0.023620116049113737
2019-02-01,1026040.8451020506,486839.4748411043,539201.3702609462,9,97182.08902448654,1.0786374807357788,0.011399617127357375,-0.012489759201219974
2019-02-11,1036946.8827999488,440905.60972312454,596041.2730768243,10,145477.99487919617,1.0982577800750732,0.010629243221612183,-0.0019932726679368074
2019-02-12,1032067.778878582,440905.60972312454,591162.1691554574,10,0.0,1.1061862707138062,-0.004705259258981909,-0.00668915306224227
2019-02-13,1038105.3700105299,487430.8625545653,550674.5074559646,9,46585.81439014799,1.1283377408981323,0.005849994792501256,-0.0008782897803214507
2019-02-14,1046060.6312857514,487430.8625545653,558629.768731186,9,0.0,1.1300350427627563,0.0076632502875317865,0.0
2019-02-15,1040204.2764797435,487430.8625545653,552773.4139251782,9,0.0,1.108963131904602,-0.005598485050345103,-0.005598485050345103
2019-02-18,1065707.4877858057,388757.314883292,676950.1729025138,10,293262.211590682,1.144516944885254,0.024517502843162786,0.0
2019-02-19,1062065.8161669376,388757.314883292,673308.5012836456,10,0.0,1.142480731010437,-0.0034171399381216494,-0.0034171399381216494
2019-02-20,1074858.6205917727,480517.6049513469,594341.0156404257,8,91879.73372189331,1.1465729475021362,0.012045208715035338,0.0
2019-02-21,1093706.1499790149,530274.4721769396,563431.6778020754,7,49821.63535154977,1.1435105800628662,0.017534891590547552,0.0
