date,equity,cash,market_value,positions,gross_traded,benchmark_value,daily_return,drawdown
2019-01-02,995421.7385639502,56216.74005792399,939204.9985060262,10,943500.2098791123,0.986345112323761,-0.00457826143604978,0.0
2019-01-03,999972.7609402465,428605.5635329364,571367.1974073101,6,372873.5591018448,0.9847840070724487,0.004571953976876042,0.0
2019-01-04,1021652.9679869941,517819.924513099,503833.04347389506,5,89330.49061796596,1.0083768367767334,0.02168079761128916,0.0
2019-01-07,1023128.877204397,35394.84376439519,987734.0334400018,10,482280.39662971493,1.0144984722137451,0.0014446287180185369,0.0
2019-01-08,1027491.8135586254,325916.0757676674,701575.737790958,7,290899.40122486453,1.0123063325881958,0.00426430770495867,0.0
2019-01-09,1023662.8014443268,325916.0757676674,697746.7256766594,7,0.0,1.02252995967865,-0.0037265621621229705,-0.0037265621621229705
2019-01-10,1008015.2827378148,376659.62365340226,631355.6590844126,7,50809.600366210936,1.0206068754196167,-0.015285813535896975,-0.018955412163679797
2019-01-11,1009301.761217453,565529.2731554215,443772.4880620315,5,189115.4996515662,1.0279440879821777,0.001276248983194117,-0.017703355005985633
2019-01-14,1006421.9403025273,245249.7071290723,761172.233173455,10,619208.6369305286,1.0189759731292725,-0.0028532803821248454,-0.02050612275257413
2019-01-15,1017141.1996228797,523653.7391698661,493487.4604530137,7,278766.4283977108,1.0389750003814697,0.010650860132411566,-0.010073670465458262
2019-01-16,1008567.8303364844,572410.5635854129,436157.2667510714,6,48820.290793578526,1.039194107055664,-0.008428888034005544,-0.01841764865901907
2019-01-17,1006584.0105877512,714213.8644319519,292370.1461557993,4,141987.88509716527,1.0334711074829102,-0.001966967108272044,-0.020348388858167143
2019-01-18,1007647.0279380586,859989.2634286816,147657.7645093769,2,145965.15369653516,1.052320957183838,0.001056064212352048,-0.01931381385106723
2019-01-21,1011052.5494183633,156274.6759083275,854777.8735100357,10,808622.6025558471,1.0581237077713013,0.0033796769958953643,-0.01599941130754734
2019-01-22,1004338.0500557036,156274.6759083275,848063.3741473762,10,0.0,1.0440667867660522,-0.006641098295555814,-0.02253425593993863
2019-01-23,1009969.0629186141,292063.26777560625,717905.7951430079,9,135965.34681814234,1.0433127880096436,0.0056066907577565495,-0.017053907786693467
2019-01-24,1025923.1386671885,338968.6137719271,686954.5248952614,9,46966.40231933594,1.0492019653320312,0.015796598464580924,-0.0015267030556710415
2019-01-25,1026054.2416683898,338968.6137719271,687085.6278964627,9,0.0,1.0577349662780762,0.00012779027615228422,-0.0013991078773238907
2019-01-28,1034587.499516345,234313.36290782646,800274.1366085185,10,285678.22697504656,1.0575058460235596,0.008316575772914225,0.0
