symbol,entry_date,exit_date,status,entry_kind,entry_score,entry_gross,exit_gross,gross_pnl,total_costs,net_pnl,net_return,holding_days,had_partial_exit,partial_exit_count,exit_reason
SH600570,2019-01-21,2019-03-14,closed,right,201.91597662588333,89448.00160217285,107444.22630972987,17996.22470755702,166.51189468330068,17829.71281287372,0.19896010274607162,52.0,True,1,exit_resonance
SH600657,2019-01-21,2019-02-01,closed,right,200.67761136959655,94651.20247192383,91646.96884658172,-3004.233625342109,147.53642024213337,-3151.7700455842423,-0.03324696174671054,11.0,True,1,exit_resonance
SH601012,2019-01-21,2019-03-06,closed,right,207.1619930185574,93668.39679565429,103649.4201204009,9981.02332474661,162.84476519521746,9818.178559551392,0.10463656236696292,44.0,True,1,exit_resonance
SZ002439,2019-01-21,2019-01-23,closed,right,204.89246127355636,94808.00305175781,89874.5452159695,-4933.457835788315,145.2793096962877,-5078.7371454846025,-0.05348669386858706,2.0,False,0,exit_resonance
SZ002916,2019-01-21,2019-03-11,closed,right,202.68022230619377,91002.0,106511.36717080924,15509.367170809244,165.76537732205202,15343.601793487192,0.16830073359792921,49.0,True,1,exit_resonance
SH600167,2019-01-28,2019-03-06,closed,right,203.8429510083841,94441.60436401368,109177.35474958713,14735.750385573454,170.2630424836674,14565.487343089786,0.1539498980662707,37.0,True,1,exit_resonance
SH600872,2019-01-28,2019-02-13,closed,right,202.84766076786133,91790.80442504883,90382.02191668494,-1408.782508363889,145.03386981920505,-1553.816378183094,-0.01690109544875744,16.0,True,1,exit_resonance
SH600875,2019-01-28,2019-02-21,closed,right,204.86970702318433,94244.79444580078,97760.4231600541,3515.628714253311,155.36198844181055,3360.2667258115007,0.0355959868366553,24.0,True,1,exit_resonance
SH601688,2019-01-28,2019-03-11,closed,right,202.9609517229263,93256.80336456298,100917.47149586178,7660.668131298808,159.16975395398921,7501.498377344818,0.08030209531540883,42.0,True,1,exit_resonance
SH603000,2019-01-28,2019-03-20,closed,right,202.62688252808337,93786.0032043457,301981.26677190105,208195.26356755535,420.71144776477513,207774.55211979058,2.205517439888091,51.0,True,1,exit_resonance
SZ002223,2019-01-28,2019-02-18,closed,right,205.0519721920802,92888.5934387207,91938.97223052048,-949.6212082002166,147.3872419312928,-1097.0084501315096,-0.01179122788953034,21.0,True,1,exit_resonance
