symbol,entry_date,exit_date,status,entry_kind,entry_score,entry_gross,exit_gross,gross_pnl,total_costs,net_pnl,net_return,holding_days,had_partial_exit,partial_exit_count,exit_reason
SH600570,2019-01-21,2019-03-14,closed,right,201.91597662588333,89451.00160217285,107441.22632771818,17990.224725545326,333.01778941337096,17657.206936131955,0.19666313733540244,52.0,True,1,exit_resonance
SH601012,2019-01-21,2019-03-06,closed,right,207.1619930185574,93676.7967956543,103641.01998797001,9964.223192315709,325.67273004611457,9638.550462269593,0.10253507711980267,44.0,True,1,exit_resonance
SZ002439,2019-01-21,2019-01-23,closed,right,204.89246127355636,94816.00305175781,89866.54498916135,-4949.458062596459,290.5426188028742,-5240.000681399333,-0.05509610978354905,2.0,False,0,exit_resonance
SZ002916,2019-01-21,2019-03-11,closed,right,202.68022230619377,91004.0,106509.36703014781,15505.367030147812,331.52675427838426,15173.840275869428,0.16613294755163438,49.0,True,1,exit_resonance
SH600872,2019-01-28,2019-02-13,closed,right,202.84766076786133,91796.60442504883,90376.22199290062,-1420.3824321482098,290.05613983657094,-1710.4385719847808,-0.018574227379866647,16.0,True,1,exit_resonance
SH600875,2019-01-28,2019-02-21,closed,right,204.86970702318433,94265.59444580077,97739.6186426827,3474.024196881932,310.6823651384555,3163.341831743476,0.033447519170870826,24.0,True,1,exit_resonance
SH601668,2019-01-28,2019-02-20,closed,right,200.9494873171466,94155.60205612182,94294.86661732278,139.26456120096555,301.6600144387123,-162.39545323774678,-0.001719247940051827,23.0,True,1,exit_resonance
SH601688,2019-01-28,2019-03-11,closed,right,202.9609517229263,93266.603364563,100907.66991836333,7641.066553800338,318.31990380648244,7322.7466499938555,0.07824707649751156,42.0,True,1,exit_resonance
SH603000,2019-01-28,2019-03-20,closed,right,202.62688252808337,93807.0032043457,301960.26785866957,208153.26465432387,841.3808983551482,207311.8837559687,2.1903372753941497,51.0,True,1,exit_resonance
SZ002223,2019-01-28,2019-02-18,closed,right,205.0519721920802,92897.19343872071,91930.3719911877,-966.8214475330169,294.7572832403204,-1261.5787307733374,-0.013537421644249814,21.0,True,1,exit_resonance
SZ002366,2019-01-28,2019-03-12,closed,right,200.69633622357438,94032.00762939453,103642.19065607981,9610.183026685278,325.8889002834442,9284.294126401834,0.09839445841696656,43.0,True,1,exit_resonance
SZ000600,2019-02-18,2019-03-15,closed,right,209.54770753651732,97250.40029754638,101654.95054513618,4404.550247589796,322.6531115958819,4081.8971359939137,0.04183426666866463,25.0,True,1,exit_resonance
SZ002714,2019-02-18,2019-03-15,closed,right,213.52440692567146,97414.19649047851,111587.96950515558,14173.773014677063,348.5772386076916,13825.195776069371,0.1414157480267576,25.0,True,1,exit_resonance
SH600837,2019-02-25,2019-03-15,closed,right,208.2638251101838,107944.7987487793,109682.96244503534,1738.1636962560442,349.94258160635945,1388.2211146496848,0.012818915282455857,18.0,False,0,exit_resonance
SH601881,2019-02-25,2019-03-13,closed,right,207.8957311040094,107839.2093460083,109657.58289646683,1818.3735504585347,349.8132411384188,1468.560309320116,0.013574023262269372,16.0,True,1,exit_resonance
SH600640,2019-03-11,2019-03-21,closed,right,208.3933971698716,120185.59151229858,120103.54993330038,-82.04157899819256,384.3805847339601,-466.4221637321527,-0.003868476998209675,10.0,True,1,exit_resonance
SH603160,2019-03-11,2019-03-26,closed,right,208.84337625162013,115204.80915527344,122584.83477685446,7380.025621581022,387.84345591298563,6992.182165668037,0.060489849551141554,15.0,False,0,exit_resonance
SZ002273,2019-03-11,2019-03-20,closed,right,213.9124803833589,120217.19620056152,114282.95923416824,-5934.236966393277,369.26601172917435,-6303.502978122451,-0.052273720138046896,9.0,True,1,exit_resonance
SH600748,2019-03-18,2019-03-25,closed,right,220.0,120065.79757766722,113868.56397848814,-6197.23359917909,368.09774489066945,-6565.331344069759,-0.05451398318127836,7.0,False,0,exit_resonance
SZ002444,2019-03-18,2019-03-26,closed,right,211.16095103963502,119251.80888061524,116547.13165667557,-2704.677223939667,374.57362763572564,-3079.2508515753925,-0.02574056647882843,8.0,False,0,exit_resonance
SH600064,2019-03-25,2019-03-27,closed,right,220.0,119645.99965667725,106610.53396173417,-13035.46569494308,348.97498809451514,-13384.440683037594,-0.1115416768298868,2.0,False,0,exit_hard_stop
SH600160,2019-03-25,2019-03-27,closed,right,210.54458458825803,120455.99198913574,116142.53876631963,-4313.4532228161115,374.2441959859125,-4687.697418802024,-0.03879573165461742,2.0,False,0,exit_resonance
SH600259,2019-03-25,2019-03-28,closed,right,220.0,119827.39290466308,111438.40119410315,-8388.99171055993,361.636278847466,-8750.627989407396,-0.07280721084822563,3.0,True,1,exit_hard_stop
SH600352,2019-03-25,2019-04-18,closed,right,209.94605425715926,120185.59999999999,203356.04894332628,83170.4489433263,600.8370872526484,82569.61185607365,0.6836000286723231,24.0,True,1,exit_resonance
SH600895,2019-03-25,2019-03-27,closed,right,220.0,119066.39613952638,107482.71119383934,-11583.68494568704,350.8948867876981,-11934.57983247474,-0.09994013203535916,2.0,False,0,exit_hard_stop
SZ002831,2019-03-25,2019-03-28,closed,right,213.60903327775017,116008.00762939453,111980.21268539777,-4027.7949439967633,360.7533575596709,-4388.548301556434,-0.03771242612137481,3.0,False,0,exit_resonance
SH600655,2019-04-01,2019-04-16,closed,right,208.41616568764485,119925.00190734863,125516.19591274457,5591.194005395941,398.2971105175451,5192.896894878396,0.04315786665812188,15.0,True,1,exit_resonance
SH603833,2019-04-01,2019-04-12,closed,right,213.6136302447802,112530.5989013672,111288.4242460593,-1242.1746553078992,356.8682623805745,-1599.0429176884736,-0.014164928648536317,11.0,True,1,exit_resonance
SH603899,2019-04-01,2019-04-09,closed,right,207.68482816232228,118476.80146484374,113386.52752204711,-5090.27394279663,365.8910524362287,-5456.164995232859,-0.045910816051559264,8.0,True,1,exit_resonance
SZ000090,2019-04-01,2019-04-18,closed,right,214.10908981855675,120124.79212646483,136009.46629869333,15884.674172228493,425.6994876524816,15458.974684576011,0.12823651299623282,17.0,True,1,exit_resonance
SZ000596,2019-04-01,2019-04-10,closed,right,220.0,117374.39664306641,116826.24790765428,-548.1487354121346,374.1728825457409,-922.3216179578754,-0.007832975140791464,9.0,False,0,exit_resonance
SZ002004,2019-04-01,2019-04-15,closed,right,208.18702132039084,120270.79614715575,119713.31408584086,-557.4820613148913,383.4170943114797,-940.899155626371,-0.007798311640749208,14.0,False,0,exit_resonance
SH600519,2019-04-08,2019-04-29,closed,right,209.13675604600635,90000.40000000001,94499.61388281401,4499.213882814001,299.69923609531645,4199.514646718685,0.046506201900606864,21.0,False,0,exit_resonance
SH601021,2019-04-08,2019-04-15,closed,right,209.76647380151468,125871.59336242675,122372.54785368724,-3499.0455087395094,393.69158043704283,-3892.737089176552,-0.030829828570363198,7.0,True,1,exit_resonance
SZ000858,2019-04-08,2019-04-16,closed,right,220.0,125584.80183105469,117895.35975853816,-7689.4420725165255,381.878816470832,-8071.320888987358,-0.06407504625427239,8.0,True,1,exit_resonance
SH600575,2019-04-15,2019-04-19,closed,right,212.4275492056049,124804.4069694519,121634.41716061985,-3169.989808832048,391.1321287992827,-3561.1219376313306,-0.028444479438174127,4.0,False,0,exit_resonance
SH600705,2019-04-15,2019-04-18,closed,right,213.49817627715333,124501.80371360778,113917.64203035322,-10584.161683254555,370.88695150708304,-10955.048634761639,-0.0877297395964745,3.0,False,0,exit_resonance
SH601018,2019-04-15,2019-04-30,closed,right,212.99766159852044,125069.6019378662,130342.57124648632,5272.969308620115,413.93244640358415,4859.036862216531,0.03872250559453196,15.0,False,0,exit_resonance
SZ002002,2019-04-15,2019-04-26,closed,right,220.0,124694.40532150268,113029.00383660392,-11665.401484898757,368.6920531680718,-12034.093538066829,-0.09622417636126862,11.0,False,0,exit_resonance
SZ002048,2019-04-15,2019-04-17,closed,right,209.95512186694262,124558.99675750732,117528.33085168667,-7030.665905820657,380.3090582688897,-7410.974964089547,-0.05931660109443121,2.0,False,0,exit_resonance
SH600066,2019-04-22,2019-04-29,closed,right,207.7829426708796,123230.80000000002,111081.26346100637,-12149.536538993649,362.74976499861657,-12512.286303992265,-0.10123737304886206,7.0,False,0,exit_hard_stop
SH600348,2019-04-22,2019-04-24,closed,right,207.6914677796867,124089.60456237792,119533.69272174237,-4555.911840635556,385.2413638139569,-4941.1532044495125,-0.03969599775507575,2.0,False,0,exit_resonance
SH601318,2019-04-22,2019-04-26,closed,right,211.31597194667086,122113.60170898438,118351.96390116855,-3761.6378078158305,380.9832671684289,-4142.621074984259,-0.033818809833844846,4.0,True,1,exit_resonance
SH601766,2019-04-22,2019-04-24,closed,right,201.1156185975461,124109.40349807739,119025.41616357463,-5083.987334502759,383.9317241241405,-5467.9190586269,-0.04392137979810327,2.0,False,0,exit_resonance
SZ000001,2019-04-22,2019-04-26,closed,right,208.91040035362047,124133.99513626099,119646.0908917334,-4487.9042445275845,385.5602334002634,-4873.464477927848,-0.03913814551826813,4.0,False,0,exit_resonance
SZ000980,2019-04-22,2019-04-24,closed,right,212.25387007737925,124429.80178337096,112500.1690398106,-11929.63274356036,367.1583205735301,-12296.79106413389,-0.09853437979492276,2.0,False,0,exit_hard_stop
SZ000983,2019-04-22,2019-04-30,closed,right,206.70783326330306,124282.5983882904,113837.30400636596,-10445.29438192444,370.5465494495257,-10815.840931373965,-0.08676749340561055,8.0,False,0,exit_hard_stop
SZ000997,2019-04-29,2019-05-06,closed,right,205.1577171836862,115958.59774932862,100866.63986276313,-15091.957886565491,331.8284222927813,-15423.786308858273,-0.13263160878003707,7.0,False,0,exit_hard_stop
SZ300459,2019-04-29,2019-05-07,closed,right,206.85507792548418,117555.20390625,110543.98658956078,-7011.217316689217,357.947487476608,-7369.164804165825,-0.06249654696751571,8.0,True,1,exit_hard_stop
SH601933,2019-05-13,2019-05-27,closed,right,204.81496352864022,114625.18919677734,116188.0388601121,1562.8496633347531,370.8640145543578,1191.9856487803954,0.010365448339256024,14.0,False,0,exit_resonance
SH603658,2019-05-13,2019-05-28,closed,right,202.05130944347894,114127.20274658203,113713.79893852498,-413.40380805704626,364.1321988881142,-777.5360069451605,-0.006791221425756672,15.0,True,1,exit_resonance
SZ002127,2019-05-13,2019-05-21,closed,right,204.7480327164347,114059.40624847412,111964.46948632215,-2094.936762151963,359.543264413522,-2454.4800265654853,-0.0214516916735809,8.0,True,1,exit_resonance
SH600161,2019-05-27,2019-07-10,closed,right,201.72885410073332,113097.6033569336,124292.75119145206,11195.147834518459,391.0197151119355,10804.128119406523,0.09520009871428065,44.0,True,1,exit_resonance
SH600338,2019-05-27,2019-06-10,closed,right,206.69640989739204,112012.79999999999,99232.53782652663,-12780.262173473355,325.2122783489692,-13105.474451822323,-0.11666108546900253,14.0,True,1,exit_hard_stop
SZ000157,2019-05-27,2019-06-10,closed,right,203.74913358023755,114253.20284385681,111528.71451821142,-2724.4883256453904,358.52657945366377,-3083.014905099054,-0.02689964561752796,14.0,True,1,exit_resonance
SH600183,2019-06-03,2019-06-18,closed,right,201.67657582272577,114323.39721908569,110343.6000485514,-3979.7971705342934,355.487398457685,-4335.284568991979,-0.037803686209978836,15.0,True,1,exit_resonance
SH600298,2019-06-17,2019-07-05,closed,right,202.82572118002815,110246.40302124024,111350.66293033169,1104.2599090914446,355.65956543160655,748.600343659838,0.0067684121448748505,18.0,True,1,exit_resonance
SZ002155,2019-06-24,2019-07-05,closed,right,202.47157345481875,113321.00438690186,115403.24958914195,2082.2452022400976,368.0410515639102,1714.2041506761875,0.015078006364333502,11.0,True,1,exit_resonance
SH600004,2019-07-01,2019-07-05,closed,right,205.12734869684468,113422.79385070801,105461.18908820488,-7961.604762503135,342.25276793975746,-8303.857530442892,-0.07299129018316393,4.0,True,1,exit_hard_stop
SH601888,2019-07-01,2019-07-08,closed,right,204.5582309858734,107524.79816894532,102227.67117695618,-5297.126991989135,330.30682396145323,-5627.433815950588,-0.05217586887816468,7.0,True,1,exit_resonance
