date,equity,cash,market_value,positions,gross_traded,benchmark_value,daily_return,drawdown
2019-01-02,1000000.0,1000000.0,0.0,0,0.0,0.986345112323761,0.0,0.0
2019-01-03,1000000.0,1000000.0,0.0,0,0.0,0.9847840070724487,0.0,0.0
2019-01-04,1000000.0,1000000.0,0.0,0,0.0,1.0083768367767334,0.0,0.0
2019-01-07,1000000.0,1000000.0,0.0,0,0.0,1.0144984722137451,0.0,0.0
2019-01-08,1000000.0,1000000.0,0.0,0,0.0,1.0123063325881958,0.0,0.0
2019-01-09,1000000.0,1000000.0,0.0,0,0.0,1.02252995967865,0.0,0.0
2019-01-10,1000000.0,1000000.0,0.0,0,0.0,1.0206068754196167,0.0,0.0
2019-01-11,1000000.0,1000000.0,0.0,0,0.0,1.0279440879821777,0.0,0.0
2019-01-14,1000000.0,1000000.0,0.0,0,0.0,1.0189759731292725,0.0,0.0
2019-01-15,1000000.0,1000000.0,0.0,0,0.0,1.0389750003814697,0.0,0.0
2019-01-16,1000000.0,1000000.0,0.0,0,0.0,1.039194107055664,0.0,0.0
2019-01-17,1000000.0,1000000.0,0.0,0,0.0,1.0334711074829102,0.0,0.0
2019-01-18,1000000.0,1000000.0,0.0,0,0.0,1.052320957183838,0.0,0.0
2019-01-21,998039.0006157014,631094.998550415,366944.0020652864,4,368905.00144958496,1.0581237077713013,-0.0019609993842986118,-0.0019609993842986118
2019-01-22,992982.5756089011,631094.998550415,361887.57705848606,4,0.0,1.0440667867660522,-0.005066360135907444,-0.00701742439109887
2019-01-23,993841.6101716737,767072.5455953656,226769.06457630813,3,135977.54704495048,1.0433127880096436,0.0008651053743273796,-0.006158389828326283
2019-01-24,996525.0651484218,814040.5479147015,182484.51723372034,3,46968.00231933594,1.0492019653320312,0.0027000831413011017,-0.0034749348515782374
2019-01-25,996272.792496487,814040.5479147015,182232.24458178546,3,0.0,1.0577349662780762,-0.00025315233982314833,-0.0037272075035129637
2019-01-28,1002512.3986751849,158541.53930683713,843970.8593683478,10,655499.0086078644,1.0575058460235596,0.006262949491034897,0.0
2019-01-29,1007155.7386389227,205541.53930683713,801614.1993320856,10,47000.0,1.0608904361724854,0.004631703278556776,0.0
2019-01-30,996517.5135164938,252357.53662129026,744159.9768952036,10,46815.997314453125,1.0524238348007202,-0.010562641619661917,-0.010562641619661917
2019-01-31,1002986.9031141038,299262.5401689587,703724.3629451451,10,46905.00354766846,1.0634348392486572,0.00649199789252175,-0.004139216374274612
2019-02-01,1013216.579392193,395847.4392106114,617369.1401815816,10,96584.89904165268,1.0786374807357788,0.010199212219349718,0.0
2019-02-11,1020142.2324847552,444736.83722658735,575405.3952581679,10,48889.39801597595,1.0982577800750732,0.006835313627336026,0.0
2019-02-12,1015458.1123966707,491424.4447247563,524033.66767191445,10,46687.607498168945,1.1061862707138062,-0.004591634322084093,-0.004591634322084093
2019-02-13,1019222.3476992075,534907.2630175571,484315.08468165033,9,43482.81829280079,1.1283377408981323,0.003706933113816424,-0.0009017220895827238
2019-02-14,1032340.5051122201,534907.2630175571,497433.24209466303,9,0.0,1.1300350427627563,0.012870751355310794,0.0
2019-02-15,1027245.6898961284,534907.2630175571,492338.42687857134,9,0.0,1.108963131904602,-0.0049352080935135545,-0.0049352080935135545
2019-02-18,1052533.8207519255,385445.8413849323,667087.9793669931,10,239724.571943425,1.144516944885254,0.02461741246960525,0.0
2019-02-19,1052801.8546933776,385445.8413849323,667356.0133084453,10,0.0,1.142480731010437,0.00025465589434525704,0.0
2019-02-20,1068041.6097407856,432185.6099398835,635855.999800902,9,46739.76855495122,1.1465729475021362,0.01447542572181959,0.0
2019-02-21,1084334.023348752,481077.43960133306,603256.5837474188,8,48891.82966144955,1.1435105800628662,0.015254474600404855,0.0
2019-02-22,1117841.418023697,529683.8997501445,588157.5182735528,8,48606.46014881134,1.1692225933074951,0.030901358763477882,0.0
2019-02-25,1159947.3831361139,313971.89165535686,845975.491480757,10,215712.0080947876,1.238762378692627,0.03766720791832756,0.0
2019-02-26,1173171.2833407712,368367.88927498576,804803.3940657856,10,54395.997619628906,1.223885178565979,0.011400431085851759,0.0
2019-02-27,1169442.5410160527,368367.88927498576,801074.651741067,10,0.0,1.2217925786972046,-0.003178344354031859,-0.003178344354031859
2019-02-28,1151508.5268001338,368367.88927498576,783140.6375251481,10,0.0,1.2187966108322144,-0.015335524052628724,-0.018465126830371825
2019-03-01,1182114.0200976238,422213.81170693156,759900.2083906922,10,53845.9224319458,1.2454818487167358,0.026578607613560568,0.0
2019-03-04,1209038.124831924,422213.81170693156,786824.3131249924,10,0.0,1.2602261304855347,0.022776233321449624,0.0
2019-03-05,1237212.7621418673,422213.81170693156,814998.9504349357,10,0.0,1.2675036191940308,0.023303348944318847,0.0
2019-03-06,1275269.8087391502,479776.6303575905,795493.1783815597,9,57562.818650658955,1.2781591415405273,0.030760308785853674,0.0
2019-03-07,1311274.31937312,479776.6303575905,831497.6890155296,9,0.0,1.2651253938674927,0.028232857382209486,0.0
2019-03-08,1264224.9394392304,479776.6303575905,784448.3090816399,9,0.0,1.2148804664611816,-0.035880653833274656,-0.035880653833274656
2019-03-11,1319958.8286123825,236333.27349281812,1083625.5551195643,10,467624.6368714947,1.2389185428619385,0.044085421379105094,0.0
2019-03-12,1357469.2720056782,456369.65884583443,901099.6131598437,9,220036.38535301632,1.2473552227020264,0.02841788893728503,0.0
2019-03-13,1311794.4287240545,512220.53210700734,799573.8966170471,8,55850.8732611729,1.2370052337646484,-0.033647055018887095,-0.033647055018887095
2019-03-14,1276002.5219055412,572699.756079413,703302.7658261282,7,60479.2239724056,1.228468894958496,-0.02728469189591476,-0.06001369738540663
2019-03-15,1273875.0434019645,910144.5844685576,363730.45893340674,4,337444.8283891446,1.2439206838607788,-0.0016672996072136792,-0.0615809361785421
2019-03-18,1285419.273782921,668742.5779377959,616676.6958451251,6,241402.00653076172,1.2793748378753662,0.009062294171433782,-0.05307670656611063
2019-03-19,1299991.5067713843,668742.5779377959,631248.9288335885,6,0.0,1.273465871810913,0.011336560206988366,-0.04234185363869769
2019-03-20,1284594.6363560942,867869.0523056004,416725.5840504938,4,199126.47436780453,1.273957371711731,-0.011843823851995228,-0.053684188034629154
2019-03-21,1288700.0919151453,927753.2050308129,360946.8868843324,3,59884.15272521254,1.2744389772415161,0.0031959152271543445,-0.05065984292147219
2019-03-22,1286554.9269790675,927753.2050308129,358801.72194825456,3,0.0,1.2734127044677734,-0.0016645959362738827,-0.05224011068908674
2019-03-25,1274827.428893065,315619.5834815005,959207.8454115645,8,841766.355562504,1.2431966066360474,-0.00911542744120497,-0.06087934719178478
2019-03-26,1246138.9014963154,555997.0639283999,690141.8375679154,6,240377.48044689937,1.2291165590286255,-0.022503851695174104,-0.082013179086456
2019-03-27,1262479.0181788404,949863.1767984523,312615.8413803881,3,393866.11287005246,1.2433825731277466,0.013112596567609325,-0.06997598824943452
2019-03-28,1265536.213271016,1119733.6020551561,145802.61121585988,1,169870.42525670392,1.2384036779403687,0.002421580911962984,-0.06772385985491214
2019-03-29,1274536.806789791,1119733.6020551561,154803.20473463487,1,0.0,1.2862138748168945,0.007112078994176985,-0.06109343830181391
2019-04-01,1306260.633749152,406152.6149831652,900108.0187659869,7,713580.987071991,1.3199574947357178,0.024890475340029417,-0.037723607681273474
2019-04-02,1324753.2592997886,406152.6149831652,918600.6443166235,7,0.0,1.3190804719924927,0.014156918667570961,-0.024100739059493503
2019-04-03,1335972.177869845,406152.6149831652,929819.5628866798,7,0.0,1.33597731590271,0.008468685388240749,-0.015836155247971773
2019-04-04,1352893.7941307845,525452.6149831652,827441.1791476193,7,119300.0,1.349286675453186,0.012666144206625818,-0.0033705940673952606
2019-04-08,1361911.0452526105,179672.62001856556,1182238.425234045,10,345779.9949645996,1.347625970840454,0.006665158167585172,0.0
