model,label,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,transaction_fees,order_count,average_cash_ratio,longest_underwater_trading_days,worst_rolling_three_year_return,yearly_returns
m0,M0 纳指买入持有,3051,7.933654857552035,0.19654120967712352,0.2849168935463867,0.9409582713056991,1.522617500818735,0.6898194320131638,0.2155052789259544,0.2888550297485626,297.04922796599993,1,0.0040886084868024895,378,0.023512838036737538,"{'2014': 0.1903724575520347, '2015': 0.16034267156392024, '2016': 0.12283166228458109, '2017': 0.22535276907974033, '2018': 0.006249317388443254, '2019': 0.4214271905175597, '2020': 0.3688856875790585, '2021': 0.2254776177224027, '2022': -0.254686080885275, '2023': 0.5166933545197281, '2024': 0.34231669581361346, '2025': 0.16858248554807664, '2026': 0.10491809140666897}"
m1,M1 纳指 MA,3051,4.150646012891358,0.1437475987312682,0.2840101819852704,0.8225986017873858,1.284193704478087,0.5061353706633073,0.18396291216307287,25.649972407636554,17133.194568642,33,0.18735609618860707,359,0.1104236141599777,"{'2014': 0.10233999810689798, '2015': 0.05871656714978646, '2016': 0.0293503406552571, '2017': 0.22487641652686907, '2018': -0.09839896831899309, '2019': 0.22117278050727052, '2020': 0.3673454588142917, '2021': 0.19345000443809934, '2022': -0.11585501875908388, '2023': 0.42277009900514195, '2024': 0.3406730162295175, '2025': 0.0925442823438829, '2026': 0.05734523322123075}"
m2,M2 纳指 MA + 黄金,3051,5.412549214165453,0.16447019435072185,0.2840987190115146,0.8866355223926103,1.3994542151863307,0.5789191690936693,0.1928396433222527,53.69006326305991,39622.57271455199,63,0.0640402289715988,357,0.14436581554588113,"{'2014': 0.10233999810689798, '2015': 0.05871656714978646, '2016': 0.09537563331491428, '2017': 0.22498652253859763, '2018': -0.07981910075792276, '2019': 0.2066417708642596, '2020': 0.367495721246492, '2021': 0.19345099212729777, '2022': -0.1047846853046206, '2023': 0.448261301673025, '2024': 0.3407927540775877, '2025': 0.17772885395622295, '2026': 0.10376727893451254}"
m3,M3 标准 CCI 覆盖,3051,26.305803348626643,0.31125522051990795,0.2533180757782376,1.2737680779935843,2.112041565895442,1.2287130303026235,0.2343849906705826,139.5725676805476,326435.9755534019,143,0.05803759867977997,288,0.21014166293853087,"{'2014': 0.10520707217991188, '2015': 1.0223381108305465, '2016': 0.09535181473108345, '2017': 0.2075027179254254, '2018': -0.07970702886535785, '2019': 0.4015442934954103, '2020': 0.9029601510726748, '2021': 0.28396000147344025, '2022': -0.08503702433034388, '2023': 0.5091684206681106, '2024': 0.39428995504377173, '2025': 0.4499679256204163, '2026': 0.049902434958988495}"
m4,M4 close-only CCI 原规则,3051,21.57412395777062,0.2909676153367322,0.27695273481462346,1.1960080514362958,1.9690358904471041,1.050603871203834,0.23712129517752167,154.27285473229577,287412.212809422,153,0.059658545399076814,424,0.12719997324598964,"{'2014': 0.16081847888880807, '2015': 0.7443834307698616, '2016': 0.09536453452851545, '2017': 0.2075011166759928, '2018': -0.09410666850247418, '2019': 0.3597907892950687, '2020': 0.7882599670035069, '2021': 0.25097844968296923, '2022': -0.11775803602986534, '2023': 0.5091718849420364, '2024': 0.3942890492907949, '2025': 0.48641624217718293, '2026': 0.10843213247875516}"
b1,B1 三资产月度等权,3051,4.566482949290714,0.15104726324716022,0.24351307965588143,0.9741132155807823,1.5862526969138768,0.620283984172889,0.15713831436090156,6.963101360012833,5409.1086492859995,452,0.010133618781142776,676,-0.04830066297094826,"{'2014': 0.1134452911929662, '2015': 0.290428191920187, '2016': 0.018310813513621627, '2017': 0.03631603820933238, '2018': -0.07622673380146039, '2019': 0.3642650229836981, '2020': 0.39780402165954065, '2021': 0.09908629771960675, '2022': -0.15085274056962827, '2023': 0.13422876339128575, '2024': 0.3186138882052658, '2025': 0.42175150621151203, '2026': 0.050118615779630504}"
b2,B2 三资产 52 周动量,3051,2.765145547114808,0.11475584510595116,0.5667152267196662,0.5234821947994809,0.8138733485412701,0.20249296241817194,0.28619070969633753,155.21869341984623,75278.391945198,149,0.013938520954504863,2083,-0.3219836606907205,"{'2014': -0.12896190470470248, '2015': 0.4702438298291809, '2016': -0.2664840003693033, '2017': 0.22300506025033995, '2018': -0.0032125090087178343, '2019': 0.3018431111499982, '2020': 0.04374994167030777, '2021': 0.07736928478057248, '2022': -0.1322021510584891, '2023': 0.3079008530282059, '2024': 0.08939017768955915, '2025': 0.8664747248877804, '2026': -0.026813298876055436}"
b3,B3 MA40 后选最强动量,3051,2.017177787756534,0.09470893932570523,0.5141165688412195,0.4789912897989734,0.7472667847331173,0.18421685871585922,0.25948997016405917,181.27679858262658,75521.60770346998,185,0.05865158921272481,2191,-0.32144752882100935,"{'2014': -0.1876241800555638, '2015': 0.23839883883292168, '2016': -0.053037925850867085, '2017': 0.22475006321713753, '2018': -0.07681427065496227, '2019': 0.22266589035576256, '2020': 0.043763824204364754, '2021': -0.014547240912516801, '2022': -0.1394106395628787, '2023': 0.3078726842030113, '2024': 0.08933409837006123, '2025': 0.8665097313143313, '2026': -0.026769763947381953}"
b0,B0 纳指买入持有,3051,7.933654857552035,0.19654120967712352,0.2849168935463867,0.9409582713056991,1.522617500818735,0.6898194320131638,0.2155052789259544,0.2888550297485626,297.04922796599993,1,0.0040886084868024895,378,0.023512838036737538,"{'2014': 0.1903724575520347, '2015': 0.16034267156392024, '2016': 0.12283166228458109, '2017': 0.22535276907974033, '2018': 0.006249317388443254, '2019': 0.4214271905175597, '2020': 0.3688856875790585, '2021': 0.2254776177224027, '2022': -0.254686080885275, '2023': 0.5166933545197281, '2024': 0.34231669581361346, '2025': 0.16858248554807664, '2026': 0.10491809140666897}"
b4,B4 纳指 MA45,3051,4.150646012891358,0.1437475987312682,0.2840101819852704,0.8225986017873858,1.284193704478087,0.5061353706633073,0.18396291216307287,25.649972407636554,17133.194568642,33,0.18735609618860707,359,0.1104236141599777,"{'2014': 0.10233999810689798, '2015': 0.05871656714978646, '2016': 0.0293503406552571, '2017': 0.22487641652686907, '2018': -0.09839896831899309, '2019': 0.22117278050727052, '2020': 0.3673454588142917, '2021': 0.19345000443809934, '2022': -0.11585501875908388, '2023': 0.42277009900514195, '2024': 0.3406730162295175, '2025': 0.0925442823438829, '2026': 0.05734523322123075}"
