model,trade_date,symbol,shares,close,market_value
m0,2014-01-02,SH513100,848300,1.169,991662.7000000001
m0,2014-01-03,SH513100,848300,1.161,984876.3
m0,2014-01-06,SH513100,848300,1.157,981483.1
m0,2014-01-07,SH513100,848300,1.156,980634.7999999999
m0,2014-01-08,SH513100,848300,1.173,995055.9
m0,2014-01-09,SH513100,848300,1.172,994207.6
m0,2014-01-10,SH513100,848300,1.171,993359.3
m0,2014-01-13,SH513100,848300,1.17,992510.9999999999
m0,2014-01-14,SH513100,848300,1.157,981483.1
m0,2014-01-15,SH513100,848300,1.168,990814.3999999999
m0,2014-01-16,SH513100,848300,1.181,1001842.3
m0,2014-01-17,SH513100,848300,1.183,1003538.9
m0,2014-01-20,SH513100,848300,1.18,1000994.0
m0,2014-01-21,SH513100,848300,1.182,1002690.6
m0,2014-01-22,SH513100,848300,1.182,1002690.6
m0,2014-01-23,SH513100,848300,1.191,1010325.3
m0,2014-01-24,SH513100,848300,1.186,1006083.7999999999
m0,2014-01-27,SH513100,848300,1.162,985724.6
m0,2014-01-28,SH513100,848300,1.16,984027.9999999999
m0,2014-01-29,SH513100,848300,1.174,995904.2
m0,2014-01-30,SH513100,848300,1.163,986572.9
m0,2014-02-07,SH513100,848300,1.16,984027.9999999999
m0,2014-02-10,SH513100,848300,1.172,994207.6
m0,2014-02-11,SH513100,848300,1.171,993359.3
m0,2014-02-12,SH513100,848300,1.184,1004387.2
m0,2014-02-13,SH513100,848300,1.177,998449.1000000001
m0,2014-02-14,SH513100,848300,1.183,1003538.9
m0,2014-02-17,SH513100,848300,1.187,1006932.1000000001
m0,2014-02-18,SH513100,848300,1.184,1004387.2
m0,2014-02-19,SH513100,848300,1.196,1014566.7999999999
m0,2014-02-20,SH513100,848300,1.189,1008628.7000000001
m0,2014-02-21,SH513100,848300,1.203,1020504.9
m0,2014-02-24,SH513100,848300,1.2,1017960.0
m0,2014-02-25,SH513100,848300,1.215,1030684.5000000001
m0,2014-02-26,SH513100,848300,1.225,1039167.5000000001
m0,2014-02-27,SH513100,848300,1.227,1040864.1000000001
m0,2014-02-28,SH513100,848300,1.25,1060375.0
m0,2014-03-03,SH513100,848300,1.239,1051043.7000000002
m0,2014-03-04,SH513100,848300,1.225,1039167.5000000001
m0,2014-03-05,SH513100,848300,1.24,1051892.0
m0,2014-03-06,SH513100,848300,1.233,1045953.9
m0,2014-03-07,SH513100,848300,1.231,1044257.3
m0,2014-03-10,SH513100,848300,1.22,1034926.0
m0,2014-03-11,SH513100,848300,1.221,1035774.3
