order_id,trade_date,symbol,side,execution,requested_shares,filled_shares,unfilled_shares,price,gross_value,commission,tax,reason
49,2014-03-31,SZ000502,sell,close,3900,0,3900,,0.0,0.0,0.0,missing_close
57,2014-03-31,SZ300356,sell,close,3700,0,3700,,0.0,0.0,0.0,missing_close
83,2014-04-30,SZ000502,sell,close,3900,0,3900,,0.0,0.0,0.0,missing_close
113,2014-05-30,SZ000502,sell,close,3900,0,3900,,0.0,0.0,0.0,missing_close
131,2014-06-30,SH600260,sell,close,5400,0,5400,,0.0,0.0,0.0,missing_close
133,2014-06-30,SZ000502,sell,close,3900,0,3900,,0.0,0.0,0.0,missing_close
156,2014-07-31,SH600260,sell,close,5400,0,5400,,0.0,0.0,0.0,missing_close
162,2014-07-31,SZ000502,sell,close,3900,0,3900,,0.0,0.0,0.0,missing_close
179,2014-08-29,SH600093,sell,close,8400,0,8400,,0.0,0.0,0.0,missing_close
180,2014-08-29,SH600260,sell,close,5400,0,5400,,0.0,0.0,0.0,missing_close
210,2014-09-30,SH600090,sell,close,7900,0,7900,,0.0,0.0,0.0,missing_close
213,2014-09-30,SH600297,sell,close,12800,0,12800,,0.0,0.0,0.0,missing_close
214,2014-09-30,SH600766,sell,close,5300,0,5300,,0.0,0.0,0.0,missing_close
234,2014-09-30,SZ300262,buy,close,8400,0,8400,,0.0,0.0,0.0,insufficient_cash
236,2014-10-31,SH600090,sell,close,7900,0,7900,,0.0,0.0,0.0,missing_close
237,2014-10-31,SH600297,sell,close,12800,0,12800,,0.0,0.0,0.0,missing_close
239,2014-10-31,SH600766,sell,close,5300,0,5300,,0.0,0.0,0.0,missing_close
264,2014-10-31,SZ300262,buy,close,8500,0,8500,,0.0,0.0,0.0,insufficient_cash
266,2014-11-28,SH600090,sell,close,7900,0,7900,,0.0,0.0,0.0,missing_close
267,2014-11-28,SH600297,sell,close,12800,0,12800,,0.0,0.0,0.0,missing_close
269,2014-11-28,SH600766,sell,close,5300,0,5300,,0.0,0.0,0.0,missing_close
287,2014-11-28,SZ300309,buy,close,11200,0,11200,,0.0,0.0,0.0,insufficient_cash
