trade_date,symbol,shares,adjusted_close,market_value
2015-01-05,SH511880,1800,107.76876543005328,193983.7777740959
2015-01-06,SH510210,54000,3.687,199098.0
2015-01-07,SH510880,64700,3.0701931758295937,198641.49847617472
2015-01-08,SH510880,64700,2.999368507181749,194059.14241465917
2015-01-09,SH510210,53600,3.649,195586.4
2015-01-12,SH510300,52600,3.673515392983241,193226.90967091848
2015-01-13,SH510210,53600,3.59,192424.0
2015-01-14,SZ159903,162800,1.178,191778.4
2015-01-15,SH510260,173200,1.11,192252.00000000003
2015-01-16,SH510060,104600,1.872,195811.2
2015-01-19,SH510060,104600,1.685,176251.0
2015-01-20,SH518880,68000,2.57,174760.0
2015-01-21,SH518880,68000,2.62,178160.0
2015-01-22,SH518880,68000,2.589,176052.0
2015-01-23,SH510260,147600,1.17,172692.0
2015-01-26,SH510260,147600,1.194,176234.4
2015-01-27,SH510260,147600,1.199,176972.40000000002
2015-01-28,SH510260,147600,1.178,173872.8
2015-01-29,SH510260,147600,1.16,171216.0
2015-01-30,SZ159915,103700,1.623,168305.1
2015-02-02,SH518880,64600,2.586,167055.59999999998
2015-02-03,SH518880,64600,2.588,167184.80000000002
2015-02-04,SH518880,64600,2.56,165376.0
2015-02-05,SH518880,64600,2.576,166409.6
2015-02-06,SH518880,64600,2.564,165634.4
2015-02-09,SH518880,64600,2.504,161758.4
2015-02-10,SH518880,64600,2.514,162404.4
2015-02-11,SH511880,1400,108.14949018118338,151409.28625365673
2015-02-12,SZ159915,94900,1.72,163228.0
2015-02-13,SZ159915,94900,1.761,167118.9
2015-02-16,SZ159915,94900,1.83,173667.0
2015-02-17,SZ159915,94900,1.82,172718.0
2015-02-25,SZ159915,94900,1.803,171104.69999999998
2015-02-26,SZ159915,94900,1.814,172148.6
2015-02-27,SZ159915,94900,1.863,176798.7
2015-03-02,SZ159915,94900,1.914,181638.6
2015-03-03,SZ159915,94900,1.883,178696.7
2015-03-04,SZ159915,94900,1.94,184106.0
2015-03-05,SZ159915,94900,1.938,183916.19999999998
2015-03-06,SZ159915,94900,1.88,178412.0
2015-03-09,SZ159915,94900,1.927,182872.30000000002
2015-03-10,SZ159915,94900,1.972,187142.8
2015-03-11,SZ159902,55800,3.33191327481475,185920.76073466305
2015-03-12,SZ159907,135100,1.368,184816.80000000002
2015-03-13,SZ159907,135100,1.389,187653.9
2015-03-16,SZ159907,135100,1.44,194544.0
2015-03-17,SZ159907,135100,1.454,196435.4
2015-03-18,SH510290,117900,1.649,194417.1
2015-03-19,SH510500,103000,1.908,196524.0
2015-03-20,SH510290,118000,1.675,197650.0
2015-03-23,SZ159902,54400,3.737117598721018,203299.19737042338
2015-03-24,SH510170,94600,2.18,206228.00000000003
2015-03-25,SH510170,94600,2.163,204619.8
2015-03-26,SH510170,94600,2.162,204525.19999999998
2015-03-27,SH510170,94600,2.17,205282.0
2015-03-30,SH510170,94600,2.187,206890.19999999998
2015-03-31,SH510170,94600,2.2,208120.00000000003
2015-04-01,SH510170,94600,2.211,209160.59999999998
2015-04-02,SH510170,94600,2.231,211052.59999999998
2015-04-03,SH510170,94600,2.252,213039.19999999998
2015-04-07,SH510170,94600,2.3,217579.99999999997
2015-04-08,SH510110,57400,3.895,223573.0
2015-04-09,SH513030,224400,1.019,228663.59999999998
2015-04-10,SH510170,102500,2.289,234622.50000000003
2015-04-13,SH510170,102500,2.348,240670.0
2015-04-14,SH510170,102500,2.349,240772.50000000003
2015-04-15,SH510170,102500,2.303,236057.5
2015-04-16,SH510170,102500,2.339,239747.5
2015-04-17,SZ159903,163200,1.481,241699.2
2015-04-20,SZ159903,163200,1.45,236640.0
2015-04-21,SH511880,2100,109.28843795363184,229505.71970262687
2015-04-22,SH510410,232800,1.031,240016.8
2015-04-23,SH510170,95000,2.599,246905.00000000003
2015-04-24,SH510650,129700,1.87,242539.0
2015-04-27,SH510110,58900,4.14,243845.99999999997
2015-04-28,SH510110,58900,4.1,241489.99999999997
2015-04-29,SH510650,128400,1.917,246142.80000000002
2015-04-30,SZ159915,90800,2.748,249518.40000000002
2015-05-04,SZ159915,90800,2.74,248792.00000000003
2015-05-05,SH510880,60500,3.918134591113982,237047.1427623959
2015-05-06,SH513100,164000,1.437,235668.0
2015-05-07,SH513100,164000,1.435,235340.0
2015-05-08,SH513100,164000,1.45,237800.0
2015-05-11,SH513100,164000,1.457,238948.0
2015-05-12,SH510120,57800,4.179,241546.2
2015-05-13,SH510160,322000,0.745,239890.0
2015-05-14,SZ159912,131900,1.825,240717.5
2015-05-15,SZ159902,50500,4.687143280418355,236700.73566112694
2015-05-18,SZ159902,50500,4.8530041176649625,245076.7079420806
2015-05-19,SZ159912,137500,1.861,255887.5
2015-05-20,SZ159907,119400,2.12,253128.0
2015-05-21,SH510660,138100,1.905,263080.5
2015-05-22,SH510500,106900,2.48025,265138.725
2015-05-25,SZ159929,133700,1.97,263389.0
2015-05-26,SZ159929,133700,2.0,267400.0
2015-05-27,SH510290,105800,2.524,267039.2
2015-05-28,SH510660,131300,1.931,253540.30000000002
2015-05-29,SH511880,2200,109.45083749436812,240791.84248760986
2015-06-01,SH511880,2200,109.45191298801538,240794.20857363383
2015-06-02,SH511880,2200,109.44330903883728,240775.27988544203
2015-06-03,SZ159928,131900,1.831,241508.9
2015-06-04,SZ159903,126700,1.83,231861.0
2015-06-05,SH510170,82800,3.027,250635.6
2015-06-08,SH510880,54000,4.70663885530082,254158.49818624428
2015-06-09,SH510410,210600,1.225,257985.00000000003
2015-06-10,SH510210,48300,5.529,267050.7
2015-06-11,SH510300,48400,5.50605025297414,266492.8322439484
2015-06-12,SH510210,48700,5.53,269311.0
2015-06-15,SH510210,48700,5.529,269262.3
2015-06-16,SH511880,2400,109.62721845251878,263105.32428604504
2015-06-17,SH511880,2400,109.66055875558384,263185.3410134012
2015-06-18,SH511880,2400,109.66378523652561,263193.08456766146
2015-06-19,SH511880,2400,109.7046539951215,263291.1695882916
2015-06-23,SH511880,2400,109.72186189347767,263332.4685443464
2015-06-24,SH511880,2400,109.77563657584066,263461.5277820176
2015-06-25,SH511880,2400,109.77456108219342,263458.9465972642
2015-06-26,SH511880,2400,109.77886305678244,263469.27133627783
2015-06-29,SH511880,2400,109.77025910760437,263448.6218582505
2015-06-30,SH511880,2400,109.76273065207356,263430.55356497655
2015-07-01,SH511880,2400,109.78639151231327,263487.33962955186
2015-07-02,SH511880,2400,109.79284447419683,263502.8267380724
2015-07-03,SH511880,2400,109.81220335984752,263549.288063634
2015-07-06,SH511880,2400,109.88641242150847,263727.38981162035
2015-07-07,SH511880,2400,109.97460290058379,263939.0469614011
2015-07-08,SH511880,2400,109.89716735798108,263753.20165915455
2015-07-09,SH511880,2400,109.91007328174818,263784.17587619566
2015-07-10,SH511880,2400,109.92728118010434,263825.47483225045
2015-07-13,SH511880,2400,109.93696062292969,263848.70549503126
2015-07-14,SH511880,2400,109.9477155594023,263874.5173425655
2015-07-15,SH511880,2400,109.96277247046393,263910.6539291134
2015-07-16,SH511880,2400,109.97998036882011,263951.95288516826
2015-07-17,SH511880,2400,110.01869814012147,264044.8755362915
2015-07-20,SH511880,2400,110.01869814012147,264044.8755362915
2015-07-21,SH511880,2400,110.0230001147105,264055.2002753052
2015-07-22,SH511880,2400,110.0230001147105,264055.2002753052
2015-07-23,SH511880,2400,110.03052857024133,264073.26856857917
2015-07-24,SH511880,2400,110.04666097495023,264111.98633988056
2015-07-27,SH511880,2400,110.0660198606009,264158.4476654422
2015-07-28,SH511880,2400,110.07462380977898,264179.09714346955
