top_k,module,paired_comparisons,mean_delta_sharpe,mean_delta_annualized_return,mean_delta_annualized_turnover,positive_delta_sharpe_ratio
1,use_r2,32,0.10837982246933756,0.037160272773056106,2.0628234085780353,0.875
1,use_ordinary_filters,32,0.21722660717029943,0.08297487594418301,133.277235068328,1.0
1,use_buffer,32,-0.008592762922962257,-0.003805834732398799,-15.650082664788787,0.375
1,use_regime,32,0.46737224294286084,0.17624270058890407,1.3565554328753144,1.0
1,use_mainline,32,-0.0038643573978722357,-0.0014955337689977442,0.1059518169324587,0.15625
1,use_retention,32,0.000748158224756254,0.0002887549294065435,-0.14159042059432814,0.3125
3,use_r2,32,0.04099700607329011,0.008179312062281896,-4.837587915359109,0.5
3,use_ordinary_filters,32,0.1727886486235902,0.04125845597533839,104.7662342348805,0.875
3,use_buffer,32,0.015247297511790523,0.004294031724035377,-10.304465084087122,0.5625
3,use_regime,32,0.6310026791275694,0.1779997420257545,3.333858500498387,1.0
3,use_mainline,32,-5.00570726949005e-05,-2.25769524252184e-05,0.08762975305662035,0.25
3,use_retention,32,0.001087489924714473,0.0003008512335334057,-0.05306587095037063,0.3125
