top_k,stage,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return,delta_sharpe,delta_annualized_return,delta_annualized_turnover
1,A0,2808,-0.35573425425031924,-0.038687008807775314,0.42548801099962785,0.12101895633935288,0.7640221084596298,937.1068023045958,84.0993284119509,26129.458316476444,0.000985735950803744,0.9990142640491964,2747,-0.5872493716457718,,,
1,A1,2808,0.12424074899556992,0.010565105671943797,0.405803806181631,0.2291279193254375,0.6819387048710064,980.2230182939054,87.96873241099152,40202.55960338391,0.0023449008778771295,0.9976550991221229,1189,-0.5176985095026898,0.10810896298608462,0.04925211447971911,3.869403999040614
1,A2,2808,0.5350851153700535,0.03921210098940686,0.29604082710268526,0.27779638299705345,0.5476632937186533,2785.718496683754,250.0003779075164,149186.5713534187,0.004227661231676995,0.9957723387683229,2078,-0.4660899605170111,0.04866846367161595,0.028646995317463064,162.03164549652487
1,A3,2808,1.1457404368473116,0.07091974747650442,0.2966474284348507,0.3790408282085249,0.5546313938837975,2531.7470853965106,227.20807176635353,148255.24299872358,0.003459435724207689,0.9965405642757922,1966,-0.4990873977812573,0.10124444521147147,0.03170764648709756,-22.792306141162868
1,A4,2808,13.33708878302429,0.2699451366815946,0.30120659465142874,0.9440529062441521,0.33485143284994767,2340.8449775218082,210.07583131605972,250225.4510867647,0.004121432285527225,0.9958785677144729,769,-0.2587973383180364,0.5650120780356271,0.19902538920509016,-17.132240450293807
1,A5,2808,12.487271000053527,0.2630002700810692,0.30137245410055147,0.9254913692398846,0.33481685157866736,2355.3141979943243,211.37435110205476,251134.63623831607,0.004396206701472999,0.9956037932985271,769,-0.2588363212971462,-0.018561537004267437,-0.006944866600525401,1.2985197859950404
1,A6,2808,12.424384575791631,0.2624706516635864,0.3012890744384344,0.9242704425372663,0.33481685157866736,2345.835085560978,210.52366152470316,250251.21656851473,0.004395965884547519,0.9956040341154526,769,-0.2588363212971462,-0.001220926702618308,-0.00052961841748278,-0.8506895773516021
3,A0,2808,-0.19079452976955624,-0.01881959236848496,0.33689973157332603,0.1126229628267329,0.7192762549060174,780.7929968745118,70.07116638617414,21925.12556562909,0.024033839577372176,0.9759661604226277,2700,-0.5754651531491327,,,
3,A1,2808,0.31794178911056226,0.025085093002112924,0.32190742131825584,0.23822117624834777,0.6612957436897494,782.8242347965672,70.2534569689227,41061.529931200246,0.02907542855889484,0.9709245714411052,1175,-0.5763750831900444,0.12559821342161487,0.043904685370597885,0.18229058274856413
3,A2,2808,0.5905425076154154,0.04252720531040799,0.24867831344011807,0.29208236527215675,0.4963627148788806,2248.8840849513635,201.8229307007634,133873.55725510558,0.020510575487764034,0.979489424512236,1184,-0.46115394752218997,0.053861189023808986,0.017442112308295066,131.5694737318407
3,A3,2808,0.6351508230327967,0.045118282790373554,0.2463914740076099,0.30259633038582096,0.47834928371824903,2099.114029120688,188.38202825442073,130457.78732415201,0.020627872237800826,0.9793721277621993,1184,-0.4518117940529346,0.010513965113664203,0.0025910774799655645,-13.440902446342676
3,A4,2808,7.280239532105632,0.20889467730601208,0.22349022139361302,0.960903954359776,0.2576294483197372,1838.7686222384427,165.01769686755256,167764.37708139129,0.03880307423906183,0.9611969257609382,993,-0.12373354128553415,0.6583076239739551,0.16377639451563852,-23.364331386868173
3,A5,2808,7.296018760203497,0.20910124308736622,0.22364711821237687,0.9611489124765964,0.2576850931735285,1844.3636399253285,165.51981383945255,168432.4828301432,0.03951529989889811,0.9604847001011019,993,-0.12127275900115897,0.0002449581168203485,0.00020656578135413994,0.5021169718999943
3,A6,2808,7.388476934507116,0.21030447344011605,0.22358283611568966,0.9658095268871972,0.2576850931735285,1841.2852468059762,165.2435477902799,168128.71550027473,0.03951574284746635,0.9604842571525336,993,-0.12127275900115897,0.0046606144106008385,0.001203230352749829,-0.27626604917264785
