symbol,net_pnl,return_contribution,holding_days,average_weight_when_held,maximum_weight,average_portfolio_weight,positive_contribution_share
SH513100,136953.7636000001,0.35410650751954337,410,0.4599128651762975,0.9998948099247682,0.06715251948799215,0.07401603480945756
SH513500,95217.29740000007,0.27063055306288136,390,0.45762975420430646,0.9998179744815988,0.06355968808393145,0.05145975264619069
SZ159851,87864.65979999998,0.18070708590503953,30,0.3328436619813833,0.3656211722402873,0.003556022029715634,0.04748605330242959
SH518880,79031.06449999985,0.24361286201345078,400,0.6165106828430199,0.9999694515972415,0.08782203459302278,0.04271197714686587
SZ159516,78098.785,0.08711696627585587,5,0.34991299975939183,0.3638964368220813,0.0006230644582610254,0.04220813095739078
SH561980,71235.14240000004,0.07960856361979418,10,0.33997830841083904,0.35487879714089454,0.001210748961577062,0.038498706723639586
SZ159583,63767.520199999984,0.1003106450168833,15,0.3336553419346906,0.34856326018694117,0.0017823469120442873,0.03446286447900132
SH515880,57663.06640000004,0.08834461941610075,25,0.3343716215737892,0.35418736786345706,0.0029769553202794626,0.03116374035800841
SH512670,56403.92469999999,0.0986330325747199,35,0.33333013414245766,0.341668674048415,0.004154755945507842,0.030483242988330845
SZ159509,56403.92050000005,0.13132562838242803,75,0.38138212183164993,0.9999091091323374,0.010186488296785522,0.0304832407184601
SH513980,51209.79770000001,0.09707675318024482,20,0.33237926064037554,0.34676154158855005,0.002367373651284726,0.02767610082055809
SH513590,50074.611999999994,0.10001134266835215,5,0.3254491183534487,0.3278870544535535,0.0005795034158715255,0.027062594903832775
SH512660,46760.72750000004,0.06528690350421612,45,0.34997043094023184,0.50185487817434,0.005608500495837048,0.025271621190814504
SH588170,33055.80479999997,0.040756383133227075,5,0.3451257897787512,0.35726754199549504,0.0006145402239650128,0.017864858434101703
SH513060,30753.949999999983,0.07636688195367893,15,0.33292345586383815,0.3418708250589412,0.0017784372642299046,0.016620831541195518
SH510630,28998.758900000033,0.09354554495755306,75,0.44690937847100504,0.9999183708059967,0.011936682117281118,0.015672246543310536
SZ159792,27210.459600000006,0.06555088757673544,15,0.3395881136584615,0.35586892219644695,0.0018140390686883627,0.014705768370245342
SZ159570,27106.00129999998,0.05738920898314428,20,0.33402606207920926,0.33724528195439757,0.0023791030062621744,0.014649314360032669
SZ159930,26778.855400000004,0.026817039728253233,35,0.33065965143154097,0.37969478506537563,0.004121470014282028,0.014472509855463583
