trade_date,sh000300,sz399101,sz399006,sh000510
2014-08-01,2329.402,6690.418,1325.938,2633.082
2014-08-04,2375.62,6785.24,1329.821,2679.022
2014-08-05,2369.353,6831.531,1360.692,2680.012
2014-08-06,2363.221,6863.908,1365.74,2677.708
2014-08-07,2327.457,6804.963,1362.028,2641.041
2014-08-08,2331.134,6860.358,1377.445,2649.962
2014-08-11,2365.349,6961.015,1397.784,2689.36
2014-08-12,2357.052,6997.012,1396.438,2684.294
2014-08-13,2358.901,6997.61,1384.309,2680.89
2014-08-14,2335.945,6963.22,1380.303,2658.932
2014-08-15,2360.635,7037.343,1392.451,2686.047
2014-08-18,2374.562,7141.101,1428.739,2708.948
2014-08-19,2374.768,7161.481,1436.396,2711.933
2014-08-20,2366.14,7161.855,1427.404,2702.273
2014-08-21,2354.244,7160.826,1447.881,2695.224
2014-08-22,2365.364,7211.824,1461.722,2708.584
2014-08-25,2342.863,7172.868,1443.806,2683.082
2014-08-26,2324.092,7049.651,1411.15,2655.115
2014-08-27,2327.595,7103.835,1420.54,2662.645
2014-08-28,2311.278,7042.584,1403.795,2641.345
2014-08-29,2338.287,7121.271,1424.469,2673.751
2014-09-01,2355.317,7240.731,1452.843,2702.354
2014-09-02,2386.46,7338.483,1465.033,2738.131
2014-09-03,2408.838,7398.792,1477.673,2762.687
2014-09-04,2426.224,7448.774,1495.513,2783.637
2014-09-05,2449.259,7485.634,1489.835,2807.013
2014-09-09,2445.224,7520.846,1494.017,2810.109
2014-09-10,2432.433,7560.746,1504.914,2801.756
2014-09-11,2423.454,7545.91,1513.014,2793.677
2014-09-12,2438.358,7628.278,1524.121,2814.111
2014-09-15,2437.189,7704.511,1526.135,2816.289
2014-09-16,2388.765,7435.194,1473.13,2752.026
2014-09-17,2401.326,7480.261,1479.118,2766.492
2014-09-18,2408.664,7528.801,1490.787,2778.254
2014-09-19,2425.211,7614.663,1499.124,2798.275
2014-09-22,2378.92,7534.273,1483.353,2747.541
2014-09-23,2399.462,7636.889,1500.99,2773.754
2014-09-24,2441.864,7723.724,1517.421,2816.06
2014-09-25,2436.965,7734.986,1508.416,2812.122
2014-09-26,2437.201,7765.224,1511.357,2815.209
2014-09-29,2447.799,7850.674,1526.175,2830.435
2014-09-30,2450.988,7904.177,1540.874,2839.245
2014-10-08,2478.383,8006.563,1557.568,2875.095
2014-10-09,2481.955,8028.322,1561.166,2882.23
2014-10-10,2466.789,7982.504,1554.217,2863.699
2014-10-13,2454.946,7954.501,1548.327,2850.351
2014-10-14,2446.562,7928.396,1539.119,2839.751
2014-10-15,2463.874,7959.449,1545.623,2857.893
2014-10-16,2444.395,7854.006,1526.56,2831.375
2014-10-17,2441.732,7778.247,1511.054,2820.159
2014-10-20,2454.711,7890.528,1532.38,2841.918
2014-10-21,2433.391,7842.138,1517.483,2815.913
2014-10-22,2418.641,7750.336,1504.552,2798.58
2014-10-23,2395.936,7640.111,1477.837,2769.242
2014-10-24,2390.706,7658.735,1477.588,2766.847
2014-10-27,2368.832,7719.763,1492.01,2757.344
2014-10-28,2416.653,7893.227,1522.052,2813.333
2014-10-29,2451.384,7979.88,1530.084,2850.252
2014-10-30,2468.925,7976.326,1525.767,2867.045
2014-10-31,2508.325,7953.966,1513.267,2895.06
2014-11-03,2512.548,8017.678,1529.892,2907.19
2014-11-04,2513.172,7962.573,1516.396,2901.738
2014-11-05,2503.448,7952.175,1512.487,2889.199
2014-11-06,2506.067,8017.172,1532.52,2896.825
2014-11-07,2502.153,7934.478,1522.625,2881.516
2014-11-10,2565.73,7976.739,1514.818,2940.474
2014-11-11,2558.612,7717.814,1461.508,2908.645
2014-11-12,2594.318,7817.483,1475.753,2948.001
2014-11-13,2579.75,7685.582,1442.859,2927.586
2014-11-14,2581.093,7684.951,1441.213,2929.216
