trade_date,symbol,shares,adjusted_close,market_value
2015-01-05,SH510210,18700,3.708,69339.6
2015-01-05,SH510880,22500,3.0870561921743187,69458.76432392217
2015-01-05,SZ159931,39400,1.689,66546.6
2015-01-06,SH510210,18700,3.687,68946.9
2015-01-06,SH510880,22500,3.081435186726077,69332.29170133674
2015-01-06,SZ159931,39400,1.648,64931.2
2015-01-07,SH510210,18700,3.687,68946.9
2015-01-07,SH510880,22500,3.0701931758295937,69079.34645616586
2015-01-07,SZ159931,39400,1.654,65167.6
2015-01-08,SH510210,18700,3.62,67694.0
2015-01-08,SH510880,22500,2.999368507181749,67485.79141158935
2015-01-08,SZ159931,39400,1.602,63118.8
2015-01-09,SH510210,18700,3.649,68236.3
2015-01-09,SH510880,22500,2.980257088657727,67055.78449479885
2015-01-09,SZ159931,39400,1.611,63473.4
2015-01-12,SH510300,17700,3.673515392983241,65021.22245580337
2015-01-12,SH510880,22500,2.9195502298167173,65689.88017087615
2015-01-12,SH510900,51800,1.273,65941.4
2015-01-13,SH510300,17700,3.6662616249293953,64892.8307612503
2015-01-13,SH510880,22500,2.9229228330856625,65765.7637444274
2015-01-13,SH510900,51800,1.226,63506.799999999996
2015-01-14,SH510300,17700,3.657971604296429,64746.097396046796
2015-01-14,SH510880,22500,2.9128050232788274,65538.11302377362
2015-01-14,SH510900,51800,1.17,60605.99999999999
2015-01-15,SH510300,17700,3.7615968622085094,66580.26446109061
2015-01-15,SH510880,22500,2.9982443060921002,67460.49688707225
2015-01-15,SH510900,51800,1.186,61434.799999999996
2015-01-16,SH510300,17700,3.794756944740375,67167.19792190463
2015-01-16,SH510880,22500,3.026349333333309,68092.85999999946
2015-01-16,SH510900,51800,1.249,64698.200000000004
2015-01-19,SH510060,35500,1.685,59817.5
2015-01-19,SH510110,18200,3.279,59677.799999999996
2015-01-19,SH510650,39200,1.52,59584.0
2015-01-20,SH510060,35500,1.708,60634.0
2015-01-20,SH510110,18200,3.224,58676.8
2015-01-20,SH510650,39200,1.507,59074.399999999994
2015-01-21,SH510060,35500,1.796,63758.0
2015-01-21,SH510110,18200,3.45,62790.0
2015-01-21,SH510650,39200,1.608,63033.600000000006
2015-01-22,SH510060,35500,1.804,64042.0
2015-01-22,SH510110,18200,3.441,62626.2
2015-01-22,SH510650,39200,1.603,62837.6
2015-01-23,SH510060,35500,1.811,64290.5
2015-01-23,SH510110,18200,3.469,63135.799999999996
2015-01-23,SH510650,39200,1.628,63817.6
2015-01-26,SH510260,53200,1.194,63520.799999999996
2015-01-26,SZ159902,21300,3.0390324292970075,64731.390744026256
2015-01-26,SZ159915,38600,1.686,65079.6
2015-01-27,SH510260,53200,1.199,63786.8
2015-01-27,SZ159902,21300,3.0495299506417295,64954.98794866884
2015-01-27,SZ159915,38600,1.688,65156.799999999996
2015-01-28,SH510260,53200,1.178,62669.6
2015-01-28,SZ159902,21300,3.007539865262842,64060.59913009853
2015-01-28,SZ159915,38600,1.668,64384.799999999996
2015-01-29,SH510260,53200,1.16,61711.99999999999
2015-01-29,SZ159902,21300,2.998092096052592,63859.36164592021
2015-01-29,SZ159915,38600,1.652,63767.2
2015-01-30,SH510260,53200,1.143,60807.6
2015-01-30,SZ159902,21300,2.956102010673704,62964.9728273499
2015-01-30,SZ159915,38600,1.623,62647.8
2015-02-02,SH511880,1700,108.05484674022448,183693.2394583816
2015-02-03,SH511880,1700,108.09571549882035,183762.7163479946
2015-02-04,SH511880,1700,108.13873524471077,183835.8499160083
2015-02-05,SH511880,1700,108.15594314306692,183865.10334321376
2015-02-06,SH511880,1700,108.16239610495049,183876.07337841584
2015-02-09,SH513030,95100,0.963,91581.3
2015-02-09,SH513500,81200,1.136,92243.2
2015-02-10,SH513030,95100,0.954,90725.4
2015-02-10,SH513500,81200,1.129,91674.8
2015-02-11,SH513030,95100,0.968,92056.8
2015-02-11,SH513500,81200,1.143,92811.6
2015-02-12,SH513030,95100,0.967,91961.7
2015-02-12,SH513500,81200,1.142,92730.4
2015-02-13,SH513030,95100,0.991,94244.1
2015-02-13,SH513500,81200,1.157,93948.40000000001
2015-02-16,SH510500,38800,1.651,64058.8
2015-02-16,SZ159902,20200,3.2038435144091424,64717.638991064676
2015-02-16,SZ159915,35500,1.83,64965.0
2015-02-17,SH510500,38800,1.659,64369.200000000004
2015-02-17,SZ159902,20200,3.21224153148492,64887.27893599539
2015-02-17,SZ159915,35500,1.82,64610.0
2015-02-25,SH510500,38800,1.655,64214.0
2015-02-25,SZ159902,20200,3.1775997110473377,64187.51416315622
2015-02-25,SZ159915,35500,1.803,64006.5
2015-02-26,SH510500,38800,1.675,64990.0
2015-02-26,SZ159902,20200,3.211191779350448,64866.073942879055
2015-02-26,SZ159915,35500,1.814,64397.0
2015-02-27,SH510500,38800,1.692,65649.59999999999
2015-02-27,SZ159902,20200,3.2363858305777806,65374.99377767117
2015-02-27,SZ159915,35500,1.863,66136.5
2015-03-02,SH510500,38800,1.728,67046.4
2015-03-02,SZ159902,20200,3.2909729415703346,66477.65341972077
2015-03-02,SZ159915,35500,1.914,67947.0
2015-03-03,SH510500,38800,1.716,66580.8
2015-03-03,SZ159902,20200,3.2426843433846138,65502.2237363692
2015-03-03,SZ159915,35500,1.883,66846.5
2015-03-04,SH510500,38800,1.749,67861.2
2015-03-04,SZ159902,20200,3.3077689757218898,66816.93330958218
2015-03-04,SZ159915,35500,1.94,68870.0
2015-03-05,SH510500,38800,1.745,67706.0
2015-03-05,SZ159902,20200,3.3256147620079175,67177.41819255994
2015-03-05,SZ159915,35500,1.938,68799.0
2015-03-06,SH510500,38800,1.72,66736.0
2015-03-06,SZ159902,20200,3.239535086981197,65438.60875702018
2015-03-06,SZ159915,35500,1.88,66740.0
2015-03-09,SH510290,43900,1.51,66289.0
2015-03-09,SH510500,38800,1.749,67861.2
2015-03-09,SZ159915,35500,1.927,68408.5
2015-03-10,SH510290,43900,1.522,66815.8
2015-03-10,SH510500,38800,1.759,68249.2
2015-03-10,SZ159915,35500,1.972,70006.0
2015-03-11,SH510290,43900,1.518,66640.2
2015-03-11,SH510500,38800,1.758,68210.4
2015-03-11,SZ159915,35500,1.96,69580.0
2015-03-12,SH510290,43900,1.522,66815.8
2015-03-12,SH510500,38800,1.756,68132.8
