entry_date,symbol,local_symbol,exit_date
2015-01-06,510210.XSHG,SH510210,2015-01-07
2015-01-07,510880.XSHG,SH510880,2015-01-09
2015-01-09,510210.XSHG,SH510210,2015-01-12
2015-01-12,510300.XSHG,SH510300,2015-01-13
2015-01-13,510210.XSHG,SH510210,2015-01-14
2015-01-14,159903.XSHE,SZ159903,2015-01-15
2015-01-15,510260.XSHG,SH510260,2015-01-16
2015-01-16,510060.XSHG,SH510060,2015-01-20
2015-01-20,518880.XSHG,SH518880,2015-01-23
2015-01-23,510260.XSHG,SH510260,2015-01-30
2015-01-30,159915.XSHE,SZ159915,2015-02-02
2015-02-02,518880.XSHG,SH518880,2015-02-11
2015-02-12,159915.XSHE,SZ159915,2015-03-11
2015-03-11,159902.XSHE,SZ159902,2015-03-12
2015-03-12,159907.XSHE,SZ159907,2015-03-18
2015-03-18,510290.XSHG,SH510290,2015-03-19
2015-03-19,510500.XSHG,SH510500,2015-03-20
2015-03-20,510290.XSHG,SH510290,2015-03-23
2015-03-23,159902.XSHE,SZ159902,2015-03-24
2015-03-24,510170.XSHG,SH510170,2015-04-08
2015-04-08,510110.XSHG,SH510110,2015-04-09
2015-04-09,513030.XSHG,SH513030,2015-04-10
2015-04-10,510170.XSHG,SH510170,2015-04-17
2015-04-17,159903.XSHE,SZ159903,2015-04-21
2015-04-22,510410.XSHG,SH510410,2015-04-23
2015-04-23,510170.XSHG,SH510170,2015-04-24
2015-04-24,510650.XSHG,SH510650,2015-04-27
2015-04-27,510110.XSHG,SH510110,2015-04-29
2015-04-29,510650.XSHG,SH510650,2015-04-30
2015-04-30,159915.XSHE,SZ159915,2015-05-05
2015-05-05,510880.XSHG,SH510880,2015-05-06
2015-05-06,513100.XSHG,SH513100,2015-05-12
2015-05-12,510120.XSHG,SH510120,2015-05-13
2015-05-13,510160.XSHG,SH510160,2015-05-14
2015-05-14,159912.XSHE,SZ159912,2015-05-15
2015-05-15,159902.XSHE,SZ159902,2015-05-19
2015-05-19,159912.XSHE,SZ159912,2015-05-20
2015-05-20,159907.XSHE,SZ159907,2015-05-21
2015-05-21,510660.XSHG,SH510660,2015-05-22
2015-05-22,510500.XSHG,SH510500,2015-05-25
2015-05-25,159929.XSHE,SZ159929,2015-05-27
2015-05-27,510290.XSHG,SH510290,2015-05-28
2015-05-28,510660.XSHG,SH510660,2015-05-29
2015-06-03,159928.XSHE,SZ159928,2015-06-04
2015-06-04,159903.XSHE,SZ159903,2015-06-05
2015-06-05,510170.XSHG,SH510170,2015-06-08
2015-06-08,510880.XSHG,SH510880,2015-06-09
2015-06-09,510410.XSHG,SH510410,2015-06-10
2015-06-10,510210.XSHG,SH510210,2015-06-11
2015-06-11,510300.XSHG,SH510300,2015-06-12
2015-06-12,510210.XSHG,SH510210,2015-06-16
2015-07-31,513100.XSHG,SH513100,2015-08-10
2015-08-12,513100.XSHG,SH513100,2015-08-24
2015-08-24,518880.XSHG,SH518880,2015-09-09
2015-10-12,159915.XSHE,SZ159915,2015-10-13
2015-10-14,159915.XSHE,SZ159915,2015-10-15
2015-10-16,518880.XSHG,SH518880,2015-10-19
2015-10-19,159902.XSHE,SZ159902,2015-10-22
2015-10-22,510660.XSHG,SH510660,2015-11-02
2015-11-02,518880.XSHG,SH518880,2015-11-03
2015-11-05,159902.XSHE,SZ159902,2015-11-06
2015-11-06,159915.XSHE,SZ159915,2015-11-12
2015-11-12,159903.XSHE,SZ159903,2015-11-16
2015-11-16,159915.XSHE,SZ159915,2015-11-18
2015-11-18,159943.XSHE,SZ159943,2015-11-19
2015-11-23,159915.XSHE,SZ159915,2015-11-30
2015-12-25,510660.XSHG,SH510660,2015-12-29
2015-12-29,518880.XSHG,SH518880,2016-02-16
2016-02-18,518880.XSHG,SH518880,2016-03-15
2016-03-15,510900.XSHG,SH510900,2016-03-25
2016-03-25,510630.XSHG,SH510630,2016-03-28
2016-03-28,510650.XSHG,SH510650,2016-03-29
2016-03-31,512070.XSHG,SH512070,2016-04-01
2016-04-01,159915.XSHE,SZ159915,2016-04-05
2016-04-05,510500.XSHG,SH510500,2016-04-06
2016-04-06,159915.XSHE,SZ159915,2016-04-11
2016-04-12,159915.XSHE,SZ159915,2016-04-19
2016-04-27,518880.XSHG,SH518880,2016-05-04
2016-05-05,518880.XSHG,SH518880,2016-05-23
2016-06-08,159920.XSHE,SZ159920,2016-06-14
2016-06-23,159902.XSHE,SZ159902,2016-06-27
2016-06-28,518880.XSHG,SH518880,2016-07-14
2016-07-14,510630.XSHG,SH510630,2016-07-20
2016-07-20,510660.XSHG,SH510660,2016-07-25
2016-07-27,159920.XSHE,SZ159920,2016-07-28
2016-08-02,513030.XSHG,SH513030,2016-08-04
2016-08-04,513100.XSHG,SH513100,2016-08-09
2016-08-09,159920.XSHE,SZ159920,2016-08-10
2016-08-10,510880.XSHG,SH510880,2016-08-11
2016-08-11,159920.XSHE,SZ159920,2016-08-15
2016-08-15,513100.XSHG,SH513100,2016-08-16
2016-08-16,513030.XSHG,SH513030,2016-08-19
2016-08-19,510880.XSHG,SH510880,2016-08-22
2016-08-22,513030.XSHG,SH513030,2016-08-24
2016-08-24,510880.XSHG,SH510880,2016-08-25
2016-08-25,159920.XSHE,SZ159920,2016-08-26
2016-08-26,513030.XSHG,SH513030,2016-08-31
2016-09-07,159920.XSHE,SZ159920,2016-09-12
2016-09-12,510900.XSHG,SH510900,2016-09-13
2016-09-23,159920.XSHE,SZ159920,2016-09-27
2016-10-25,510500.XSHG,SH510500,2016-10-26
2016-10-26,510060.XSHG,SH510060,2016-10-31
2016-11-02,512880.XSHG,SH512880,2016-11-03
2016-11-04,512070.XSHG,SH512070,2016-11-07
2016-11-09,512880.XSHG,SH512880,2016-11-10
2016-11-11,512880.XSHG,SH512880,2016-11-14
2016-11-14,512070.XSHG,SH512070,2016-11-15
2016-11-15,510880.XSHG,SH510880,2016-11-16
2016-11-16,512880.XSHG,SH512880,2016-11-24
2016-11-24,510300.XSHG,SH510300,2016-11-25
2016-11-25,512880.XSHG,SH512880,2016-11-28
2016-11-28,513500.XSHG,SH513500,2016-11-29
2016-11-29,512880.XSHG,SH512880,2016-12-01
2016-12-01,510060.XSHG,SH510060,2016-12-02
2016-12-02,510880.XSHG,SH510880,2016-12-06
2016-12-09,513100.XSHG,SH513100,2016-12-12
2016-12-12,513500.XSHG,SH513500,2016-12-29
2016-12-29,513030.XSHG,SH513030,2017-01-04
2017-01-05,513030.XSHG,SH513030,2017-01-06
2017-01-11,513030.XSHG,SH513030,2017-01-18
2017-01-18,518880.XSHG,SH518880,2017-01-26
2017-01-26,159920.XSHE,SZ159920,2017-02-03
2017-02-03,510900.XSHG,SH510900,2017-02-06
2017-02-06,159920.XSHE,SZ159920,2017-02-14
2017-02-14,513100.XSHG,SH513100,2017-02-20
2017-02-20,510900.XSHG,SH510900,2017-02-28
2017-02-28,513100.XSHG,SH513100,2017-03-02
2017-03-02,159902.XSHE,SZ159902,2017-03-06
2017-03-06,513500.XSHG,SH513500,2017-03-16
2017-03-16,513100.XSHG,SH513100,2017-03-17
2017-03-17,513500.XSHG,SH513500,2017-03-23
2017-03-23,159902.XSHE,SZ159902,2017-03-24
2017-03-24,510500.XSHG,SH510500,2017-03-27
2017-03-27,159902.XSHE,SZ159902,2017-03-30
2017-04-07,159920.XSHE,SZ159920,2017-04-10
2017-04-10,518880.XSHG,SH518880,2017-04-28
2017-05-09,513030.XSHG,SH513030,2017-05-17
2017-05-17,513050.XSHG,SH513050,2017-05-19
2017-05-19,159920.XSHE,SZ159920,2017-05-22
2017-05-22,513050.XSHG,SH513050,2017-05-25
2017-05-25,159920.XSHE,SZ159920,2017-06-02
2017-06-02,513100.XSHG,SH513100,2017-06-05
2017-06-05,159920.XSHE,SZ159920,2017-06-08
2017-06-08,510880.XSHG,SH510880,2017-06-16
2017-06-16,510810.XSHG,SH510810,2017-06-22
2017-06-22,510300.XSHG,SH510300,2017-06-27
2017-06-27,159902.XSHE,SZ159902,2017-07-11
2017-07-25,510880.XSHG,SH510880,2017-07-31
2017-07-31,159920.XSHE,SZ159920,2017-08-07
2017-08-07,518880.XSHG,SH518880,2017-08-08
2017-08-08,159920.XSHE,SZ159920,2017-08-11
2017-08-11,518880.XSHG,SH518880,2017-08-16
2017-08-16,510500.XSHG,SH510500,2017-08-17
2017-08-17,159949.XSHE,SZ159949,2017-08-18
2017-08-18,159915.XSHE,SZ159915,2017-08-21
2017-08-21,159949.XSHE,SZ159949,2017-08-25
2017-08-28,159949.XSHE,SZ159949,2017-08-29
2017-08-29,512660.XSHG,SH512660,2017-08-30
2017-08-30,159949.XSHE,SZ159949,2017-09-15
2017-09-15,512580.XSHG,SH512580,2017-09-18
2017-09-18,518880.XSHG,SH518880,2017-09-19
2017-09-19,159902.XSHE,SZ159902,2017-09-20
2017-09-21,512580.XSHG,SH512580,2017-09-22
2017-09-22,159902.XSHE,SZ159902,2017-09-25
2017-10-09,512660.XSHG,SH512660,2017-10-10
2017-10-10,510630.XSHG,SH510630,2017-10-11
2017-10-11,513030.XSHG,SH513030,2017-10-12
2017-10-12,513050.XSHG,SH513050,2017-10-13
2017-10-13,510630.XSHG,SH510630,2017-10-16
2017-10-16,510660.XSHG,SH510660,2017-10-17
2017-10-17,513050.XSHG,SH513050,2017-10-18
2017-10-18,510630.XSHG,SH510630,2017-10-24
2017-10-24,510900.XSHG,SH510900,2017-10-25
2017-10-25,512550.XSHG,SH512550,2017-10-30
2017-10-30,510630.XSHG,SH510630,2017-10-31
2017-10-31,512550.XSHG,SH512550,2017-11-01
2017-11-01,510630.XSHG,SH510630,2017-11-02
2017-11-02,159928.XSHE,SZ159928,2017-11-03
2017-11-03,510630.XSHG,SH510630,2017-11-06
2017-11-08,510660.XSHG,SH510660,2017-11-09
2017-11-09,159928.XSHE,SZ159928,2017-11-10
2017-11-10,510630.XSHG,SH510630,2017-11-16
2017-11-16,159928.XSHE,SZ159928,2017-11-21
2017-11-21,512550.XSHG,SH512550,2017-11-23
2017-11-23,512070.XSHG,SH512070,2017-11-24
2017-11-24,513100.XSHG,SH513100,2017-12-07
2017-12-22,513100.XSHG,SH513100,2017-12-25
2018-01-04,159928.XSHE,SZ159928,2018-01-15
2018-01-15,512200.XSHG,SH512200,2018-01-17
2018-01-17,159928.XSHE,SZ159928,2018-01-22
2018-01-22,510900.XSHG,SH510900,2018-01-26
2018-01-26,159910.XSHE,SZ159910,2018-01-30
2018-01-30,513100.XSHG,SH513100,2018-02-06
2018-03-14,159949.XSHE,SZ159949,2018-03-19
2018-03-19,513100.XSHG,SH513100,2018-03-26
2018-04-11,512660.XSHG,SH512660,2018-04-13
2018-04-13,512010.XSHG,SH512010,2018-04-16
2018-05-09,513100.XSHG,SH513100,2018-05-15
2018-05-15,512010.XSHG,SH512010,2018-05-18
2018-05-18,513100.XSHG,SH513100,2018-05-22
2018-05-22,512010.XSHG,SH512010,2018-05-24
2018-05-24,513100.XSHG,SH513100,2018-07-03
2018-07-06,513500.XSHG,SH513500,2018-07-09
2018-07-11,513500.XSHG,SH513500,2018-07-24
2018-07-24,512660.XSHG,SH512660,2018-07-30
2018-07-30,513100.XSHG,SH513100,2018-08-01
2018-08-01,513500.XSHG,SH513500,2018-08-14
2018-08-16,513500.XSHG,SH513500,2018-08-24
2018-08-31,513500.XSHG,SH513500,2018-09-07
2018-09-13,513500.XSHG,SH513500,2018-09-20
2018-09-20,512660.XSHG,SH512660,2018-09-21
2018-09-21,518880.XSHG,SH518880,2018-09-25
2018-09-25,512660.XSHG,SH512660,2018-09-28
2018-09-28,513500.XSHG,SH513500,2018-10-10
2018-10-16,518880.XSHG,SH518880,2018-11-01
2018-11-08,512880.XSHG,SH512880,2018-11-09
2018-11-14,512880.XSHG,SH512880,2018-11-16
2018-11-16,512980.XSHG,SH512980,2018-11-21
2018-12-04,159920.XSHE,SZ159920,2018-12-07
2018-12-13,518880.XSHG,SH518880,2019-01-09
2019-01-22,512880.XSHG,SH512880,2019-01-23
2019-01-23,159928.XSHE,SZ159928,2019-01-31
2019-01-31,513500.XSHG,SH513500,2019-02-11
2019-02-11,513050.XSHG,SH513050,2019-02-13
2019-02-13,159928.XSHE,SZ159928,2019-02-26
2019-02-26,512120.XSHG,SH512120,2019-02-27
2019-02-27,159928.XSHE,SZ159928,2019-02-28
2019-02-28,510300.XSHG,SH510300,2019-03-01
2019-03-01,510500.XSHG,SH510500,2019-03-04
2019-03-04,512010.XSHG,SH512010,2019-03-05
2019-03-05,510410.XSHG,SH510410,2019-03-06
2019-03-06,510150.XSHG,SH510150,2019-03-08
2019-03-08,512960.XSHG,SH512960,2019-03-11
2019-03-12,512010.XSHG,SH512010,2019-03-14
2019-03-14,510810.XSHG,SH510810,2019-03-15
2019-03-19,512580.XSHG,SH512580,2019-03-20
2019-03-20,159909.XSHE,SZ159909,2019-03-21
2019-03-21,510290.XSHG,SH510290,2019-03-22
2019-03-22,159949.XSHE,SZ159949,2019-03-25
2019-03-25,510500.XSHG,SH510500,2019-03-26
2019-03-26,513100.XSHG,SH513100,2019-04-01
2019-04-01,159928.XSHE,SZ159928,2019-04-09
2019-04-09,512200.XSHG,SH512200,2019-04-11
2019-04-11,510630.XSHG,SH510630,2019-04-12
2019-04-12,512200.XSHG,SH512200,2019-04-15
2019-04-15,513100.XSHG,SH513100,2019-04-18
2019-04-18,159928.XSHE,SZ159928,2019-04-23
2019-04-23,513100.XSHG,SH513100,2019-05-14
2019-05-21,518880.XSHG,SH518880,2019-05-31
2019-06-03,518880.XSHG,SH518880,2019-06-28
2019-06-28,512070.XSHG,SH512070,2019-07-02
2019-07-02,512880.XSHG,SH512880,2019-07-03
2019-07-03,512690.XSHG,SH512690,2019-07-08
2019-07-08,512070.XSHG,SH512070,2019-07-09
2019-07-09,513100.XSHG,SH513100,2019-07-30
2019-07-30,513500.XSHG,SH513500,2019-07-31
2019-07-31,512760.XSHG,SH512760,2019-08-05
2019-08-05,513100.XSHG,SH513100,2019-08-06
2019-08-07,518880.XSHG,SH518880,2019-08-21
2019-08-21,512290.XSHG,SH512290,2019-09-04
2019-09-04,512760.XSHG,SH512760,2019-09-05
2019-09-05,512290.XSHG,SH512290,2019-09-06
2019-09-06,512670.XSHG,SH512670,2019-09-10
2019-09-10,159909.XSHE,SZ159909,2019-09-18
2019-09-18,513520.XSHG,SH513520,2019-09-19
2019-09-19,513030.XSHG,SH513030,2019-09-24
2019-09-24,513520.XSHG,SH513520,2019-09-25
2019-09-25,513030.XSHG,SH513030,2019-09-30
2019-09-30,513500.XSHG,SH513500,2019-10-09
2019-10-09,513520.XSHG,SH513520,2019-10-10
2019-10-11,512170.XSHG,SH512170,2019-10-16
2019-10-16,512800.XSHG,SH512800,2019-10-21
2019-10-29,512170.XSHG,SH512170,2019-10-30
2019-10-30,512010.XSHG,SH512010,2019-10-31
2019-10-31,512170.XSHG,SH512170,2019-11-01
2019-11-01,513100.XSHG,SH513100,2019-11-04
2019-11-04,512800.XSHG,SH512800,2019-11-05
2019-11-05,512010.XSHG,SH512010,2019-11-12
2019-11-12,513100.XSHG,SH513100,2019-11-20
2019-11-20,512010.XSHG,SH512010,2019-11-22
2019-11-22,512170.XSHG,SH512170,2019-11-25
2019-11-25,513100.XSHG,SH513100,2019-12-06
2019-12-06,513050.XSHG,SH513050,2019-12-09
2019-12-09,512480.XSHG,SH512480,2019-12-13
2019-12-13,512760.XSHG,SH512760,2019-12-17
2019-12-17,512400.XSHG,SH512400,2019-12-18
2019-12-18,515880.XSHG,SH515880,2019-12-23
2019-12-23,512880.XSHG,SH512880,2019-12-24
2019-12-24,513100.XSHG,SH513100,2019-12-25
2019-12-25,512880.XSHG,SH512880,2019-12-27
2019-12-27,512480.XSHG,SH512480,2019-12-30
2019-12-30,513050.XSHG,SH513050,2020-01-02
2020-01-02,512880.XSHG,SH512880,2020-01-06
2020-01-06,512400.XSHG,SH512400,2020-01-07
