trade_date,cash,positions_value,total_value,daily_return
2008-11-03,4436.328687825997,9941196.118664742,9945632.447352568,-0.005436755264743187
2008-11-04,4436.328687825997,9766416.924405098,9770853.253092924,-0.01757346203822041
2008-11-05,4436.328687825997,10194194.0710783,10198630.399766127,0.043780940680671065
2008-11-06,4436.328687825997,10053188.80918026,10057625.137868086,-0.013825901750618819
2008-11-07,4436.328687825997,10239666.050720215,10244102.379408041,0.018540882065473552
2008-11-10,4436.328687825997,11135765.948343277,11140202.277031103,0.08747471124696471
2008-11-11,4436.328687825997,11209075.003910065,11213511.33259789,0.006580585679125006
2008-11-12,4436.328687825997,11514595.915603638,11519032.244291464,0.027245784360641512
2008-11-13,4436.328687825997,12291413.090872765,12295849.41956059,0.06743771167530999
2008-11-14,4436.328687825997,13082348.078036308,13086784.406724134,0.0643253638016501
2008-11-17,4436.328687825997,13786917.138552666,13791353.467240492,0.053838211024118454
2008-11-18,4436.328687825997,12710077.874946594,12714514.20363442,-0.07808075299962103
2008-11-19,4436.328687825997,13578662.711763382,13583099.040451208,0.06831443363903777
2008-11-20,4436.328687825997,13463409.056472778,13467845.385160604,-0.008485078033177218
2008-11-21,4436.328687825997,13268982.03830719,13273418.366995016,-0.01443638626708732
2008-11-24,4436.328687825997,12574873.010230064,12579309.33891789,-0.05229316283761998
2008-11-25,4436.328687825997,12583160.01007557,12587596.338763395,0.0006587801939066384
2008-11-26,4436.328687825997,12661410.915112495,12665847.243800322,0.006216508929187237
2008-11-27,4436.328687825997,13019202.785229683,13023639.11391751,0.02824855402328641
2008-11-28,4436.328687825997,12790628.966164589,12795065.294852415,-0.017550687412770216
2008-12-01,4436.328687825997,13352334.034061432,13356770.362749258,0.04390013297726769
2008-12-02,4436.328687825997,13505294.862866402,13509731.191554228,0.011451932214958438
2008-12-03,4436.328687825997,14237564.818954468,14242001.147642294,0.05420314776846591
2008-12-04,4436.328687825997,14334907.18164444,14339343.510332266,0.0068348795707045
2008-12-05,4436.328687825997,14738149.97189045,14742586.300578276,0.028121426197472044
2008-12-08,4436.328687825997,15599113.96446228,15603550.293150106,0.05839979329393907
2008-12-09,4436.328687825997,15508600.021195412,15513036.349883238,-0.005800855674916727
2008-12-10,4436.328687825997,15822503.951454163,15826940.280141989,0.02023484785176266
2008-12-11,4436.328687825997,15248793.041706085,15253229.370393911,-0.03624900957438437
2008-12-12,4436.328687825997,14331479.815864563,14335916.14455239,-0.06013895179613582
2008-12-15,4436.328687825997,14450279.111218452,14454715.439906279,0.008286829677015994
2008-12-16,4436.328687825997,14720888.93752098,14725325.266208807,0.018721214362714678
2008-12-17,4436.328687825997,14836226.93183422,14840663.260522047,0.00783262795409434
2008-12-18,4436.328687825997,15134250.014400482,15138686.343088308,0.020081520437097877
2008-12-19,4436.328687825997,15213657.019853592,15218093.348541418,0.005245303565547754
2008-12-22,4436.328687825997,15089897.087836266,15094333.416524092,-0.008132420348780922
2008-12-23,4436.328687825997,13932860.99858284,13937297.327270666,-0.07665367242960153
2008-12-24,4436.328687825997,13510590.102887154,13515026.43157498,-0.030297903946516436
2008-12-25,4436.328687825997,13452819.958114624,13457256.28680245,-0.0042745121561554855
2008-12-26,4436.328687825997,13362422.096395493,13366858.425083319,-0.006717406564351824
2008-12-29,4436.328687825997,13362349.825835228,13366786.154523054,-5.406697517584824e-06
2008-12-30,4436.328687825997,13000475.947904587,13004912.276592413,-0.027072616689404416
2008-12-31,4436.328687825997,12728865.140795708,12733301.469483534,-0.020885247153704545
