trade_date,symbol,shares,average_cost,close,market_value
2008-11-03,SH600008,105800,3.781133732891083,3.880000114440918,410504.0121078491
2008-11-03,SH600026,54700,7.302189713811874,7.579999923706055,414625.9958267212
2008-11-03,SH600110,107500,3.7211160286188125,3.629999876022339,390224.9866724014
2008-11-03,SH600117,116200,3.4410320572376247,3.369999885559082,391593.98670196533
2008-11-03,SH600158,120800,3.3109931812524795,3.2400002479553223,391392.02995300293
2008-11-03,SH600307,102500,3.9011703338861468,3.7400002479553223,383350.02541542053
2008-11-03,SH600309,47700,8.372510885524749,8.639999389648438,412127.97088623047
2008-11-03,SH600376,83600,4.781433732891083,4.860000133514404,406296.0111618042
2008-11-03,SH600380,138400,2.8908668664455415,2.7799999713897705,384751.99604034424
2008-11-03,SH600432,50800,7.872360408544541,7.510000228881836,381508.01162719727
2008-11-03,SH600456,42100,9.482843542099,9.290000915527344,391109.0385437012
2008-11-03,SH600595,78800,5.071521171712876,4.970000267028809,391636.0210418701
2008-11-03,SH600748,67700,5.901769618415833,5.830000400543213,394691.0271167755
2008-11-03,SH600804,78500,5.091526675653458,4.929999828338623,387004.9865245819
2008-11-03,SH601111,115900,3.451034809207916,3.3999998569488525,394059.983420372
2008-11-03,SH601168,72700,5.501650000000001,5.560000419616699,404212.03050613403
2008-11-03,SH601588,160000,2.50075,2.5,400000.0
2008-11-03,SZ000572,162600,2.4607380381584165,2.5399999618530273,413003.99379730225
2008-11-03,SZ000581,96300,4.151245095396042,4.21999979019165,406385.97979545593
2008-11-03,SZ000751,168700,2.3707111240148544,2.2900002002716064,386323.03378582
2008-11-03,SZ000755,102000,3.921175837826729,3.820000171661377,389640.01750946045
2008-11-03,SZ000878,55200,7.242172248029709,7.140000343322754,394128.018951416
2008-11-03,SZ000960,45400,8.812642465782165,8.710000038146973,395434.00173187256
2008-11-03,SZ002097,58900,6.792037438821792,7.009999752044678,412888.9853954315
2008-11-03,SZ002202,24200,16.50495,17.119998931884766,414303.9741516113
2008-11-04,SH600008,105800,3.781133732891083,3.930000066757202,415794.007062912
2008-11-04,SH600026,54700,7.302189713811874,7.4599995613098145,408061.97600364685
2008-11-04,SH600110,107500,3.7211160286188125,3.609999895095825,388074.9887228012
2008-11-04,SH600117,116200,3.4410320572376247,3.309999942779541,384621.99335098267
2008-11-04,SH600158,120800,3.3109931812524795,3.0899999141693115,373271.98963165283
2008-11-04,SH600307,102500,3.9011703338861468,3.6599998474121094,375149.9843597412
2008-11-04,SH600309,47700,8.372510885524749,8.59000015258789,409743.0072784424
2008-11-04,SH600376,83600,4.781433732891083,4.639999866485596,387903.9888381958
2008-11-04,SH600380,138400,2.8908668664455415,2.7699999809265137,383367.9973602295
2008-11-04,SH600432,50800,7.872360408544541,7.240000247955322,367792.0125961304
2008-11-04,SH600456,42100,9.482843542099,9.15000057220459,385215.02408981323
2008-11-04,SH600595,78800,5.071521171712876,4.890000343322754,385332.027053833
2008-11-04,SH600748,67700,5.901769618415833,5.53000020980835,374381.01420402527
2008-11-04,SH600804,78500,5.091526675653458,5.010000228881836,393285.0179672241
2008-11-04,SH601111,115900,3.451034809207916,3.4099998474121094,395218.9823150635
2008-11-04,SH601168,72700,5.501650000000001,5.409999847412109,393306.98890686035
2008-11-04,SH601588,160000,2.50075,2.4099998474121094,385599.9755859375
2008-11-04,SZ000572,162600,2.4607380381584165,2.7899999618530273,453653.99379730225
2008-11-04,SZ000581,96300,4.151245095396042,4.159999370574951,400607.9393863678
2008-11-04,SZ000751,168700,2.3707111240148544,2.190000057220459,369453.00965309143
2008-11-04,SZ000755,102000,3.921175837826729,3.7200000286102295,379440.0029182434
2008-11-04,SZ000878,55200,7.242172248029709,6.889999866485596,380327.9926300049
2008-11-04,SZ000960,45400,8.812642465782165,7.8600006103515625,356844.02770996094
2008-11-04,SZ002097,58900,6.792037438821792,7.289999961853027,429380.9977531433
2008-11-04,SZ002202,24200,16.50495,16.139999389648438,390587.9852294922
2008-11-05,SH600008,105800,3.781133732891083,4.019999980926514,425315.99798202515
2008-11-05,SH600026,54700,7.302189713811874,7.849999904632568,429394.9947834015
2008-11-05,SH600110,107500,3.7211160286188125,3.7300000190734863,400975.0020503998
2008-11-05,SH600117,116200,3.4410320572376247,3.640000104904175,422968.0121898651
2008-11-05,SH600158,120800,3.3109931812524795,3.2200000286102295,388976.0034561157
2008-11-05,SH600307,102500,3.9011703338861468,3.9000000953674316,399750.00977516174
2008-11-05,SH600309,47700,8.372510885524749,8.9399995803833,426437.97998428345
