trade_date,strategy_return,benchmark_return
2014-01-02,0.15,-0.35
2014-01-03,-0.53,-1.68
2014-01-06,-0.88,-3.92
2014-01-07,1.61,-3.95
2014-01-08,5.52,-3.78
2014-01-09,3.45,-4.63
2014-01-10,1.61,-5.37
2014-01-13,2.53,-5.85
2014-01-14,5.67,-5.03
2014-01-15,6.67,-5.2
2014-01-16,5.21,-5.07
2014-01-17,4.9,-6.5
2014-01-20,2.99,-7.04
2014-01-21,5.98,-6.12
2014-01-22,7.36,-3.7
2014-01-23,9.74,-4.21
2014-01-24,11.5,-3.62
2014-01-27,10.89,-4.9
2014-01-28,10.58,-4.73
2014-01-29,12.5,-4.39
2014-01-30,12.27,-5.48
2014-02-07,14.95,-5.04
2014-02-10,16.33,-2.68
2014-02-11,14.49,-1.91
2014-02-12,15.57,-1.66
2014-02-13,11.27,-2.17
2014-02-14,13.5,-1.48
2014-02-17,16.72,-0.79
2014-02-18,15.64,-2.04
2014-02-19,15.57,-0.92
2014-02-20,13.8,-1.83
2014-02-21,13.8,-2.82
2014-02-24,15.49,-4.96
2014-02-25,9.89,-7.39
2014-02-26,9.25,-7.15
2014-02-27,7.23,-7.55
2014-02-28,8.02,-6.48
2014-03-03,9.25,-5.99
2014-03-04,8.92,-6.26
2014-03-05,8.14,-7.13
2014-03-06,8.1,-6.71
2014-03-07,9.17,-6.94
2014-03-10,7.56,-9.97
2014-03-11,8.84,-9.5
2014-03-12,9.95,-9.27
2014-03-13,11.03,-8.14
2014-03-14,10.94,-8.89
2014-03-17,12.18,-8.03
2014-03-18,10.7,-8.24
2014-03-19,10.45,-8.98
2014-03-20,9.09,-10.43
2014-03-21,9.09,-7.35
2014-03-24,8.8,-6.59
2014-03-25,7.48,-6.68
2014-03-26,7.73,-6.82
2014-03-27,6.33,-7.48
2014-03-28,6.66,-7.64
2014-03-31,6.04,-7.89
2014-04-01,6.19,-7.16
2014-04-02,7.14,-6.41
2014-04-03,6.36,-7.08
2014-04-04,7.54,-6.2
2014-04-08,10.29,-3.98
2014-04-09,10.07,-3.92
2014-04-10,12.48,-2.41
2014-04-11,12.2,-2.55
2014-04-14,12.03,-2.64
2014-04-15,9.95,-4.32
2014-04-16,10.01,-4.18
2014-04-17,9.62,-4.52
2014-04-18,9.45,-4.53
2014-04-21,7.59,-6.13
2014-04-22,8.21,-5.72
2014-04-23,7.93,-5.81
2014-04-24,7.93,-5.99
2014-04-25,7.03,-6.96
2014-04-28,5.29,-8.37
2014-04-29,6.25,-7.36
2014-04-30,6.3,-7.35
2014-05-05,5.82,-7.45
2014-05-06,5.9,-7.41
2014-05-07,5.86,-8.27
2014-05-08,4.33,-8.35
2014-05-09,4.37,-8.42
2014-05-12,4.57,-6.44
2014-05-13,4.66,-6.66
2014-05-14,5.18,-6.77
2014-05-15,4.83,-7.98
2014-05-16,4.21,-7.9
2014-05-19,4.48,-9.22
2014-05-20,5.18,-9.2
2014-05-21,4.57,-8.33
2014-05-22,5.8,-8.55
2014-05-23,6.25,-7.79
2014-05-26,7.04,-7.47
2014-05-27,7.48,-7.84
2014-05-28,8.63,-6.9
2014-05-29,8.19,-7.51
2014-05-30,9.52,-7.45
2014-06-03,9.25,-7.73
2014-06-04,8.99,-8.66
2014-06-05,9.78,-7.7
2014-06-06,10.93,-8.38
2014-06-09,11.02,-8.4
2014-06-10,10.4,-7.24
2014-06-11,10.93,-7.26
2014-06-12,10.31,-7.58
2014-06-13,9.69,-6.6
2014-06-16,11.08,-5.93
2014-06-17,10.02,-6.88
2014-06-18,8.96,-7.29
2014-06-19,5.21,-8.72
2014-06-20,6.35,-8.3
2014-06-23,8.55,-8.41
2014-06-24,9.36,-7.95
2014-06-25,8.22,-8.44
2014-06-26,10.42,-7.77
2014-06-27,10.59,-7.72
2014-06-30,11.81,-7.08
2014-07-01,12.54,-7.1
2014-07-02,13.19,-6.83
2014-07-03,13.28,-6.43
2014-07-04,13.15,-6.49
2014-07-07,12.38,-6.6
2014-07-08,12.9,-6.42
2014-07-09,13.07,-7.78
2014-07-10,13.58,-8.03
2014-07-11,14.61,-7.81
2014-07-14,12.94,-6.79
2014-07-15,12.34,-6.65
2014-07-16,11.91,-6.83
2014-07-17,12.25,-7.42
2014-07-18,11.39,-7.12
2014-07-21,12.43,-7.03
2014-07-22,12.17,-5.89
2014-07-23,12.6,-5.67
2014-07-24,15.05,-3.99
2014-07-25,16.36,-2.99
2014-07-28,19.69,-0.26
2014-07-29,20.15,0.06
2014-07-30,19.69,-0.34
2014-07-31,21.35,0.87
2014-08-01,19.97,-0.03
2014-08-04,22.67,1.96
2014-08-05,22.27,1.69
2014-08-06,21.46,1.42
2014-08-07,19.52,-0.11
2014-08-08,20.03,0.05
2014-08-11,21.64,1.52
2014-08-12,21.23,1.16
2014-08-13,21.46,1.24
2014-08-14,20.32,0.25
2014-08-15,21.75,1.31
2014-08-18,22.09,1.91
2014-08-19,21.92,1.92
2014-08-20,21.52,1.55
2014-08-21,23.31,1.04
2014-08-22,24.53,1.52
2014-08-25,22.7,0.55
2014-08-26,20.0,-0.25
2014-08-27,20.95,-0.1
2014-08-28,19.39,-0.8
2014-08-29,21.48,0.35
2014-09-01,23.48,1.09
2014-09-02,24.61,2.42
2014-09-03,25.4,3.38
2014-09-04,26.96,4.13
2014-09-05,27.23,5.12
2014-09-09,27.05,4.94
2014-09-10,27.84,4.39
2014-09-11,28.18,4.01
2014-09-12,29.23,4.65
2014-09-15,29.23,4.6
2014-09-16,25.31,2.52
2014-09-17,25.48,3.06
2014-09-18,26.88,3.37
2014-09-19,27.23,4.08
2014-09-22,25.66,2.1
2014-09-23,27.31,2.98
2014-09-24,28.88,4.8
2014-09-25,28.01,4.59
2014-09-26,28.27,4.6
2014-09-29,29.75,5.05
2014-09-30,30.71,5.19
2014-10-08,32.02,6.37
2014-10-09,32.36,6.52
2014-10-10,31.76,5.87
2014-10-13,31.15,5.36
2014-10-14,30.1,5.0
2014-10-15,30.88,5.74
2014-10-16,29.14,4.91
2014-10-17,28.1,4.79
2014-10-20,30.27,5.35
2014-10-21,28.45,4.44
2014-10-22,27.57,3.8
2014-10-23,25.31,2.83
2014-10-24,25.57,2.6
2014-10-27,26.62,1.67
2014-10-28,26.67,3.72
2014-10-29,26.98,5.21
2014-10-30,25.31,5.96
2014-10-31,22.85,7.65
2014-11-03,20.53,7.83
2014-11-04,22.68,7.86
2014-11-05,22.23,7.44
2014-11-06,22.23,7.56
2014-11-07,23.04,7.39
2014-11-10,23.04,10.12
2014-11-11,23.04,9.81
2014-11-12,22.95,11.34
2014-11-13,23.13,10.72
2014-11-14,23.22,10.77
2014-11-17,23.49,10.17
2014-11-18,23.49,9.07
2014-11-19,25.03,8.89
2014-11-20,23.85,8.89
2014-11-21,24.4,10.88
2014-11-24,26.19,13.7
2014-11-25,27.38,15.26
2014-11-26,29.76,16.87
2014-11-27,31.7,18.22
2014-11-28,34.84,20.55
