trade_date,SH518880,SH513100,SZ159915,SH510180
2014-01-02,-0.16,0.16,0.0,-0.33
2014-01-03,-0.13,0.2,0.01,-0.39
2014-01-06,-0.08,0.24,0.15,-0.47
2014-01-07,-0.04,0.26,0.82,-0.54
2014-01-08,-0.01,0.26,0.98,-0.58
2014-01-09,-0.01,0.29,1.4,-0.61
2014-01-10,-0.01,0.31,1.73,-0.63
2014-01-13,0.0,0.32,1.6,-0.64
2014-01-14,0.0,0.31,1.52,-0.63
2014-01-15,0.0,0.29,1.75,-0.62
2014-01-16,0.0,0.31,1.92,-0.6
2014-01-17,0.02,0.33,2.08,-0.57
2014-01-20,0.07,0.29,2.37,-0.55
2014-01-21,0.12,0.25,2.38,-0.54
2014-01-22,0.18,0.2,2.69,-0.51
2014-01-23,0.27,0.16,2.88,-0.42
2014-01-24,0.32,0.13,3.08,-0.35
2014-01-27,0.39,0.1,3.36,-0.26
2014-01-28,0.37,0.03,3.43,-0.21
2014-01-29,0.34,0.01,3.2,-0.2
2014-01-30,0.3,0.01,3.19,-0.17
2014-02-07,0.27,0.01,3.23,-0.15
2014-02-10,0.26,0.0,3.23,-0.14
2014-02-11,0.29,0.01,3.44,-0.07
2014-02-12,0.29,0.0,3.41,-0.01
2014-02-13,0.29,0.01,3.29,0.0
2014-02-14,0.31,0.01,2.83,0.01
2014-02-17,0.37,0.01,2.72,0.09
2014-02-18,0.49,0.01,2.61,0.18
2014-02-19,0.63,0.0,2.48,0.25
2014-02-20,0.68,0.01,2.66,0.39
2014-02-21,0.71,0.02,2.34,0.49
2014-02-24,0.78,0.04,1.84,0.46
2014-02-25,0.91,0.05,1.54,0.29
2014-02-26,1.08,0.06,0.96,0.09
2014-02-27,1.22,0.1,0.58,0.02
2014-02-28,1.24,0.18,0.17,0.0
2014-03-03,1.27,0.31,0.03,0.0
2014-03-04,1.4,0.44,0.0,0.0
2014-03-05,1.46,0.54,0.0,-0.02
2014-03-06,1.35,0.7,-0.03,-0.04
2014-03-07,1.2,0.9,-0.07,-0.06
2014-03-10,1.17,1.05,-0.11,-0.08
2014-03-11,1.03,0.95,-0.2,-0.16
2014-03-12,0.93,0.83,-0.33,-0.25
2014-03-13,0.86,0.72,-0.41,-0.32
2014-03-14,0.82,0.59,-0.46,-0.41
2014-03-17,0.78,0.34,-0.46,-0.49
2014-03-18,0.78,0.16,-0.37,-0.5
2014-03-19,0.73,0.08,-0.29,-0.48
2014-03-20,0.65,0.07,-0.23,-0.46
2014-03-21,0.49,0.03,-0.28,-0.46
2014-03-24,0.37,0.01,-0.28,-0.36
2014-03-25,0.31,0.0,-0.26,-0.25
2014-03-26,0.16,0.0,-0.25,-0.15
2014-03-27,0.07,-0.01,-0.2,-0.07
2014-03-28,0.01,-0.05,-0.2,-0.02
2014-03-31,0.0,-0.12,-0.22,0.0
2014-04-01,0.0,-0.22,-0.22,0.0
2014-04-02,-0.02,-0.27,-0.24,0.0
2014-04-03,-0.03,-0.23,-0.28,0.0
2014-04-04,-0.08,-0.2,-0.37,0.0
2014-04-08,-0.13,-0.16,-0.42,0.02
2014-04-09,-0.12,-0.17,-0.41,0.1
2014-04-10,-0.12,-0.2,-0.38,0.25
2014-04-11,-0.13,-0.18,-0.33,0.46
2014-04-14,-0.14,-0.2,-0.29,0.74
2014-04-15,-0.1,-0.23,-0.23,1.08
2014-04-16,-0.13,-0.26,-0.24,1.05
2014-04-17,-0.14,-0.28,-0.26,1.0
2014-04-18,-0.13,-0.28,-0.26,0.91
2014-04-21,-0.11,-0.28,-0.21,0.86
2014-04-22,-0.1,-0.3,-0.17,0.63
2014-04-23,-0.06,-0.31,-0.13,0.48
2014-04-24,-0.04,-0.27,-0.1,0.34
2014-04-25,-0.02,-0.19,-0.07,0.21
2014-04-28,-0.01,-0.14,-0.08,0.07
2014-04-29,0.0,-0.11,-0.1,0.02
2014-04-30,0.0,-0.08,-0.13,0.0
2014-05-05,0.0,-0.05,-0.14,0.0
2014-05-06,0.01,-0.03,-0.1,0.0
2014-05-07,0.02,-0.01,-0.09,0.0
2014-05-08,0.03,-0.01,-0.15,-0.02
2014-05-09,0.02,-0.01,-0.22,-0.08
2014-05-12,0.0,-0.01,-0.27,-0.16
2014-05-13,0.0,0.0,-0.34,-0.19
2014-05-14,0.0,0.0,-0.42,-0.27
2014-05-15,0.0,0.06,-0.45,-0.31
