date,side,market_price,execution_price,units,gross_traded
2014-01-02,buy,2.364121437072754,2.369937175807953,4219519.024419214,9975455.379765775
2014-03-24,sell,2.199751853942871,2.194340464382172,4219519.024419214,9281894.79671338
2014-05-08,buy,2.169374942779541,2.1747116051387785,4252067.048305103,9224327.709611654
2014-06-12,sell,2.194528818130493,2.189130277237892,4252067.048305103,9331283.67412861
2014-07-25,buy,2.2823421955108643,2.2879567573118207,4063111.2713342756,9273410.299622009
2014-08-21,sell,2.407154083251953,2.4012324842071533,4063111.2713342756,9780534.887499336
2014-10-28,buy,2.4147090911865234,2.420649275550842,4024072.876698817,9716965.35896174
2015-06-17,sell,5.161128520965576,5.1484321448040005,4024072.876698817,20768757.294374257
2015-09-15,buy,3.2649314403533936,3.2729631716966625,6319816.857689395,20633768.755945493
2015-09-22,sell,3.3703696727752686,3.3620785633802415,6319816.857689395,21300119.07465023
2015-10-21,buy,3.643538475036621,3.652501579685211,5808001.491994248,21161676.899151143
2015-11-30,sell,3.6171388626098633,3.6082407010078428,5808001.491994248,21008347.91078846
2016-01-27,buy,3.004894971847534,3.0122870134782787,6945933.992907146,20871802.13007155
2017-08-03,sell,3.820868968963623,3.8114696312999725,6945933.992907146,26539503.65396851
2017-08-29,buy,3.906409502029419,3.916019269404411,6749678.33762794,26367007.59375192
2017-09-20,sell,3.897230863571167,3.887643675646782,6749678.33762794,26305054.736581337
2017-09-29,buy,3.8921852111816406,3.901759986801147,6716514.327633457,26141917.736704543
2018-02-08,sell,4.093329429626465,4.083259839229584,6716514.327633457,27492905.761809837
2018-09-18,buy,3.249565362930298,3.257559293723106,8408017.441534922,27322402.2489257
2018-11-16,sell,3.2996628284454346,3.291545657887459,8408017.441534922,27743622.612753667
2018-11-28,buy,3.1926913261413574,3.200545346803665,8635837.74666335,27571564.267736204
2019-01-17,sell,3.187488317489624,3.1796470962285994,8635837.74666335,27526631.929225348
2019-01-31,buy,3.238429069519043,3.2463956050300595,8444748.779928533,27347719.933706034
2019-07-15,sell,3.8590574264526367,3.8495641451835634,8444748.779928533,32588770.49371005
2019-09-16,buy,4.051085472106934,4.061051142368316,7992168.2383510815,32376956.641018532
2020-01-23,sell,4.165001392364502,4.154755488939285,7992168.2383510815,33287391.8407436
