order_id,trade_date,symbol,side,execution,requested_shares,filled_shares,unfilled_shares,price,gross_value,commission,tax,reason
45,2019-05-06,SZ002072,sell,open,20700,0,20700,,0.0,0.0,0.0,down_limit
60,2019-05-06,SZ300592,buy,open,3400,0,3400,,0.0,0.0,0.0,insufficient_cash
61,2019-05-06,SZ300665,buy,open,2800,0,2800,,0.0,0.0,0.0,insufficient_cash
66,2019-06-03,SZ300592,sell,open,15800,0,15800,,0.0,0.0,0.0,missing_open
74,2019-06-03,SZ002890,buy,open,100,0,100,,0.0,0.0,0.0,insufficient_cash
75,2019-06-03,SZ300321,buy,open,300,0,300,,0.0,0.0,0.0,insufficient_cash
76,2019-06-03,SZ300665,buy,open,2900,0,2900,,0.0,0.0,0.0,insufficient_cash
158,2020-02-03,SH603029,sell,open,14100,0,14100,,0.0,0.0,0.0,down_limit
159,2020-02-03,SH603269,sell,open,600,0,600,,0.0,0.0,0.0,down_limit
160,2020-02-03,SH603286,sell,open,9700,0,9700,,0.0,0.0,0.0,down_limit
161,2020-02-03,SZ002209,sell,open,21800,0,21800,,0.0,0.0,0.0,down_limit
162,2020-02-03,SZ002633,sell,open,400,0,400,,0.0,0.0,0.0,down_limit
165,2020-02-03,SZ000691,buy,open,1700,0,1700,,0.0,0.0,0.0,insufficient_cash
166,2020-02-03,SZ000929,buy,open,400,0,400,,0.0,0.0,0.0,insufficient_cash
167,2020-02-03,SZ300106,buy,open,25700,0,25700,,0.0,0.0,0.0,insufficient_cash
168,2020-02-03,SZ300592,buy,open,20100,0,20100,,0.0,0.0,0.0,insufficient_cash
169,2020-02-03,SZ300665,buy,open,600,0,600,,0.0,0.0,0.0,insufficient_cash
248,2020-09-01,SZ300665,sell,open,22100,0,22100,,0.0,0.0,0.0,missing_open
253,2020-09-01,SZ300478,buy,open,15000,0,15000,,0.0,0.0,0.0,insufficient_cash
254,2020-09-01,SZ300736,buy,open,200,0,200,,0.0,0.0,0.0,insufficient_cash
345,2021-05-06,SZ000609,sell,open,42600,0,42600,,0.0,0.0,0.0,down_limit
374,2021-07-01,SH600778,buy,open,40700,0,40700,,0.0,0.0,0.0,up_limit
722,2023-11-01,BJ871970,buy,open,27500,0,27500,,0.0,0.0,0.0,insufficient_cash
