execution_date,reported_holding_count,symbol,total_value
2019-01-02,10,SZ002072,9988993.0956
2019-01-02,10,SZ002200,9988993.0956
2019-01-02,10,SZ300029,9988993.0956
2019-01-02,10,SZ300069,9988993.0956
2019-01-02,10,SZ300106,9988993.0956
2019-01-02,10,SZ300321,9988993.0956
2019-01-02,10,SZ300354,9988993.0956
2019-01-02,10,SZ300489,9988993.0956
2019-01-02,10,SZ300592,9988993.0956
2019-01-02,10,SH600306,9988993.0956
2019-02-01,10,SZ002072,9628700.7273
2019-02-01,10,SZ002200,9628700.7273
2019-02-01,10,SZ002633,9628700.7273
2019-02-01,10,SZ300029,9628700.7273
2019-02-01,10,SZ300321,9628700.7273
2019-02-01,10,SZ300330,9628700.7273
2019-02-01,10,SZ300405,9628700.7273
2019-02-01,10,SZ300489,9628700.7273
2019-02-01,10,SZ300592,9628700.7273
2019-02-01,10,SH600306,9628700.7273
2019-03-01,10,SZ002072,11480343.6827
2019-03-01,10,SZ002200,11480343.6827
2019-03-01,10,SZ300029,11480343.6827
2019-03-01,10,SZ300106,11480343.6827
2019-03-01,10,SZ300321,11480343.6827
2019-03-01,10,SZ300330,11480343.6827
2019-03-01,10,SZ300405,11480343.6827
2019-03-01,10,SZ300489,11480343.6827
2019-03-01,10,SZ300592,11480343.6827
2019-03-01,10,SH600306,11480343.6827
2019-04-01,10,SZ002072,12971828.7042
2019-04-01,10,SZ002200,12971828.7042
2019-04-01,10,SZ300029,12971828.7042
2019-04-01,10,SZ300106,12971828.7042
2019-04-01,10,SZ300405,12971828.7042
2019-04-01,10,SZ300489,12971828.7042
2019-04-01,10,SZ300592,12971828.7042
2019-04-01,10,SZ300665,12971828.7042
2019-04-01,10,SZ300680,12971828.7042
2019-04-01,10,SH600306,12971828.7042
2019-05-06,11,SZ002072,12254797.4394
2019-05-06,11,SZ002890,12254797.4394
2019-05-06,11,SZ300029,12254797.4394
2019-05-06,11,SZ300321,12254797.4394
2019-05-06,11,SZ300354,12254797.4394
2019-05-06,11,SZ300442,12254797.4394
2019-05-06,11,SZ300592,12254797.4394
2019-05-06,11,SZ300665,12254797.4394
2019-05-06,11,SH600306,12254797.4394
2019-05-06,11,SH603029,12254797.4394
2019-05-06,11,SH603286,12254797.4394
2019-06-03,11,SZ000691,13826965.319
2019-06-03,11,SZ002209,13826965.319
2019-06-03,11,SZ002473,13826965.319
2019-06-03,11,SZ002890,13826965.319
2019-06-03,11,SZ300029,13826965.319
2019-06-03,11,SZ300321,13826965.319
2019-06-03,11,SZ300592,13826965.319
2019-06-03,11,SZ300665,13826965.319
2019-06-03,11,SH603029,13826965.319
2019-06-03,11,SH603269,13826965.319
2019-06-03,11,SH603286,13826965.319
2019-07-01,10,SZ000691,14603285.5996
2019-07-01,10,SZ002473,14603285.5996
2019-07-01,10,SZ002890,14603285.5996
2019-07-01,10,SZ300029,14603285.5996
2019-07-01,10,SZ300321,14603285.5996
2019-07-01,10,SZ300592,14603285.5996
2019-07-01,10,SZ300665,14603285.5996
2019-07-01,10,SH603029,14603285.5996
2019-07-01,10,SH603269,14603285.5996
2019-07-01,10,SH603286,14603285.5996
2019-08-01,10,SZ000691,13842463.1494
2019-08-01,10,SZ002209,13842463.1494
2019-08-01,10,SZ002473,13842463.1494
2019-08-01,10,SZ002633,13842463.1494
2019-08-01,10,SZ002890,13842463.1494
2019-08-01,10,SZ300029,13842463.1494
2019-08-01,10,SZ300321,13842463.1494
2019-08-01,10,SZ300592,13842463.1494
2019-08-01,10,SZ300665,13842463.1494
2019-08-01,10,SH600306,13842463.1494
2019-09-02,10,SZ000691,13613329.1621
2019-09-02,10,SZ002209,13613329.1621
2019-09-02,10,SZ002473,13613329.1621
2019-09-02,10,SZ002633,13613329.1621
2019-09-02,10,SZ002890,13613329.1621
2019-09-02,10,SZ300029,13613329.1621
2019-09-02,10,SZ300321,13613329.1621
2019-09-02,10,SZ300665,13613329.1621
2019-09-02,10,SH600306,13613329.1621
2019-09-02,10,SH603269,13613329.1621
2019-10-08,10,SZ000502,13706981.5509
2019-10-08,10,SZ000679,13706981.5509
2019-10-08,10,SZ000691,13706981.5509
2019-10-08,10,SZ000835,13706981.5509
2019-10-08,10,SZ002633,13706981.5509
2019-10-08,10,SZ300029,13706981.5509
2019-10-08,10,SZ300592,13706981.5509
2019-10-08,10,SZ300665,13706981.5509
2019-10-08,10,SH600306,13706981.5509
2019-10-08,10,SH603269,13706981.5509
2019-11-01,10,SZ000691,14071649.482
2019-11-01,10,SZ000835,14071649.482
2019-11-01,10,SZ000929,14071649.482
2019-11-01,10,SZ002209,14071649.482
2019-11-01,10,SZ002633,14071649.482
2019-11-01,10,SZ300029,14071649.482
2019-11-01,10,SZ300665,14071649.482
2019-11-01,10,SH600306,14071649.482
2019-11-01,10,SH603269,14071649.482
2019-11-01,10,SH603991,14071649.482
2019-12-02,10,SZ000691,13864155.5255
2019-12-02,10,SZ000929,13864155.5255
2019-12-02,10,SZ002473,13864155.5255
2019-12-02,10,SZ002633,13864155.5255
2019-12-02,10,SZ300362,13864155.5255
2019-12-02,10,SZ300431,13864155.5255
2019-12-02,10,SZ300665,13864155.5255
2019-12-02,10,SH600306,13864155.5255
2019-12-02,10,SH603269,13864155.5255
2019-12-02,10,SH603991,13864155.5255
2020-01-02,10,SZ000679,15186436.851
2020-01-02,10,SZ000691,15186436.851
2020-01-02,10,SZ000929,15186436.851
2020-01-02,10,SZ002633,15186436.851
2020-01-02,10,SZ300029,15186436.851
2020-01-02,10,SZ300362,15186436.851
2020-01-02,10,SZ300431,15186436.851
2020-01-02,10,SH600306,15186436.851
2020-01-02,10,SH603269,15186436.851
2020-01-02,10,SH603991,15186436.851
2020-02-03,10,SZ000679,12648930.3637
2020-02-03,10,SZ000691,12648930.3637
2020-02-03,10,SZ000929,12648930.3637
2020-02-03,10,SZ002633,12648930.3637
2020-02-03,10,SZ300029,12648930.3637
2020-02-03,10,SZ300362,12648930.3637
2020-02-03,10,SZ300431,12648930.3637
2020-02-03,10,SH600306,12648930.3637
2020-02-03,10,SH603269,12648930.3637
2020-02-03,10,SH603991,12648930.3637
2020-03-02,10,SZ000679,13423525.3758
2020-03-02,10,SZ000929,13423525.3758
2020-03-02,10,SZ300029,13423525.3758
2020-03-02,10,SZ300106,13423525.3758
2020-03-02,10,SZ300362,13423525.3758
2020-03-02,10,SZ300431,13423525.3758
2020-03-02,10,SH600241,13423525.3758
2020-03-02,10,SH600306,13423525.3758
2020-03-02,10,SH600561,13423525.3758
2020-03-02,10,SH603991,13423525.3758
2020-04-01,10,SZ000679,13530317.8595
2020-04-01,10,SZ000835,13530317.8595
2020-04-01,10,SZ002071,13530317.8595
2020-04-01,10,SZ300362,13530317.8595
2020-04-01,10,SZ300431,13530317.8595
2020-04-01,10,SH600241,13530317.8595
2020-04-01,10,SH600306,13530317.8595
2020-04-01,10,SH600561,13530317.8595
2020-04-01,10,SH600599,13530317.8595
2020-04-01,10,SH603389,13530317.8595
2020-05-06,11,SZ000835,11985067.376
2020-05-06,11,SZ000929,11985067.376
2020-05-06,11,SZ002071,11985067.376
2020-05-06,11,SZ002209,11985067.376
2020-05-06,11,SZ002633,11985067.376
2020-05-06,11,SZ300029,11985067.376
2020-05-06,11,SZ300362,11985067.376
2020-05-06,11,SZ300431,11985067.376
2020-05-06,11,SH600306,11985067.376
2020-05-06,11,SH600561,11985067.376
2020-05-06,11,SH600599,11985067.376
2020-06-01,10,SZ000835,13081709.0089
2020-06-01,10,SZ002209,13081709.0089
2020-06-01,10,SZ002633,13081709.0089
2020-06-01,10,SZ300029,13081709.0089
2020-06-01,10,SZ300090,13081709.0089
2020-06-01,10,SZ300362,13081709.0089
2020-06-01,10,SZ300431,13081709.0089
2020-06-01,10,SH600306,13081709.0089
2020-06-01,10,SH600561,13081709.0089
2020-06-01,10,SH600599,13081709.0089
2020-07-01,11,SZ000835,12128431.0025
2020-07-01,11,SZ000929,12128431.0025
2020-07-01,11,SZ002209,12128431.0025
2020-07-01,11,SZ002633,12128431.0025
2020-07-01,11,SZ300029,12128431.0025
2020-07-01,11,SZ300090,12128431.0025
2020-07-01,11,SZ300362,12128431.0025
2020-07-01,11,SZ300431,12128431.0025
2020-07-01,11,SZ300665,12128431.0025
2020-07-01,11,SH600561,12128431.0025
2020-07-01,11,SH603269,12128431.0025
2020-08-03,11,SZ000502,11893677.4418
2020-08-03,11,SZ000929,11893677.4418
2020-08-03,11,SZ002209,11893677.4418
2020-08-03,11,SZ002633,11893677.4418
2020-08-03,11,SZ300029,11893677.4418
2020-08-03,11,SZ300362,11893677.4418
2020-08-03,11,SZ300431,11893677.4418
2020-08-03,11,SZ300535,11893677.4418
2020-08-03,11,SZ300665,11893677.4418
2020-08-03,11,SZ300736,11893677.4418
2020-08-03,11,SH600365,11893677.4418
2020-09-01,12,SZ000502,12399548.5956
2020-09-01,12,SZ000929,12399548.5956
2020-09-01,12,SZ002209,12399548.5956
2020-09-01,12,SZ002633,12399548.5956
2020-09-01,12,SZ300029,12399548.5956
2020-09-01,12,SZ300362,12399548.5956
2020-09-01,12,SZ300431,12399548.5956
2020-09-01,12,SZ300535,12399548.5956
2020-09-01,12,SZ300665,12399548.5956
2020-09-01,12,SZ300736,12399548.5956
2020-09-01,12,SH600561,12399548.5956
2020-09-01,12,SH600768,12399548.5956
2020-10-09,11,SZ000502,11122807.0124
2020-10-09,11,SZ002209,11122807.0124
2020-10-09,11,SZ002633,11122807.0124
2020-10-09,11,SZ300362,11122807.0124
2020-10-09,11,SZ300665,11122807.0124
2020-10-09,11,SH600520,11122807.0124
2020-10-09,11,SH600561,11122807.0124
2020-10-09,11,SH600768,11122807.0124
2020-10-09,11,SH603029,11122807.0124
2020-10-09,11,SH603269,11122807.0124
2020-10-09,11,SH603286,11122807.0124
2020-11-02,10,SZ000502,10981617.8013
2020-11-02,10,SZ000702,10981617.8013
2020-11-02,10,SZ002633,10981617.8013
2020-11-02,10,SZ300362,10981617.8013
2020-11-02,10,SH600355,10981617.8013
2020-11-02,10,SH600506,10981617.8013
2020-11-02,10,SH600520,10981617.8013
2020-11-02,10,SH600768,10981617.8013
2020-11-02,10,SH600778,10981617.8013
2020-11-02,10,SH603029,10981617.8013
2020-12-01,11,SZ000502,11554855.6706
2020-12-01,11,SZ002633,11554855.6706
2020-12-01,11,SZ300362,11554855.6706
2020-12-01,11,SZ300478,11554855.6706
2020-12-01,11,SH600355,11554855.6706
2020-12-01,11,SH600520,11554855.6706
2020-12-01,11,SH600561,11554855.6706
2020-12-01,11,SH600768,11554855.6706
2020-12-01,11,SH600778,11554855.6706
2020-12-01,11,SH603029,11554855.6706
2020-12-01,11,SH603269,11554855.6706
2021-01-04,10,SZ002633,10718554.9733
2021-01-04,10,SZ300362,10718554.9733
2021-01-04,10,SZ300478,10718554.9733
2021-01-04,10,SZ300736,10718554.9733
2021-01-04,10,SH600355,10718554.9733
2021-01-04,10,SH600520,10718554.9733
2021-01-04,10,SH600766,10718554.9733
2021-01-04,10,SH600768,10718554.9733
2021-01-04,10,SH600778,10718554.9733
2021-01-04,10,SH603029,10718554.9733
2021-02-01,10,SZ000007,8828707.2237
2021-02-01,10,SZ002633,8828707.2237
2021-02-01,10,SZ300362,8828707.2237
2021-02-01,10,SZ300478,8828707.2237
2021-02-01,10,SZ300736,8828707.2237
2021-02-01,10,SH600355,8828707.2237
2021-02-01,10,SH600766,8828707.2237
2021-02-01,10,SH600768,8828707.2237
2021-02-01,10,SH600778,8828707.2237
2021-02-01,10,SH603029,8828707.2237
2021-03-01,10,SZ002633,10044632.5157
2021-03-01,10,SZ300362,10044632.5157
2021-03-01,10,SZ300478,10044632.5157
2021-03-01,10,SZ300736,10044632.5157
2021-03-01,10,SH600355,10044632.5157
2021-03-01,10,SH600520,10044632.5157
2021-03-01,10,SH600766,10044632.5157
2021-03-01,10,SH600768,10044632.5157
2021-03-01,10,SH600778,10044632.5157
2021-03-01,10,SH603029,10044632.5157
2021-04-01,10,SZ000609,9899907.9845
2021-04-01,10,SZ002633,9899907.9845
2021-04-01,10,SZ300362,9899907.9845
2021-04-01,10,SZ300478,9899907.9845
