comparison,execution_date,local_count,joinquant_count,intersection_count,overlap_ratio,local_only,joinquant_only
selected_candidates,2019-01-02,10,10,8,0.8,"SZ000929,SZ300405","SH600306,SZ300029"
selected_candidates,2019-02-01,10,10,7,0.7,"SZ000929,SZ002890,SZ300106","SH600306,SZ300029,SZ300330"
selected_candidates,2019-03-01,10,10,7,0.7,"SH603286,SZ000929,SZ002633","SH600306,SZ300029,SZ300330"
selected_candidates,2019-04-01,10,10,8,0.8,"SZ300069,SZ300321","SH600306,SZ300029"
selected_candidates,2019-05-06,10,10,8,0.8,"SH603031,SH603269","SH600306,SZ300029"
selected_candidates,2019-06-03,10,10,8,0.8,"SH600137,SZ000679","SZ002473,SZ300029"
selected_candidates,2019-07-01,10,10,8,0.8,"SZ000679,SZ002209","SZ002473,SZ300029"
selected_candidates,2019-08-01,10,10,7,0.7,"SH603029,SH603286,SZ000679","SH600306,SZ002473,SZ300029"
selected_candidates,2019-09-02,10,10,7,0.7,"SH603029,SH603286,SZ000679","SH600306,SZ002473,SZ300029"
selected_candidates,2019-10-08,10,10,6,0.6,"SH603286,SZ000929,SZ002209,SZ002890","SH600306,SZ000502,SZ000835,SZ300029"
selected_candidates,2019-11-01,10,10,7,0.7,"SH603286,SH603729,SZ000609","SH600306,SZ000835,SZ300029"
selected_candidates,2019-12-02,10,10,6,0.6,"SH603029,SH603286,SZ300069,SZ300321","SH600306,SZ002473,SZ300362,SZ300431"
selected_candidates,2020-01-02,10,10,6,0.6,"SH603029,SH603286,SZ002209,SZ300665","SH600306,SZ300029,SZ300362,SZ300431"
selected_candidates,2020-02-03,10,10,5,0.5,"SH600561,SH603269,SH603991,SZ002633,SZ300592","SH600306,SZ002473,SZ300029,SZ300362,SZ300431"
selected_candidates,2020-03-02,10,10,6,0.6,"SZ000691,SZ002633,SZ300665,SZ300736","SH600306,SZ300029,SZ300362,SZ300431"
selected_candidates,2020-04-01,10,10,4,0.4,"SH603269,SZ000691,SZ000929,SZ002633,SZ300665,SZ300736","SH600306,SH600599,SZ000835,SZ002071,SZ300362,SZ300431"
selected_candidates,2020-05-06,10,10,6,0.6,"SH600520,SH600768,SH603269,SZ300405","SH600599,SZ000835,SZ002071,SZ300029"
selected_candidates,2020-06-01,10,10,6,0.6,"SZ000638,SZ000929,SZ300405,SZ300535","SZ000835,SZ300029,SZ300090,SZ300431"
selected_candidates,2020-07-01,10,10,7,0.7,"SH600520,SH600768,SZ300535","SZ000502,SZ002473,SZ300029"
selected_candidates,2020-08-03,10,10,8,0.8,"SH600520,SH600561","SZ000502,SZ300029"
selected_candidates,2020-09-01,10,10,8,0.8,"SH600778,SZ300478","SZ000502,SZ300029"
selected_candidates,2020-10-09,10,10,9,0.9,SZ000702,SZ000502
selected_candidates,2020-11-02,10,10,9,0.9,SZ000695,SZ000502
selected_candidates,2020-12-01,10,10,9,0.9,SH600455,SZ000502
selected_candidates,2021-01-04,10,10,8,0.8,"SH600455,SH600561","SH600766,SZ300478"
selected_candidates,2021-02-01,10,10,9,0.9,SH600520,SH600766
selected_candidates,2021-03-01,10,10,10,1.0,,
selected_candidates,2021-04-01,10,10,8,0.8,"SH600778,SZ002862","SH600766,SZ000502"
selected_candidates,2021-05-06,10,10,10,1.0,,
selected_candidates,2021-06-01,10,10,10,1.0,,
selected_candidates,2021-07-01,10,10,10,1.0,,
selected_candidates,2021-08-02,10,10,10,1.0,,
selected_candidates,2021-09-01,10,10,9,0.9,SH603029,SZ002417
selected_candidates,2021-10-08,10,10,9,0.9,SZ002209,SZ002417
selected_candidates,2021-11-01,10,10,9,0.9,SH603709,SZ002417
selected_candidates,2021-12-01,10,10,9,0.9,SH600778,SZ002417
selected_candidates,2022-01-04,10,10,9,0.9,SH600520,SZ002417
selected_candidates,2022-02-07,10,10,10,1.0,,
