execution_date,symbol,shares,market_value_at_open
2019-01-02,SZ000929,157200,999643.677520752
2019-01-02,SZ002072,160200,999908.2981109619
2019-01-02,SZ002200,178200,999466.9901847839
2019-01-02,SZ300069,103700,999850.3009796143
2019-01-02,SZ300106,189500,999551.976442337
2019-01-02,SZ300321,83000,998896.5969085693
2019-01-02,SZ300354,126000,999494.0843582153
2019-01-02,SZ300405,260700,999702.5887012482
2019-01-02,SZ300489,128400,999974.1931915283
2019-01-02,SZ300592,110100,999366.6380882263
2019-02-01,SZ000929,155700,943390.1630401611
2019-02-01,SZ002072,194700,943568.9711093903
2019-02-01,SZ002200,179100,943686.9621276855
2019-02-01,SZ002633,129700,943091.1761760712
2019-02-01,SZ002890,113600,943746.3958740234
2019-02-01,SZ300106,182300,943751.8960475922
2019-02-01,SZ300321,80900,943527.9132843018
2019-02-01,SZ300405,265500,943587.2268676758
2019-02-01,SZ300489,125400,943243.5316085815
2019-02-01,SZ300592,112700,942269.6598052979
2019-03-01,SH603286,76400,1145390.9572601318
2019-03-01,SZ000929,159900,1145190.0280952454
2019-03-01,SZ002072,174300,1145097.1728801727
2019-03-01,SZ002200,181700,1145183.5294246674
2019-03-01,SZ002633,131300,1145173.19688797
2019-03-01,SZ300106,186400,1145297.872543335
2019-03-01,SZ300321,81600,1144678.3309936523
2019-03-01,SZ300405,266600,1145416.1907196045
2019-03-01,SZ300489,127800,1145229.3851852417
2019-03-01,SZ300592,112700,1144701.6995429993
2019-04-01,SZ002072,207500,1258944.2360401154
2019-04-01,SZ002200,183700,1259050.2973079681
2019-04-01,SZ300069,102200,1259061.3763809204
2019-04-01,SZ300106,189400,1258952.3355484009
2019-04-01,SZ300321,81800,1258074.6480941772
2019-04-01,SZ300405,270500,1258802.985906601
2019-04-01,SZ300489,122500,1258697.2665786743
2019-04-01,SZ300592,110400,1258941.9342041016
2019-04-01,SZ300665,154700,1259180.0079345703
2019-04-01,SZ300680,169600,1255578.4591674805
