execution_date,observation_date,active_full_market_stocks,valuation_rows,execution_state_rows,known_st_rows,eligible_candidates,selected_count,selected_sha256
2019-01-02,2018-12-28,3567,3546,3542,3542,3235,10,34926553f6b49a3f7486a46031dfc3a31997afd33fc7a56a4b29c212424c0a86
2019-02-01,2019-01-31,3583,3558,3556,3556,3260,10,9768d4cffcdafa915a95877fe82af94d91c466e4f06f5796e87923dc80eec940
2019-03-01,2019-02-28,3589,3561,3559,3559,3265,10,9a497dae44c8a4284c3f079f22293e2b8ab3a127e68376cced0b66ab55ed5fd1
2019-04-01,2019-03-29,3600,3568,3566,3566,3259,10,7340d00b979c7257cc6c7848b37d63ec42b36a9dd316125ab2a0434d3aeb603c
2019-05-06,2019-04-30,3610,3583,3581,3581,3248,10,b9c9b39724f625e12fa8dcb9d8bda4a7267eedfa7fb44a49faba12a4835a65bc
2019-06-03,2019-05-31,3622,3599,3596,3596,3256,10,3c791c40f0638f43b3c52f0b150e54aa9cf73eaaee63a25eba617103405aac3a
2019-07-01,2019-06-28,3632,3600,3598,3598,3262,10,d539c94e8f71680a3cf80e0762219a4637f93673ae1afaff1c415691b35e31bd
2019-08-01,2019-07-31,3666,3641,3640,3640,3281,10,c9d6adb0d126caa46468cab6c427cd01238fe82e8446359d9a4c1af72f9fd038
2019-09-02,2019-08-30,3681,3651,3650,3650,3282,10,f604a506d50c8dec3bf556004bfa68882810b68efd2220dc03b703bafc58f02b
2019-10-08,2019-09-30,3692,3657,3656,3656,3285,10,1004fc79343f9c31c3aa2f5ef6bee8573d5d1ddb2a438ad3755158302c447bd8
2019-11-01,2019-10-31,3707,3682,3680,3680,3294,10,705630231b64cf87b773046d1ef2c31076afc00b66090aa042afc5a3497744a7
2019-12-02,2019-11-29,3735,3711,3708,3708,3296,10,6a5138be9f8efe2a5d86b92d52fc12b3be94017f3816c89d4e0af6ec9807bffc
2020-01-02,2019-12-31,3760,3727,3726,3726,3301,10,89f1e07b7cd13fe9a87e6e24e8ea4a895d0cfda67aac9b3c855c87ab7735948b
2020-02-03,2020-01-23,3775,3746,3744,3744,3313,10,65e103b9c84bcb4c91b45c11e2de8a8962f0f41db12b290ab57910dd5088ac5a
2020-03-02,2020-02-28,3796,3767,3766,3766,3330,10,c021a1fda2f48e1406dc1cb59eef1aa72b64d5fa167734bede08a7986dc3a786
2020-04-01,2020-03-31,3809,3783,3782,3782,3335,10,62f612bb7964971ea8b3dd50ac7924bbd96b8c7cf9d9c17d0469aef2d7e24cc2
2020-05-06,2020-04-30,3831,3799,3797,3797,3288,10,2763c4c9262a7af5a8ddfe8d9930fece0ae6f1b1cdf6045a2f10e3d088e595ec
2020-06-01,2020-05-29,3848,3828,3825,3825,3299,10,ee667d3e75275f6e75c9b3426a82a30f381b8c5b2a165c90902d0ba6d407d369
2020-07-01,2020-06-30,3873,3844,3841,3841,3312,10,55c034256a0c7d57f254b2f70067cb984d7e4bafe65a25bc9d65257d76cfc449
2020-08-03,2020-07-31,3920,3917,3885,3885,3337,10,addbbffc9659ef90b63375d7599adfe8499ac06520ed8d178e4888dc52a733b0
2020-09-01,2020-08-31,3973,3987,3952,3952,3327,10,76958c1d910275e3136a938fdf1f3d88e51ed5d089968535d2f52ef2c069d703
2020-10-09,2020-09-30,4039,4048,4016,4016,3325,10,6f1e0c494da30d0394ac0caf0c00f4f59df1ad9538766c27a0b7b9cfa8e0e227
2020-11-02,2020-10-30,4065,4075,4043,4043,3346,10,9c1d98a83fda9eb527c765eb67a30aae32a7c59dfe7d86422d0b787789504e96
2020-12-01,2020-11-30,4085,4094,4058,4058,3413,10,a054bdc10419949aeed476c0927f00f6004f6f85725330ca6249ed235f7a4d4f
2021-01-04,2020-12-31,4138,4151,4110,4110,3419,10,eac0396d7c57a50f657c455f0ebe954be3fd02187ddc9d01d5bb0f3ef5ad25a1
2021-02-01,2021-01-29,4170,4191,4145,4145,3436,10,33e8365564076925a7481d13ff0b587a96c9312bf8e3809c2364fe36a5ea0bcb
2021-03-01,2021-02-26,4195,4218,4166,4166,3456,10,4923d10393d0039cdc4ae89a4c7326e7b4e732226377e73a77dd2589804702c6
2021-04-01,2021-03-31,4233,4261,4209,4209,3500,10,c1182e5c189c036da62f2a775be65ca9249877f1434679a2db8f26dc09e5133d
2021-05-06,2021-04-30,4286,4313,4261,4261,3485,10,6b1163b4247805a2648cf54adabbf0945971577af6105574c95d8e2215172ed1
2021-06-01,2021-05-31,4324,4341,4289,4289,3534,10,9aab7ee95c01c7284865726180c8090f66336bb4ca6a8eb492bab8e09175e5c3
2021-07-01,2021-06-30,4373,4405,4352,4352,3552,10,e7dfc9e411261ac38ed027bf2f856f6265a5876ffb0ee0b21abf87372e4cd26e
2021-08-02,2021-07-30,4416,4439,4379,4379,3542,10,97418ebb6f5b048f6cb7e90b08a46e93dcc1962221d0bf43795db800eef8c78d
2021-09-01,2021-08-31,4455,4491,4426,4426,3621,10,41548d56bd3f0bac38f436eff30ddce2ff93baf6338b76736941be313dfad912
2021-10-08,2021-09-30,4493,4534,4469,4469,3704,10,8369563a38b2bb9be54567dafd96fd2dfa0485314b14fed7d28449844b39b8a8
2021-11-01,2021-10-29,4526,4564,4497,4497,3739,10,9eab4bd3188da354f533c5fbcded02a74a65f06cbb7a63444fcb66dd23054c07
2021-12-01,2021-11-30,4637,4628,4549,4549,3778,10,d3570a014417ad18a03d72c0f79c8bb72f08b1975c628f76b66520a529a6301b
2022-01-04,2021-12-31,4681,4668,4588,4588,3807,10,28bb47e1c6967227ccb029b6d91926eb3506d148b60f1f16808c5a15cd2f6475
2022-02-07,2022-01-28,4713,4700,4618,4618,3852,10,99ab8646721caed210a7e5ec76eb43693815a3a4f6c19c31eb7a8807120fa8cf
2022-03-01,2022-02-28,4730,4717,4634,4634,3918,10,7d7e6b579a1faf072e6c966a19d6447822cd654720ac71462ebd319e1be14a04
2022-04-01,2022-03-31,4767,4759,4672,4672,3936,10,15d12280a8e09c8d56cf4afcc426fe99daa01194f79bdad81e9fa5874b8a637a
2022-05-05,2022-04-29,4801,4800,4711,4711,3949,10,1ba3262d1c8dc26784fd422dff4d2be298f4c57129c5c147c8913952a5110001
2022-06-01,2022-05-31,4815,4817,4722,4722,4037,10,afb6d06f96f1f6fc706dc0a209aff1f8aca162bf0c447d6b82186a1dff1bf92e
2022-07-01,2022-06-30,4817,4850,4725,4725,4087,10,8f3016913a8a9b6b9ec8260247f191737837ca4e61a2343c1d064300965b02e7
2022-08-01,2022-07-29,4844,4860,4755,4755,4129,10,2d226ca9ddbba496a561ab2f9bf0ad188a9a943e3df5ee13b30c16de52309ffd
2022-09-01,2022-08-31,4893,4910,4804,4804,4204,10,e9e17e07438918bd9a67edd895c955e8a40221b22b8744edb4baa76e8a7c7fc4
2022-10-10,2022-09-30,4943,4976,4862,4862,4228,10,b225f5293c8dde869e5ff9a60ca9809565361f481d764bbc48d7b181524abeed
2022-11-01,2022-10-31,4973,5002,4881,4881,4247,10,3d7164c87127fd9f3217a4ba03530c8d87c7603620bc275128fbfba3a1943a7c
2022-12-01,2022-11-30,5007,5048,4918,4918,4300,10,7877fa36131f939718ed8d72cea0fb244ec5bc8bb1dd1ec5f440b74845f99737
2023-01-03,2022-12-30,5067,5137,4975,4975,4328,10,bf41eec09d77851ca2d03434c112e9f1f96198966e9effcb8e432f1dd5ca1d40
2023-02-01,2023-01-31,5077,5155,4989,4989,4370,10,68938b389c8b5340271f885a7202b65d64a85ef49a28e98061e7c5d955f11201
2023-03-01,2023-02-28,5097,5189,5012,5012,4403,10,8e3d2a1ff870fd9cc69ae9c784589891d5e3078453eaf9bd3155a8ed9a53dc37
2023-04-03,2023-03-31,5130,5231,5045,5045,4411,10,ccf2c7ce7ff5aba1f038e3954b079d8b6c9e80f212cebeaf1f2e3a1c6b0df6d9
2023-05-04,2023-04-28,5163,5266,5075,5075,4398,10,aa43dbcbb2fceea2fc02a8821084e9e621fdea76fcc60b806379acb30fbdcbf6
2023-06-01,2023-05-31,5186,5306,5099,5099,4463,10,0971f9613f1e0fdb030b8e042c9481960da041d975a9a67e9ce15f55a5d147db
