execution_date,side,symbol,status,requested_shares,filled_shares
2019-01-02,target,SZ300029,held,215000.0,215000.0
2019-01-02,target,SZ002200,held,178200.0,178200.0
2019-01-02,target,SZ300489,held,85600.0,85600.0
2019-01-02,target,SZ002072,held,160200.0,160200.0
2019-01-02,target,SZ300592,held,110100.0,110100.0
2019-01-02,target,SZ300069,held,103700.0,103700.0
2019-01-02,target,SZ300106,held,189300.0,189300.0
2019-01-02,target,SZ300321,held,79600.0,79600.0
2019-01-02,target,SZ300354,held,122600.0,122600.0
2019-01-02,target,SH600306,held,155700.0,155700.0
2019-02-01,sell,SZ300069,held,103700.0,103700.0
2019-02-01,sell,SZ300106,held,189300.0,189300.0
2019-02-01,sell,SZ300354,held,122600.0,122600.0
2019-02-01,target,SZ300029,held,4200.0,4200.0
2019-02-01,target,SZ002072,held,32400.0,32400.0
2019-02-01,target,SZ002200,held,900.0,900.0
2019-02-01,target,SH600306,held,11400.0,11400.0
2019-02-01,target,SZ300489,held,2700.0,2700.0
2019-02-01,target,SZ300592,held,1500.0,1500.0
2019-02-01,target,SZ300405,held,134400.0,134400.0
2019-02-01,target,SZ300321,held,2800.0,2800.0
2019-02-01,target,SZ002633,held,128400.0,128400.0
2019-02-01,target,SZ300330,held,145100.0,145100.0
2019-03-01,sell,SZ002633,held,128400.0,128400.0
2019-03-01,target,SZ300029,held,3700.0,3700.0
2019-03-01,target,SZ002072,held,17400.0,17400.0
2019-03-01,target,SZ002200,held,5300.0,5300.0
2019-03-01,target,SZ300489,held,2700.0,2700.0
2019-03-01,target,SZ300592,held,1600.0,1600.0
2019-03-01,target,SH600306,held,6600.0,6600.0
2019-03-01,target,SZ300405,held,2500.0,2500.0
2019-03-01,target,SZ300321,held,1700.0,1700.0
2019-03-01,target,SZ300106,held,187000.0,187000.0
2019-03-01,target,SZ300330,held,2000.0,2000.0
2019-04-01,sell,SZ300321,held,78500.0,78500.0
2019-04-01,sell,SZ300330,held,147100.0,147100.0
2019-04-01,target,SZ002072,held,31500.0,31500.0
2019-04-01,target,SZ300029,held,3500.0,3500.0
2019-04-01,target,SZ002200,held,600.0,600.0
2019-04-01,target,SH600306,held,5500.0,5500.0
2019-04-01,target,SZ300405,held,1000.0,1000.0
2019-04-01,target,SZ300592,held,3200.0,3200.0
2019-04-01,target,SZ300489,held,4100.0,4100.0
2019-04-01,target,SZ300665,held,109400.0,109400.0
2019-04-01,target,SZ300106,held,1700.0,1700.0
2019-04-01,target,SZ300680,held,65800.0,65800.0
2019-05-06,sell,SZ002072,canceled,206700.0,0.0
2019-05-06,sell,SZ002200,held,183200.0,183200.0
2019-05-06,sell,SZ300106,held,188700.0,188700.0
2019-05-06,sell,SZ300405,held,137900.0,137900.0
2019-05-06,sell,SZ300489,held,81500.0,81500.0
2019-05-06,sell,SZ300680,held,65800.0,65800.0
2019-05-06,target,SZ300029,held,29100.0,29100.0
2019-05-06,target,SZ300592,held,20100.0,20100.0
2019-05-06,target,SH600306,held,18900.0,18900.0
2019-05-06,target,SZ300665,held,16600.0,16600.0
2019-05-06,target,SZ002890,held,67600.0,67600.0
2019-05-06,target,SH603286,held,87600.0,87600.0
2019-05-06,target,SZ300354,held,136600.0,136600.0
2019-05-06,target,SZ300321,held,86200.0,86200.0
2019-05-06,target,SZ300442,held,95200.0,95200.0
2019-05-06,target,SH603029,held,18700.0,18700.0
2019-06-03,sell,SZ002072,held,206700.0,206700.0
2019-06-03,sell,SZ300354,held,136600.0,136600.0
2019-06-03,sell,SZ300442,held,95200.0,95200.0
2019-06-03,sell,SZ300592,none,,
