comparison,execution_date,local_count,joinquant_count,intersection_count,overlap_ratio,local_only,joinquant_only
selected_candidates,2019-01-02,10,10,10,1.0,,
selected_candidates,2019-02-01,10,10,10,1.0,,
selected_candidates,2019-03-01,10,10,10,1.0,,
selected_candidates,2019-04-01,10,10,10,1.0,,
selected_candidates,2019-05-06,10,10,10,1.0,,
selected_candidates,2019-06-03,10,10,10,1.0,,
selected_candidates,2019-07-01,10,10,10,1.0,,
selected_candidates,2019-08-01,10,10,10,1.0,,
selected_candidates,2019-09-02,10,10,10,1.0,,
selected_candidates,2019-10-08,10,10,10,1.0,,
selected_candidates,2019-11-01,10,10,10,1.0,,
selected_candidates,2019-12-02,10,10,10,1.0,,
selected_candidates,2020-01-02,10,10,10,1.0,,
selected_candidates,2020-02-03,10,10,10,1.0,,
selected_candidates,2020-03-02,10,10,10,1.0,,
selected_candidates,2020-04-01,10,10,10,1.0,,
selected_candidates,2020-05-06,10,10,10,1.0,,
selected_candidates,2020-06-01,10,10,10,1.0,,
selected_candidates,2020-07-01,10,10,10,1.0,,
selected_candidates,2020-08-03,10,10,10,1.0,,
selected_candidates,2020-09-01,10,10,10,1.0,,
selected_candidates,2020-10-09,10,10,10,1.0,,
selected_candidates,2020-11-02,10,10,10,1.0,,
selected_candidates,2020-12-01,10,10,10,1.0,,
selected_candidates,2021-01-04,10,10,10,1.0,,
selected_candidates,2021-02-01,10,10,10,1.0,,
selected_candidates,2021-03-01,10,10,10,1.0,,
selected_candidates,2021-04-01,10,10,10,1.0,,
selected_candidates,2021-05-06,10,10,10,1.0,,
selected_candidates,2021-06-01,10,10,10,1.0,,
selected_candidates,2021-07-01,10,10,10,1.0,,
selected_candidates,2021-08-02,10,10,10,1.0,,
selected_candidates,2021-09-01,10,10,10,1.0,,
selected_candidates,2021-10-08,10,10,10,1.0,,
selected_candidates,2021-11-01,10,10,10,1.0,,
selected_candidates,2021-12-01,10,10,10,1.0,,
selected_candidates,2022-01-04,10,10,10,1.0,,
selected_candidates,2022-02-07,10,10,10,1.0,,
selected_candidates,2022-03-01,10,10,10,1.0,,
selected_candidates,2022-04-01,10,10,10,1.0,,
selected_candidates,2022-05-05,10,10,10,1.0,,
selected_candidates,2022-06-01,10,10,10,1.0,,
selected_candidates,2022-07-01,10,10,10,1.0,,
selected_candidates,2022-08-01,10,10,10,1.0,,
selected_candidates,2022-09-01,10,10,10,1.0,,
selected_candidates,2022-10-10,10,10,10,1.0,,
selected_candidates,2022-11-01,10,10,10,1.0,,
selected_candidates,2022-12-01,10,10,10,1.0,,
selected_candidates,2023-01-03,10,10,10,1.0,,
selected_candidates,2023-02-01,10,10,10,1.0,,
selected_candidates,2023-03-01,10,10,10,1.0,,
selected_candidates,2023-04-03,10,10,10,1.0,,
selected_candidates,2023-05-04,10,10,10,1.0,,
selected_candidates,2023-06-01,10,10,10,1.0,,
holdings,2019-01-02,10,10,10,1.0,,
holdings,2019-02-01,10,10,10,1.0,,
holdings,2019-03-01,10,10,10,1.0,,
holdings,2019-04-01,10,10,10,1.0,,
holdings,2019-05-06,11,11,11,1.0,,
holdings,2019-06-03,10,11,10,0.9090909090909091,,SZ002209
holdings,2019-07-01,10,10,10,1.0,,
holdings,2019-08-01,10,10,10,1.0,,
holdings,2019-09-02,10,10,10,1.0,,
holdings,2019-10-08,10,10,10,1.0,,
holdings,2019-11-01,10,10,10,1.0,,
holdings,2019-12-02,10,10,10,1.0,,
holdings,2020-01-02,10,10,10,1.0,,
