trade_date,event,symbol,amount,cash_after
,initial_cash,,10000000.0,10000000.0
2019-01-02,buy,SH600306,-999982.8605332088,9000017.13946679
2019-01-02,buy,SZ002072,-1000208.2706003952,7999808.868866395
2019-01-02,buy,SZ002200,-999766.8302818394,7000042.0385845555
2019-01-02,buy,SZ300029,-1000003.2849211693,6000038.753663386
2019-01-02,buy,SZ300069,-1000150.2560699082,4999888.497593478
2019-01-02,buy,SZ300106,-999851.8420352697,4000036.6555582085
2019-01-02,buy,SZ300321,-999196.2658876419,3000840.3896705667
2019-01-02,buy,SZ300354,-999793.9325835228,2001046.457087044
2019-01-02,buy,SZ300489,-1000274.1854494858,1000772.2716375581
2019-01-02,buy,SZ300592,-999666.4480796527,1105.8235579053871
2019-02-01,sell,SZ002200,4732.403392791748,5838.226950697135
2019-02-01,sell,SZ300069,1004803.364825964,1010641.5917766611
2019-02-01,sell,SZ300106,979750.3621581316,1990391.9539347927
2019-02-01,sell,SZ300321,33778.415924491885,2024170.3698592845
2019-02-01,sell,SZ300354,999370.9882284164,3023541.358087701
2019-02-01,sell,SZ300489,31550.819163265227,3055092.177250966
2019-02-01,buy,SH600306,-63212.45923672676,2991879.7180142393
2019-02-01,buy,SZ002072,-158035.83237135888,2833843.8856428806
2019-02-01,buy,SZ002633,-934645.8928563356,1899197.9927865448
2019-02-01,buy,SZ300029,-19154.577686333658,1880043.4151002113
2019-02-01,buy,SZ300330,-934166.224052639,945877.1910475723
2019-02-01,buy,SZ300405,-934627.1286933899,11250.062354182359
2019-02-01,buy,SZ300592,-10874.126510620117,375.93584356224164
2019-03-01,sell,SH600306,47270.31959924698,47646.25544280922
2019-03-01,sell,SZ002072,116132.36531285763,163778.62075566684
2019-03-01,sell,SZ002633,1119295.1608344554,1283073.7815901223
2019-03-01,sell,SZ300029,20242.908367853164,1303316.6899579754
2019-03-01,buy,SZ002200,-32783.38381570816,1270533.3061422673
2019-03-01,buy,SZ300106,-1150558.3780506134,119974.92809165386
2019-03-01,buy,SZ300321,-26661.045288438796,93313.88280321506
2019-03-01,buy,SZ300330,-14858.3362865448,78455.54651667026
2019-03-01,buy,SZ300405,-21058.601261539457,57396.945255130806
2019-03-01,buy,SZ300489,-37647.937455425264,19749.00779970554
2019-03-01,buy,SZ300592,-18288.209388599396,1460.798411106145
2019-04-01,sell,SZ300029,20678.606786584853,22139.405197690998
2019-04-01,sell,SZ300321,1259511.1294160844,1281650.5346137753
2019-04-01,sell,SZ300330,1386601.9876267433,2668252.5222405186
2019-04-01,sell,SZ300489,64648.84937822342,2732901.371618742
2019-04-01,sell,SZ300592,36443.63216491699,2769345.003783659
2019-04-01,buy,SH600306,-42362.28831008911,2726982.71547357
2019-04-01,buy,SZ002072,-192994.8772727108,2533987.8382008593
2019-04-01,buy,SZ002200,-4117.303638458252,2529870.534562401
2019-04-01,buy,SZ300106,-10640.289001464844,2519230.245560936
2019-04-01,buy,SZ300405,-8846.869401931763,2510383.3761590044
2019-04-01,buy,SZ300665,-1255486.7930877686,1254896.5830712358
2019-04-01,buy,SZ300680,-1254474.0535393048,422.52953193103895
2019-05-06,sell,SZ002200,1335212.3357351446,1335634.8652670756
2019-05-06,sell,SZ300106,1276383.7286343384,2612018.593901414
2019-05-06,sell,SZ300405,2065196.50942935,4677215.103330764
2019-05-06,sell,SZ300489,1377022.5497005177,6054237.653031282
2019-05-06,sell,SZ300680,1292440.9667393302,7346678.619770613
2019-05-06,buy,SH600306,-132725.50254933833,7213953.117221274
2019-05-06,buy,SH603029,-1285696.8302294253,5928256.28699185
2019-05-06,buy,SH603286,-1285504.5491088675,4642751.737882982
2019-05-06,buy,SZ002890,-1286369.0255599977,3356382.7123229844
2019-05-06,buy,SZ300029,-156570.98360180855,3199811.728721176
2019-05-06,buy,SZ300321,-1285351.577167511,1914460.1515536648
2019-05-06,buy,SZ300354,-1285988.5220388793,628471.6295147855
2019-05-06,buy,SZ300442,-628197.7226258898,273.9068888956681
2019-06-03,sell,SH600306,1442175.4980126,1442449.4049014957
2019-06-03,sell,SZ002072,1054961.0752612208,2497410.4801627165
2019-06-03,sell,SZ300029,145446.8996546459,2642857.3798173624
2019-06-03,sell,SZ300354,1523039.3911364365,4165896.7709537987
2019-06-03,sell,SZ300442,658613.1117190218,4824509.88267282
2019-06-03,buy,SH603029,-97895.24387854576,4726614.638794274
2019-06-03,buy,SH603269,-1411962.0052642822,3314652.633529992
2019-06-03,buy,SH603286,-60975.07796134949,3253677.5555686424
2019-06-03,buy,SZ000691,-1412209.9260308647,1841467.6295377777
2019-06-03,buy,SZ002209,-1411737.6533776904,429729.9761600874
2019-06-03,buy,SZ002473,-429118.1073189068,611.8688411805779
2019-07-01,sell,SH603029,28991.8292804718,29603.698121652378
2019-07-01,sell,SH603269,36764.358019638064,66368.05614129044
2019-07-01,sell,SH603286,22003.700674495696,88371.75681578612
2019-07-01,sell,SZ002209,1414917.376229167,1503289.133044953
2019-07-01,sell,SZ300029,61457.14637289047,1564746.2794178436
2019-07-01,buy,SZ000691,-13191.199951171875,1551555.0794666717
2019-07-01,buy,SZ002473,-1005688.603400879,545866.4760657927
2019-07-01,buy,SZ002890,-39031.62670681,506834.84935898276
2019-07-01,buy,SZ300321,-106380.04134292602,400454.8080160567
2019-07-01,buy,SZ300592,-211483.16373720168,188971.64427885503
2019-07-01,buy,SZ300665,-187074.16152339935,1897.4827554556832
2019-08-01,sell,SH603029,1412190.3713218118,1414087.8540772675
2019-08-01,sell,SH603269,1445304.986660385,2859392.8407376525
2019-08-01,sell,SH603286,1422390.2368222047,4281783.077559857
2019-08-01,sell,SZ000691,10779.963346576691,4292563.040906433
2019-08-01,sell,SZ300321,21633.76719403267,4314196.808100466
2019-08-01,buy,SH600306,-1383073.6151749373,2931123.1929255286
2019-08-01,buy,SZ002209,-1382825.264362998,1548297.9285625305
2019-08-01,buy,SZ002473,-38505.454908394815,1509792.4736541358
2019-08-01,buy,SZ002633,-1382533.727333622,127258.74632051378
2019-08-01,buy,SZ002890,-33778.60369029045,93480.14263022333
2019-08-01,buy,SZ300029,-20120.52366373539,73359.61896648793
2019-08-01,buy,SZ300592,-23180.32828699112,50179.290679496815
2019-08-01,buy,SZ300665,-49488.919352502824,690.3713269939908
2019-09-02,sell,SZ002473,88586.27656545638,89276.64789245038
2019-09-02,sell,SZ002890,17854.426935625077,107131.07482807545
2019-09-02,sell,SZ300029,17045.260599474906,124176.33542755035
2019-09-02,sell,SZ300592,1390456.737270813,1514633.0726983633
2019-09-02,buy,SH600306,-56876.789212112424,1457756.283486251
2019-09-02,buy,SH603269,-1330639.6922269058,127116.59125934518
2019-09-02,buy,SZ000691,-9933.550148010254,117183.04111133493
2019-09-02,buy,SZ002209,-33719.90040038109,83463.14071095383
2019-09-02,buy,SZ002633,-75803.71745687485,7659.423254078982
2019-09-02,buy,SZ300665,-6483.666019439697,1175.7572346392844
2019-10-08,sell,SZ002209,1410976.9847665788,1412152.742001218
2019-10-08,sell,SZ002473,1462586.6618471146,2874739.4038483324
2019-10-08,sell,SZ002633,42246.40626903534,2916985.8101173677
2019-10-08,sell,SZ002890,1389753.621901474,4306739.432018842
2019-10-08,sell,SZ300321,1381444.063042288,5688183.495061129
2019-10-08,buy,SH600306,-73883.36289016723,5614300.132170962
2019-10-08,buy,SH603269,-1723.522071838379,5612576.610099124
2019-10-08,buy,SZ000502,-1366827.376855588,4245749.233243536
2019-10-08,buy,SZ000679,-1367244.2803343653,2878504.9529091706
2019-10-08,buy,SZ000691,-46257.36712972164,2832247.585779449
2019-10-08,buy,SZ000835,-1367119.9945074774,1465127.5912719716
2019-10-08,buy,SZ300029,-71422.24918239593,1393705.3420895757
2019-10-08,buy,SZ300592,-1367405.0230226517,26300.319066924043
2019-10-08,buy,SZ300665,-26022.002753505705,278.3163134183378
2019-11-01,sell,SZ000502,1476914.7179954052,1477193.0343088235
2019-11-01,sell,SZ000679,1417860.3581215024,2895053.392430326
2019-11-01,sell,SZ300029,56025.86602749825,2951079.258457824
2019-11-01,sell,SZ300592,1458144.2118988037,4409223.470356628
2019-11-01,buy,SH600306,-63600.02330509186,4345623.447051536
2019-11-01,buy,SH603269,-5239.664344787598,4340383.782706749
2019-11-01,buy,SH603991,-1392346.6325949477,2948037.150111801
2019-11-01,buy,SZ000691,-29861.941206147672,2918175.208905653
2019-11-01,buy,SZ000835,-39871.85462884903,2878303.3542768043
2019-11-01,buy,SZ000929,-1392532.6929396153,1485770.661337189
2019-11-01,buy,SZ002209,-1392733.9348965741,93036.72644061479
2019-11-01,buy,SZ002633,-81195.4521374321,11841.274303182683
2019-11-01,buy,SZ300665,-11703.26431274414,138.00999043854245
2019-12-02,sell,SZ000835,1782572.058954978,1782710.0689454165
2019-12-02,sell,SZ002209,1441529.7036778736,3224239.7726232903
2019-12-02,sell,SZ300029,1345031.9200776387,4569271.692700929
2019-12-02,buy,SH600306,-4902.352743148804,4564369.33995778
2019-12-02,buy,SH603269,-115544.12926619053,4448825.21069159
2019-12-02,buy,SH603991,-71371.41721069335,4377453.793480896
2019-12-02,buy,SZ000691,-20403.521745705606,4357050.27173519
2019-12-02,buy,SZ000929,-102356.08175525666,4254694.189979934
2019-12-02,buy,SZ002473,-1387164.0216831206,2867530.1682968135
2019-12-02,buy,SZ002633,-51648.066477036475,2815882.101819777
2019-12-02,buy,SZ300362,-1387595.2912095785,1428286.8106101984
2019-12-02,buy,SZ300431,-1387544.7005421638,40742.11006803461
2019-12-02,buy,SZ300665,-40297.472273712156,444.6377943224579
2020-01-02,sell,SZ000691,18864.133126301767,19308.770920624225
2020-01-02,sell,SZ002473,1572261.7057048415,1591570.4766254658
2020-01-02,sell,SZ002633,11115.257466125488,1602685.7340915913
2020-01-02,sell,SZ300431,44241.209170532224,1646926.9432621235
2020-01-02,sell,SZ300665,1490434.5047151516,3137361.447977275
2020-01-02,buy,SH600306,-31352.819238853455,3106008.6287384215
2020-01-02,buy,SH603269,-16856.70764102936,3089151.921097392
2020-01-02,buy,SH603991,-12045.718841552734,3077106.2022558395
2020-01-02,buy,SZ000679,-1484396.2095534897,1592709.9927023498
2020-01-02,buy,SZ000929,-12532.676486968994,1580177.3162153808
2020-01-02,buy,SZ300029,-1484415.423461075,95761.89275430585
2020-01-02,buy,SZ300362,-95692.85472989082,69.03802441502921
2020-03-02,sell,SH603269,1417296.9868289565,1417366.0248533715
2020-03-02,sell,SH603991,41924.25852478981,1459290.2833781613
2020-03-02,sell,SZ000679,48044.10218267441,1507334.3855608357
2020-03-02,sell,SZ000691,1346224.4506737257,2853558.836234561
2020-03-02,sell,SZ000929,19136.6386013031,2872695.4748358643
2020-03-02,sell,SZ002633,1369520.8045299482,4242216.279365812
2020-03-02,sell,SZ300029,44978.07262913704,4287194.351994949
2020-03-02,buy,SH600241,-1299218.9086503983,2987975.443344551
2020-03-02,buy,SH600306,-101216.16010837555,2886759.283236176
2020-03-02,buy,SH600561,-1299177.5290909004,1587581.7541452753
2020-03-02,buy,SZ300106,-1299140.1747196913,288441.57942558406
2020-03-02,buy,SZ300362,-148868.63916383742,139572.94026174664
2020-03-02,buy,SZ300431,-139375.20718576908,197.73307597756502
2020-04-01,sell,SH603991,1601791.098754406,1601988.8318303835
2020-04-01,sell,SZ000929,1378828.8136131763,2980817.6454435596
2020-04-01,sell,SZ300029,1478918.9213305663,4459736.566774126
2020-04-01,sell,SZ300106,1801344.5525443554,6261081.119318482
2020-04-01,buy,SH600241,-126890.55428090095,6134190.56503758
2020-04-01,buy,SH600306,-75083.4222972393,6059107.142740341
2020-04-01,buy,SH600561,-2958.034019470215,6056149.108720871
2020-04-01,buy,SH600599,-1360063.6997537517,4696085.408967119
2020-04-01,buy,SH603389,-1359952.3799183846,3336133.0290487343
2020-04-01,buy,SZ000679,-109246.27008284569,3226886.7589658885
2020-04-01,buy,SZ000835,-1360005.4039003372,1866881.3550655514
2020-04-01,buy,SZ002071,-1360102.7962236286,506778.5588419228
2020-04-01,buy,SZ300362,-269216.73647283553,237561.82236908725
2020-04-01,buy,SZ300431,-237374.29914779664,187.52322129061213
2020-05-06,sell,SH600241,1103268.2375779438,1103455.7607992345
2020-05-06,sell,SH600561,109566.42774659157,1213022.1885458261
2020-05-06,sell,SH600599,54725.634395570756,1267747.8229413969
2020-05-06,sell,SH603389,1142416.9415590381,2410164.764500435
2020-05-06,sell,SZ000679,1123669.8764955997,3533834.6409960347
2020-05-06,sell,SZ000835,15834.484806871415,3549669.125802906
2020-05-06,buy,SZ000929,-1158320.735852337,2391348.3899505693
2020-05-06,buy,SZ002071,-42720.14309373856,2348628.2468568305
2020-05-06,buy,SZ002209,-1158165.1573095322,1190463.0895472984
2020-05-06,buy,SZ002633,-1158042.4827694893,32420.606777809095
2020-05-06,buy,SZ300029,-31886.64413702965,533.9626407794458
2020-06-01,sell,SZ000929,1227403.4141579247,1227937.3767987043
2020-06-01,sell,SZ002071,1625507.9450309586,2853445.3218296627
2020-06-01,buy,SH600561,-98118.3516099596,2755326.970219703
2020-06-01,buy,SH603269,-1238304.1594321155,1517022.8107875874
