execution_date,symbol,rank,selected
2019-01-02,SZ300029,1,True
2019-01-02,SZ002200,2,True
2019-01-02,SZ300489,3,True
2019-01-02,SZ002072,4,True
2019-01-02,SZ300592,5,True
2019-01-02,SZ300069,6,True
2019-01-02,SZ300106,7,True
2019-01-02,SZ300321,8,True
2019-01-02,SZ300354,9,True
2019-01-02,SH600306,10,True
2019-02-01,SZ300029,1,True
2019-02-01,SZ002072,2,True
2019-02-01,SZ002200,3,True
2019-02-01,SH600306,4,True
2019-02-01,SZ300489,5,True
2019-02-01,SZ300592,6,True
2019-02-01,SZ300405,7,True
2019-02-01,SZ300321,8,True
2019-02-01,SZ002633,9,True
2019-02-01,SZ300330,10,True
2019-03-01,SZ300029,1,True
2019-03-01,SZ002072,2,True
2019-03-01,SZ002200,3,True
2019-03-01,SZ300489,4,True
2019-03-01,SZ300592,5,True
2019-03-01,SH600306,6,True
2019-03-01,SZ300405,7,True
2019-03-01,SZ300321,8,True
2019-03-01,SZ300106,9,True
2019-03-01,SZ300330,10,True
2019-04-01,SZ002072,1,True
2019-04-01,SZ300029,2,True
2019-04-01,SZ002200,3,True
2019-04-01,SH600306,4,True
2019-04-01,SZ300405,5,True
2019-04-01,SZ300592,6,True
2019-04-01,SZ300489,7,True
2019-04-01,SZ300665,8,True
2019-04-01,SZ300106,9,True
2019-04-01,SZ300680,10,True
2019-05-06,SZ300029,1,True
2019-05-06,SZ300592,2,True
2019-05-06,SH600306,3,True
2019-05-06,SZ300665,4,True
2019-05-06,SZ002890,5,True
2019-05-06,SH603286,6,True
2019-05-06,SZ300354,7,True
2019-05-06,SZ300321,8,True
2019-05-06,SZ300442,9,True
2019-05-06,SH603029,10,True
2019-06-03,SZ000691,1,True
2019-06-03,SZ300665,2,True
2019-06-03,SZ002473,3,True
2019-06-03,SZ300029,4,True
2019-06-03,SH603269,5,True
2019-06-03,SH603029,6,True
2019-06-03,SZ002890,7,True
2019-06-03,SH603286,8,True
2019-06-03,SZ300321,9,True
2019-06-03,SZ002209,10,True
2019-07-01,SZ000691,1,True
2019-07-01,SZ002473,2,True
2019-07-01,SZ300592,3,True
2019-07-01,SZ300029,4,True
2019-07-01,SZ300321,5,True
2019-07-01,SZ002890,6,True
2019-07-01,SZ300665,7,True
2019-07-01,SH603286,8,True
2019-07-01,SH603269,9,True
2019-07-01,SH603029,10,True
2019-08-01,SH600306,1,True
2019-08-01,SZ002473,2,True
2019-08-01,SZ300665,3,True
2019-08-01,SZ300592,4,True
2019-08-01,SZ000691,5,True
2019-08-01,SZ300029,6,True
2019-08-01,SZ002890,7,True
2019-08-01,SZ002209,8,True
2019-08-01,SZ300321,9,True
2019-08-01,SZ002633,10,True
2019-09-02,SH600306,1,True
2019-09-02,SZ000691,2,True
2019-09-02,SZ300665,3,True
2019-09-02,SZ002633,4,True
2019-09-02,SZ002209,5,True
2019-09-02,SZ300029,6,True
2019-09-02,SH603269,7,True
2019-09-02,SZ002890,8,True
2019-09-02,SZ300321,9,True
2019-09-02,SZ002473,10,True
2019-10-08,SH600306,1,True
2019-10-08,SZ300029,2,True
2019-10-08,SZ300665,3,True
2019-10-08,SZ000502,4,True
2019-10-08,SZ000691,5,True
2019-10-08,SZ000835,6,True
2019-10-08,SH603269,7,True
2019-10-08,SZ002633,8,True
2019-10-08,SZ000679,9,True
2019-10-08,SZ300592,10,True
2019-11-01,SH600306,1,True
2019-11-01,SZ000691,2,True
2019-11-01,SZ002633,3,True
2019-11-01,SZ000835,4,True
2019-11-01,SZ300665,5,True
2019-11-01,SZ002209,6,True
2019-11-01,SH603991,7,True
2019-11-01,SZ300029,8,True
2019-11-01,SH603269,9,True
2019-11-01,SZ000929,10,True
2019-12-02,SH600306,1,True
2019-12-02,SZ300431,2,True
2019-12-02,SZ002633,3,True
2019-12-02,SZ300362,4,True
2019-12-02,SZ000691,5,True
2019-12-02,SH603269,6,True
2019-12-02,SZ300665,7,True
2019-12-02,SH603991,8,True
2019-12-02,SZ000929,9,True
2019-12-02,SZ002473,10,True
2020-01-02,SH600306,1,True
2020-01-02,SZ300362,2,True
2020-01-02,SZ300029,3,True
2020-01-02,SZ300431,4,True
2020-01-02,SH603269,5,True
2020-01-02,SZ002633,6,True
2020-01-02,SZ000679,7,True
2020-01-02,SH603991,8,True
2020-01-02,SZ000929,9,True
2020-01-02,SZ000691,10,True
2020-02-03,SH600306,1,True
2020-02-03,SZ300431,2,True
2020-02-03,SZ300362,3,True
2020-02-03,SZ002473,4,True
2020-02-03,SZ300029,5,True
2020-02-03,SZ000691,6,True
2020-02-03,SZ300106,7,True
2020-02-03,SZ300665,8,True
2020-02-03,SZ000679,9,True
2020-02-03,SZ000929,10,True
2020-03-02,SH600306,1,True
2020-03-02,SZ300362,2,True
2020-03-02,SZ300431,3,True
2020-03-02,SZ300029,4,True
2020-03-02,SH600561,5,True
2020-03-02,SZ000929,6,True
2020-03-02,SZ000679,7,True
2020-03-02,SH600241,8,True
2020-03-02,SZ300106,9,True
2020-03-02,SH603991,10,True
2020-04-01,SZ300362,1,True
2020-04-01,SH600306,2,True
2020-04-01,SZ300431,3,True
2020-04-01,SZ000835,4,True
2020-04-01,SH600241,5,True
2020-04-01,SH603389,6,True
2020-04-01,SZ000679,7,True
2020-04-01,SZ002071,8,True
2020-04-01,SH600599,9,True
2020-04-01,SH600561,10,True
2020-05-06,SZ000835,1,True
2020-05-06,SZ002071,2,True
2020-05-06,SH600599,3,True
2020-05-06,SH600561,4,True
2020-05-06,SZ300029,5,True
2020-05-06,SZ002633,6,True
2020-05-06,SZ002209,7,True
2020-05-06,SZ000929,8,True
2020-05-06,SZ300736,9,True
2020-05-06,SZ300665,10,True
2020-06-01,SZ300090,1,True
2020-06-01,SZ300431,2,True
2020-06-01,SZ000835,3,True
2020-06-01,SH600561,4,True
2020-06-01,SZ300029,5,True
2020-06-01,SZ300736,6,True
2020-06-01,SZ002209,7,True
2020-06-01,SZ002633,8,True
2020-06-01,SZ300665,9,True
2020-06-01,SH603269,10,True
2020-07-01,SH600561,1,True
2020-07-01,SZ300029,2,True
2020-07-01,SZ002633,3,True
2020-07-01,SZ002209,4,True
2020-07-01,SH603269,5,True
2020-07-01,SZ000929,6,True
2020-07-01,SZ300665,7,True
2020-07-01,SZ000502,8,True
2020-07-01,SZ002473,9,True
2020-07-01,SZ300405,10,True
2020-08-03,SZ002633,1,True
2020-08-03,SZ002209,2,True
2020-08-03,SZ000929,3,True
2020-08-03,SZ000502,4,True
2020-08-03,SZ300665,5,True
2020-08-03,SZ300029,6,True
2020-08-03,SZ300535,7,True
2020-08-03,SH600365,8,True
2020-08-03,SZ300736,9,True
2020-08-03,SH600768,10,True
2020-09-01,SZ300029,1,True
2020-09-01,SZ000502,2,True
2020-09-01,SZ002209,3,True
2020-09-01,SH600768,4,True
2020-09-01,SH600520,5,True
2020-09-01,SZ000929,6,True
2020-09-01,SZ002633,7,True
2020-09-01,SZ300736,8,True
2020-09-01,SZ300535,9,True
2020-09-01,SH600561,10,True
2020-10-09,SH600520,1,True
2020-10-09,SZ002633,2,True
2020-10-09,SZ002209,3,True
2020-10-09,SH600768,4,True
2020-10-09,SH600561,5,True
2020-10-09,SH603029,6,True
2020-10-09,SZ300665,7,True
2020-10-09,SH603286,8,True
2020-10-09,SZ000502,9,True
2020-10-09,SH603269,10,True
2020-11-02,SH600520,1,True
2020-11-02,SH600768,2,True
2020-11-02,SZ002633,3,True
2020-11-02,SH600778,4,True
2020-11-02,SH603029,5,True
2020-11-02,SZ000502,6,True
2020-11-02,SZ000702,7,True
2020-11-02,SH600355,8,True
2020-11-02,SH600506,9,True
2020-11-02,SH603958,10,True
2020-12-01,SH600520,1,True
2020-12-01,SZ002633,2,True
2020-12-01,SH600768,3,True
2020-12-01,SZ300478,4,True
2020-12-01,SZ000502,5,True
2020-12-01,SH600778,6,True
2020-12-01,SH600561,7,True
2020-12-01,SH603029,8,True
2020-12-01,SH603269,9,True
2020-12-01,SH600355,10,True
2021-01-04,SH600520,1,True
2021-01-04,SZ002633,2,True
2021-01-04,SH600768,3,True
2021-01-04,SZ300736,4,True
2021-01-04,SH603029,5,True
2021-01-04,SH600766,6,True
2021-01-04,SH600778,7,True
2021-01-04,SH600615,8,True
2021-01-04,SZ300478,9,True
2021-01-04,SH600355,10,True
2021-02-01,SZ002633,1,True
2021-02-01,SZ000007,2,True
2021-02-01,SZ300736,3,True
2021-02-01,SH600766,4,True
2021-02-01,SZ002862,5,True
2021-02-01,SZ300478,6,True
2021-02-01,SH600355,7,True
2021-02-01,SH600768,8,True
2021-02-01,SH603029,9,True
2021-02-01,SH600778,10,True
2021-03-01,SZ002633,1,True
2021-03-01,SZ300736,2,True
2021-03-01,SH600768,3,True
2021-03-01,SH603029,4,True
2021-03-01,SH600355,5,True
2021-03-01,SZ300478,6,True
2021-03-01,SH600520,7,True
2021-03-01,SH600778,8,True
2021-03-01,SH603813,9,True
2021-03-01,SH603269,10,True
