trade_date,event,symbol,amount,cash_after
,initial_cash,,1000000.0,1000000.0
2019-01-02,buy,SH600097,-49401.06746696914,950598.9325330309
2019-01-02,buy,SH600114,-49782.66191308694,900816.270619944
2019-01-02,buy,SH600230,-49218.94262228451,851597.3279976594
2019-01-02,buy,SH600382,-49803.88718463677,801793.4408130227
2019-01-02,buy,SH600516,-49962.43393564722,751831.0068773754
2019-01-02,buy,SH600525,-50022.36788419804,701808.6389931773
2019-01-02,buy,SH600567,-50086.924029691545,651721.7149634858
2019-01-02,buy,SH600585,-48073.61563381302,603648.0993296729
2019-01-02,buy,SH600596,-49588.70996605694,554059.3893636159
2019-01-02,buy,SH600668,-49832.78435106657,504226.6050125493
2019-01-02,buy,SH600995,-49503.08691250076,454723.51810004853
2019-01-02,buy,SH601006,-49804.43014175034,404919.0879582982
2019-01-02,buy,SZ000581,-49141.04833777451,355778.0396205237
2019-01-02,buy,SZ000636,-49583.32250092163,306194.7171196021
2019-01-02,buy,SZ000789,-49919.336890996114,256275.38022860597
2019-01-02,buy,SZ002033,-49909.8409125638,206365.53931604215
2019-01-02,buy,SZ002440,-49868.860638350605,156496.67867769155
2019-01-02,buy,SZ002517,-49775.15533563629,106721.52334205527
2019-01-02,buy,SZ002884,-49639.59007307591,57081.93326897936
2019-01-02,buy,SZ300145,-49870.80014300494,7211.133125974418
2019-02-01,sell,SH600097,963.0113592828751,8174.144485257293
2019-02-01,sell,SH600114,4274.490098122025,12448.634583379318
2019-02-01,sell,SH600516,4982.237569852448,17430.872153231765
2019-02-01,sell,SH600567,2481.3239405426025,19912.196093774368
2019-02-01,sell,SH600585,53156.55461213048,73068.75070590485
2019-02-01,sell,SH601006,51832.5502373291,124901.30094323395
2019-02-01,sell,SZ000581,2910.685842726898,127811.98678596085
2019-02-01,sell,SZ000789,653.512121298504,128465.49890725936
2019-02-01,sell,SZ002033,50780.1133300867,179245.61223734607
2019-02-01,sell,SZ002440,2334.641061484432,181580.2532988305
2019-02-01,buy,SH600062,-49840.172448636535,131740.08085019398
2019-02-01,buy,SH600230,-1557.7614374160767,130182.3194127779
2019-02-01,buy,SH600382,-2172.7998844146728,128009.51952836322
2019-02-01,buy,SH600525,-1692.3632373809817,126317.15629098224
2019-02-01,buy,SH600596,-1281.7227529525758,125035.43353802967
2019-02-01,buy,SH600668,-1041.6548379898072,123993.77870003987
2019-02-01,buy,SZ000055,-50456.78208536939,73536.99661467047
2019-02-01,buy,SZ000636,-2936.365440750122,70600.63117392035
2019-02-01,buy,SZ000922,-50062.84212171229,20537.789052208063
2019-02-01,buy,SZ002517,-9383.018736839294,11154.770315368769
2019-02-01,buy,SZ002884,-642.7888875007629,10511.981427868006
2019-02-01,buy,SZ300145,-4188.794249916077,6323.187177951929
2019-03-01,sell,SH600062,60503.29729217503,66826.48447012696
2019-03-01,sell,SH600230,4004.9786770080564,70831.46314713501
2019-03-01,sell,SH600525,20513.127982815167,91344.59112995019
2019-03-01,sell,SH600995,57043.734104058836,148388.325234009
2019-03-01,sell,SZ000055,1762.7525311884883,150151.0777651975
2019-03-01,sell,SZ000636,6652.85667421627,156803.93443941377
2019-03-01,sell,SZ002517,68694.1461072569,225498.08054667068
2019-03-01,sell,SZ300145,63589.738612818954,289087.81915948965
2019-03-01,buy,SH600097,-4415.278093719482,284672.54106577014
2019-03-01,buy,SH600114,-7232.411486625671,277440.1295791445
2019-03-01,buy,SH600382,-877.8454933166504,276562.2840858278
2019-03-01,buy,SH600567,-4255.820945739746,272306.4631400881
2019-03-01,buy,SH600585,-61343.98090861268,210962.4822314754
2019-03-01,buy,SH600596,-769.0978631019593,210193.38436837346
2019-03-01,buy,SH600668,-2419.3737815856935,207774.01058678777
2019-03-01,buy,SH601006,-61021.010297899535,146753.00028888823
2019-03-01,buy,SH603898,-60113.805502287374,86639.19478660086
2019-03-01,buy,SZ000581,-4899.181591033936,81740.01319556692
2019-03-01,buy,SZ000789,-4495.657992172241,77244.35520339468
2019-03-01,buy,SZ000922,-615.4839058876038,76628.87129750707
2019-03-01,buy,SZ002406,-61141.80968869806,15487.06160880901
2019-03-01,buy,SZ002440,-1847.3037330627442,13639.757875746265
2019-03-01,buy,SZ002884,-2939.9219245910645,10699.8359511552
2019-04-01,sell,SH600382,962.9166580888749,11662.752609244075
2019-04-01,sell,SH603898,69712.97984205368,81375.73245129775
2019-04-01,sell,SZ000055,1329.0384150447846,82704.77086634253
2019-04-01,sell,SZ000636,1479.0680209875106,84183.83888733004
2019-04-01,sell,SZ000789,76059.06476813839,160242.90365546843
2019-04-01,sell,SZ000922,73266.69869723225,233509.60235270066
2019-04-01,sell,SZ002440,78980.97244447643,312490.5747971771
2019-04-01,sell,SZ002884,76497.36920777998,388987.9440049571
2019-04-01,buy,SH600114,-1434.8885423660279,387553.05546259106
2019-04-01,buy,SH600230,-7819.934150695801,379733.12131189526
2019-04-01,buy,SH600426,-67435.43122322274,312297.6900886725
2019-04-01,buy,SH600516,-6185.6981960296625,306111.99189264287
2019-04-01,buy,SH600525,-8049.223486709595,298062.7684059333
2019-04-01,buy,SH600567,-2278.7854536056516,295783.98295232764
2019-04-01,buy,SH600598,-67689.7552888504,228094.22766347724
2019-04-01,buy,SH600668,-2613.101910400391,225481.12575307686
2019-04-01,buy,SH600971,-67597.5040530542,157883.62170002266
2019-04-01,buy,SH601006,-10806.71439332962,147076.90730669303
2019-04-01,buy,SZ000910,-67483.32137407562,79593.58593261741
2019-04-01,buy,SZ002233,-67930.33110015049,11663.254832466919
2019-04-01,buy,SZ002406,-3628.401409339905,8034.853423127013
2019-05-06,sell,SH600097,55742.13818108568,63776.991604212686
2019-05-06,sell,SH600114,59232.7965691113,123009.78817332399
2019-05-06,sell,SH600230,56839.75043672333,179849.5386100473
2019-05-06,sell,SH600382,7377.185554855823,187226.72416490313
2019-05-06,sell,SH600426,4152.244738569641,191378.96890347276
2019-05-06,sell,SH600525,56572.78695467742,247951.7558581502
2019-05-06,sell,SH600567,59351.47407190852,307303.2299300587
2019-05-06,sell,SH600585,66010.90668830635,373314.13661836507
2019-05-06,sell,SH600596,58461.57077572861,431775.7073940937
2019-05-06,sell,SH600598,67795.83677817078,499571.54417226446
2019-05-06,sell,SH600668,62720.39349117348,562291.9376634379
2019-05-06,sell,SH600971,66792.22211651129,629084.1597799492
2019-05-06,sell,SH601006,6975.859627386283,636060.0194073356
2019-05-06,sell,SZ000055,56065.47087666753,692125.4902840031
2019-05-06,sell,SZ000910,55192.54639296753,747318.0366769707
2019-05-06,sell,SZ002233,62299.76272496435,809617.799401935
2019-05-06,sell,SZ002406,4667.570223384857,814285.3696253198
2019-05-06,buy,SH600173,-61210.23466350242,753075.1349618174
2019-05-06,buy,SH600261,-61556.46515931952,691518.6698024978
2019-05-06,buy,SH600269,-61319.83338027191,630198.8364222259
2019-05-06,buy,SH600327,-61452.997286492995,568745.839135733
2019-05-06,buy,SH600587,-60915.354538030646,507830.48459770234
2019-05-06,buy,SH600603,-61404.83636203623,446425.6482356661
2019-05-06,buy,SH600694,-60915.39592712974,385510.2523085364
2019-05-06,buy,SH601222,-61561.266223125225,323948.98608541116
2019-05-06,buy,SH603585,-59647.50004438958,264301.4860410216
2019-05-06,buy,SZ000581,-3128.4371643066406,261173.04887671495
2019-05-06,buy,SZ000636,-6087.862113952637,255085.1867627623
2019-05-06,buy,SZ000919,-61339.19941621121,193745.9873465511
