execution_date,symbol,shares,market_value_at_open
2019-01-02,SH600097,5200,49287.67623901367
2019-01-02,SH600114,8900,49668.394804000854
2019-01-02,SH600230,3100,49105.96942901611
2019-01-02,SH600382,13300,49689.57135677338
2019-01-02,SH600516,6600,49847.754192352295
2019-01-02,SH600525,11500,49907.550573349
2019-01-02,SH600567,16900,49971.95854187012
2019-01-02,SH600585,2100,47963.27133178711
2019-01-02,SH600596,7700,49474.888038635254
2019-01-02,SH600668,4700,49718.40219497681
2019-01-02,SH600995,8000,49389.461517333984
2019-01-02,SH601006,8000,49690.11306762695
2019-01-02,SZ000581,3600,49028.25393676758
2019-01-02,SZ000636,4800,49469.512939453125
2019-01-02,SZ000789,7700,49804.75606918335
2019-01-02,SZ002033,9500,49795.28188705444
2019-01-02,SZ002440,6700,49754.39567565918
2019-01-02,SZ002517,13100,49660.90545654297
2019-01-02,SZ002884,7800,49525.651359558105
2019-01-02,SZ300145,15400,49756.330728530884
2019-02-01,SH600062,5100,49725.773334503174
2019-02-01,SH600097,5100,49517.031383514404
2019-02-01,SH600114,8200,50281.9149017334
2019-02-01,SH600230,3200,49589.18762207031
2019-02-01,SH600382,13900,50120.456409454346
2019-02-01,SH600516,6000,50022.342681884766
2019-02-01,SH600525,11900,50098.85859489441
2019-02-01,SH600567,16100,50187.73212432861
2019-02-01,SH600596,7900,50329.88896369934
2019-02-01,SH600668,4800,49660.11199951172
2019-02-01,SH600995,8000,49987.754821777344
2019-02-01,SZ000055,10600,50340.967655181885
2019-02-01,SZ000581,3400,49715.70701599121
2019-02-01,SZ000636,5100,49733.74500274658
2019-02-01,SZ000789,7600,50197.41306304932
2019-02-01,SZ000922,9900,49947.93190956116
2019-02-01,SZ002440,6400,50062.42980957031
2019-02-01,SZ002517,16100,50228.2440662384
2019-02-01,SZ002884,7900,50284.75260734558
2019-02-01,SZ300145,16800,50105.32035827637
2019-03-01,SH600097,5500,60520.283222198486
2019-03-01,SH600114,9300,60982.51390457153
2019-03-01,SH600230,3000,60330.55114746094
2019-03-01,SH600382,14100,61412.78171539307
2019-03-01,SH600516,6000,60573.1086730957
