execution_date,observation_date,universe_count,reported_candidate_count,symbol,rank,selected
2019-01-02,2018-12-28,3453,1883,SZ000636,1,True
2019-01-02,2018-12-28,3453,1883,SH600097,2,True
2019-01-02,2018-12-28,3453,1883,SH600230,3,True
2019-01-02,2018-12-28,3453,1883,SZ300159,4,True
2019-01-02,2018-12-28,3453,1883,SH600596,5,True
2019-01-02,2018-12-28,3453,1883,SH600382,6,True
2019-01-02,2018-12-28,3453,1883,SZ300061,7,True
2019-01-02,2018-12-28,3453,1883,SZ000910,8,True
2019-01-02,2018-12-28,3453,1883,SZ000791,9,True
2019-01-02,2018-12-28,3453,1883,SH603980,10,True
2019-01-02,2018-12-28,3453,1883,SH601126,11,True
2019-01-02,2018-12-28,3453,1883,SZ002884,12,True
2019-01-02,2018-12-28,3453,1883,SZ002530,13,True
2019-01-02,2018-12-28,3453,1883,SH600383,14,True
2019-01-02,2018-12-28,3453,1883,SZ002396,15,True
2019-01-02,2018-12-28,3453,1883,SZ002541,16,True
2019-01-02,2018-12-28,3453,1883,SH603669,17,True
2019-01-02,2018-12-28,3453,1883,SH600668,18,True
2019-01-02,2018-12-28,3453,1883,SZ300145,19,True
2019-01-02,2018-12-28,3453,1883,SH600720,20,True
2019-02-01,2019-01-31,3474,1899,SH600097,1,True
2019-02-01,2019-01-31,3474,1899,SZ000636,2,True
2019-02-01,2019-01-31,3474,1899,SH600230,3,True
2019-02-01,2019-01-31,3474,1899,SZ300159,4,True
2019-02-01,2019-01-31,3474,1899,SH600596,5,True
2019-02-01,2019-01-31,3474,1899,SZ000791,6,True
2019-02-01,2019-01-31,3474,1899,SH600382,7,True
2019-02-01,2019-01-31,3474,1899,SZ002530,8,True
2019-02-01,2019-01-31,3474,1899,SZ000910,9,True
2019-02-01,2019-01-31,3474,1899,SH603980,10,True
2019-02-01,2019-01-31,3474,1899,SH600668,11,True
2019-02-01,2019-01-31,3474,1899,SZ300145,12,True
2019-02-01,2019-01-31,3474,1899,SZ002884,13,True
2019-02-01,2019-01-31,3474,1899,SZ002517,14,True
2019-02-01,2019-01-31,3474,1899,SH603669,15,True
2019-02-01,2019-01-31,3474,1899,SZ001914,16,True
2019-02-01,2019-01-31,3474,1899,SZ300061,17,True
2019-02-01,2019-01-31,3474,1899,SH600720,18,True
2019-02-01,2019-01-31,3474,1899,SZ002359,19,True
2019-02-01,2019-01-31,3474,1899,SZ002541,20,True
2019-03-01,2019-02-28,3487,1813,SH600097,1,True
2019-03-01,2019-02-28,3487,1813,SZ000636,2,True
2019-03-01,2019-02-28,3487,1813,SH600230,3,True
2019-03-01,2019-02-28,3487,1813,SH600596,4,True
2019-03-01,2019-02-28,3487,1813,SZ300159,5,True
2019-03-01,2019-02-28,3487,1813,SZ000791,6,True
2019-03-01,2019-02-28,3487,1813,SH600382,7,True
2019-03-01,2019-02-28,3487,1813,SH603980,8,True
2019-03-01,2019-02-28,3487,1813,SZ002884,9,True
2019-03-01,2019-02-28,3487,1813,SZ000910,10,True
2019-03-01,2019-02-28,3487,1813,SZ002541,11,True
2019-03-01,2019-02-28,3487,1813,SH600668,12,True
2019-03-01,2019-02-28,3487,1813,SH600383,13,True
2019-03-01,2019-02-28,3487,1813,SZ002406,14,True
2019-03-01,2019-02-28,3487,1813,SH601126,15,True
2019-03-01,2019-02-28,3487,1813,SZ002396,16,True
2019-03-01,2019-02-28,3487,1813,SH600720,17,True
2019-03-01,2019-02-28,3487,1813,SZ002530,18,True
2019-03-01,2019-02-28,3487,1813,SZ001914,19,True
2019-03-01,2019-02-28,3487,1813,SH603858,20,True
2019-04-01,2019-03-29,3495,1793,SH600097,1,True
2019-04-01,2019-03-29,3495,1793,SH600823,2,True
2019-04-01,2019-03-29,3495,1793,SH600596,3,True
2019-04-01,2019-03-29,3495,1793,SH600971,4,True
2019-04-01,2019-03-29,3495,1793,SZ000910,5,True
2019-04-01,2019-03-29,3495,1793,SH601006,6,True
2019-04-01,2019-03-29,3495,1793,SH603980,7,True
2019-04-01,2019-03-29,3495,1793,SZ300230,8,True
2019-04-01,2019-03-29,3495,1793,SZ000919,9,True
2019-04-01,2019-03-29,3495,1793,SH600668,10,True
2019-04-01,2019-03-29,3495,1793,SZ300061,11,True
2019-04-01,2019-03-29,3495,1793,SH600782,12,True
2019-04-01,2019-03-29,3495,1793,SZ002406,13,True
2019-04-01,2019-03-29,3495,1793,SZ000402,14,True
2019-04-01,2019-03-29,3495,1793,SH603858,15,True
2019-04-01,2019-03-29,3495,1793,SH600051,16,True
2019-04-01,2019-03-29,3495,1793,SH600884,17,True
2019-04-01,2019-03-29,3495,1793,SZ002541,18,True
2019-04-01,2019-03-29,3495,1793,SZ002150,19,True
2019-04-01,2019-03-29,3495,1793,SH600801,20,True
