execution_date,symbol,shares,market_value_at_open
2019-01-02,SH600097,52700,499511.6418838501
2019-01-02,SH600230,31500,498980.01194000244
2019-01-02,SH600382,133800,499884.55996513367
2019-01-02,SH600383,64300,499849.2931842804
2019-01-02,SH600596,77800,499889.1284942627
2019-01-02,SH600668,47200,499299.698638916
2019-01-02,SH600720,87100,482686.5040779114
2019-01-02,SH601126,125600,499888.15212249756
2019-01-02,SH603669,110800,499961.04526519775
2019-01-02,SH603980,70100,499474.70059394836
2019-01-02,SZ000636,48500,499848.2036590576
2019-01-02,SZ000791,153700,499787.52431869507
2019-01-02,SZ000910,51800,499959.2960357666
2019-01-02,SZ002396,29300,498522.548866272
2019-01-02,SZ002530,76900,499923.11754226685
2019-01-02,SZ002541,95800,499815.1870727539
2019-01-02,SZ002884,78700,499701.1233329773
2019-01-02,SZ300061,83300,499745.2253818512
2019-01-02,SZ300145,154700,499824.95868206024
2019-01-02,SZ300159,108400,499952.5321960449
2019-02-01,SH600097,51400,499054.00257110596
2019-02-01,SH600230,32200,498991.2004470825
2019-02-01,SH600382,138600,499762.24880218506
2019-02-01,SH600596,78400,499476.36642456055
2019-02-01,SH600668,48300,499704.87699508667
2019-02-01,SH600720,86800,499550.8554458618
2019-02-01,SH603669,116200,499760.5885505676
2019-02-01,SH603980,68800,499833.76235961914
2019-02-01,SZ000636,51200,499287.79296875
2019-02-01,SZ000791,156800,499781.53228759766
2019-02-01,SZ000910,49800,499272.57442474365
2019-02-01,SZ001914,69600,499617.73796081543
2019-02-01,SZ002359,76500,497156.3243865967
2019-02-01,SZ002517,160200,499786.62729263306
2019-02-01,SZ002530,90700,499763.0756378174
2019-02-01,SZ002541,95600,499595.87421417236
2019-02-01,SZ002884,78500,499664.9467945099
2019-02-01,SZ300061,73800,499596.0162162781
2019-02-01,SZ300145,167600,499860.2197647095
2019-02-01,SZ300159,109800,499861.1240386963
2019-03-01,SH600097,56500,621708.3640098572
2019-03-01,SH600230,30900,621404.6768188477
2019-03-01,SH600382,142900,622403.2983779907
2019-03-01,SH600383,67300,622381.1675071716
2019-03-01,SH600596,81600,622259.3376159668
2019-03-01,SH600668,51600,621665.1054382324
2019-03-01,SH600720,95600,622033.1388473511
2019-03-01,SH601126,128100,622189.5635604858
2019-03-01,SH603858,32400,608269.6334838867
2019-03-01,SH603980,73600,622381.9091796875
2019-03-01,SZ000636,46600,622378.1316757202
2019-03-01,SZ000791,167500,622382.2510242462
2019-03-01,SZ000910,49900,622420.0960159302
2019-03-01,SZ001914,78400,622059.7328186035
2019-03-01,SZ002396,29800,621791.6576385498
2019-03-01,SZ002406,108100,622099.8939037323
2019-03-01,SZ002530,72900,621912.8299713135
2019-03-01,SZ002541,105100,622386.3562583923
2019-03-01,SZ002884,85000,622426.0568618774
2019-03-01,SZ300159,107100,621986.7615222931
2019-04-01,SH600051,113100,699674.1747379303
2019-04-01,SH600097,57600,699331.640625
2019-04-01,SH600596,82700,699693.7411308289
2019-04-01,SH600668,53700,698877.6077270508
2019-04-01,SH600782,146500,699570.3465938568
2019-04-01,SH600801,49400,660598.3642578125
2019-04-01,SH600823,154000,699326.5399932861
2019-04-01,SH600884,71400,699165.1290893555
2019-04-01,SH600971,153500,699486.4959716797
2019-04-01,SH601006,110300,699441.7621135712
2019-04-01,SH603858,36100,697833.3095550537
2019-04-01,SH603980,71000,699059.0057373047
2019-04-01,SZ000402,91500,698990.7896518707
2019-04-01,SZ000910,49800,698532.4155807495
2019-04-01,SZ000919,96000,699104.3243408203
2019-04-01,SZ002150,122200,699642.2449111938
2019-04-01,SZ002406,116100,699728.7152767181
2019-04-01,SZ002541,104800,699074.6757507324
2019-04-01,SZ300061,82100,699502.3727416992
2019-04-01,SZ300230,136900,699699.7598171234
2019-05-06,SH600173,161800,654376.3938903809
2019-05-06,SH600261,197200,654652.5511741638
2019-05-06,SH600269,160500,654616.2071228027
2019-05-06,SH600328,100,576.870059967041
2019-05-06,SH600382,132600,654547.5365638733
2019-05-06,SH600426,54500,568127.8429031372
2019-05-06,SH600587,42000,654505.7544708252
2019-05-06,SH600603,160200,654298.3735084534
2019-05-06,SH600677,44000,654484.0965270996
2019-05-06,SH600694,26900,653945.193862915
2019-05-06,SH601006,102800,654354.8191070557
2019-05-06,SH603585,31900,654616.4897918701
2019-05-06,SH603858,36100,689020.8658218384
2019-05-06,SZ000581,42000,654612.5793457031
2019-05-06,SZ000636,53900,654423.6885070801
2019-05-06,SZ000919,82300,654107.642030716
2019-05-06,SZ000999,24600,652707.2250366211
2019-05-06,SZ002195,161900,654290.6096458435
2019-05-06,SZ002406,111700,654369.4169521332
2019-05-06,SZ002635,48800,653970.4765319824
2019-05-06,SZ002884,73800,654061.0301971436
2019-06-03,SH600062,54500,630156.3019752502
2019-06-03,SH600173,164700,630383.2986116409
2019-06-03,SH600261,224900,630411.0481977463
2019-06-03,SH600269,163900,630500.5382299423
2019-06-03,SH600382,124000,630092.5846099854
2019-06-03,SH600516,78500,630016.6711807251
2019-06-03,SH600603,164400,624632.3890686035
2019-06-03,SH600677,34100,629986.5211486816
