order_id,trade_date,symbol,asset_type,commission,stamp_tax,total_fees
1,2019-01-02,SZ000636,stock,150.2543700199127,0.0,150.2543700199127
2,2019-01-02,SH600230,stock,149.99339158916473,0.0,149.99339158916473
3,2019-01-02,SH600525,stock,150.28300501831052,0.0,150.28300501831052
4,2019-01-02,SZ002440,stock,150.23139271476745,0.0,150.23139271476745
5,2019-01-02,SH600382,stock,150.26529872551916,0.0,150.26529872551916
6,2019-01-02,SH600596,stock,150.26667202537536,0.0,150.26667202537536
7,2019-01-02,SH600114,stock,150.14197677397726,0.0,150.14197677397726
8,2019-01-02,SZ000581,stock,150.2446327765274,0.0,150.2446327765274
9,2019-01-02,SH600585,stock,149.67007338043211,0.0,149.67007338043211
10,2019-01-02,SZ002517,stock,150.19231955383302,0.0,150.19231955383302
11,2019-01-02,SH600995,stock,150.13494943596837,0.0,150.13494943596837
12,2019-01-02,SH600516,stock,150.29641682676316,0.0,150.29641682676316
13,2019-01-02,SZ300145,stock,150.2473825798273,0.0,150.2473825798273
14,2019-01-02,SH601006,stock,150.11532228069305,0.0,150.11532228069305
15,2019-01-02,SZ002033,stock,150.15730561780927,0.0,150.15730561780927
16,2019-01-02,SH600097,stock,150.15319955028534,0.0,150.15319955028534
17,2019-01-02,SH600567,stock,150.2157073768616,0.0,150.2157073768616
18,2019-01-02,SH600668,stock,150.08948941085814,0.0,150.08948941085814
19,2019-01-02,SZ002884,stock,150.21015767389298,0.0,150.21015767389298
20,2019-01-02,SZ000789,stock,145.82444488048552,0.0,145.82444488048552
21,2019-02-01,SH600097,stock,5.0,8.720823056602478,13.720823056602478
22,2019-02-01,SH600114,stock,13.58568285118103,45.285609503936776,58.8712923551178
23,2019-02-01,SH600516,stock,14.477466418991089,48.25822139663697,62.735687815628054
24,2019-02-01,SH600567,stock,6.9064553903961174,23.02151796798706,29.927973358383177
25,2019-02-01,SH600585,stock,165.76018689216613,552.5339563072205,718.2941431993866
26,2019-02-01,SH600995,stock,5.0,1.8707917242050172,6.870791724205017
27,2019-02-01,SH601006,stock,156.4785610949707,521.5952036499024,678.0737647448731
28,2019-02-01,SZ000581,stock,10.069185342750547,33.56395114250183,43.63313648525238
29,2019-02-01,SZ002033,stock,153.02034119167325,510.06780397224423,663.0881451639175
30,2019-02-01,SZ002440,stock,6.791750829133986,22.63916943044662,29.430920259580606
31,2019-02-01,SZ000636,stock,9.087232866325378,0.0,9.087232866325378
32,2019-02-01,SH600230,stock,5.0,0.0,5.0
33,2019-02-01,SH600382,stock,6.395009659023285,0.0,6.395009659023285
34,2019-02-01,SZ002517,stock,27.8527156484127,0.0,27.8527156484127
35,2019-02-01,SH600525,stock,5.568298683357238,0.0,5.568298683357238
36,2019-02-01,SH600596,stock,5.0,0.0,5.0
37,2019-02-01,SZ000055,stock,151.32494877147673,0.0,151.32494877147673
38,2019-02-01,SZ300145,stock,12.730688217601775,0.0,12.730688217601775
39,2019-02-01,SH600668,stock,5.0,0.0,5.0
40,2019-02-01,SZ002884,stock,5.0,0.0,5.0
41,2019-02-01,SZ000789,stock,5.0,0.0,5.0
42,2019-02-01,SH600062,stock,151.2342119922638,0.0,151.2342119922638
43,2019-02-01,SZ000922,stock,150.44680348846433,0.0,150.44680348846433
44,2019-03-01,SH600062,stock,183.88435202682493,612.9478400894164,796.8321921162413
45,2019-03-01,SH600230,stock,12.041978009033203,40.139926696777344,52.181904705810545
46,2019-03-01,SH600525,stock,61.619489284515375,205.39829761505126,267.01778689956666
47,2019-03-01,SH600995,stock,172.63911718185423,575.4637239395141,748.1028411213683
48,2019-03-01,SZ000055,stock,5.0,11.206973003864288,16.206973003864288
49,2019-03-01,SZ000636,stock,22.392791216583248,74.64263738861084,97.03542860519408
50,2019-03-01,SZ002517,stock,206.99153488955497,689.9717829651833,896.9633178547382
51,2019-03-01,SZ300145,stock,192.04084688139437,640.1361562713146,832.177003152709
52,2019-03-01,SH600382,stock,5.0,0.0,5.0
53,2019-03-01,SZ002440,stock,6.90863899898529,0.0,6.90863899898529
54,2019-03-01,SH600596,stock,5.0,0.0,5.0
55,2019-03-01,SH600114,stock,23.06201301641464,0.0,23.06201301641464
56,2019-03-01,SZ000581,stock,16.150799250411985,0.0,16.150799250411985
57,2019-03-01,SH600585,stock,184.81300765411376,0.0,184.81300765411376
58,2019-03-01,SZ002884,stock,10.785838072872162,0.0,10.785838072872162
59,2019-03-01,SZ000789,stock,13.696506876125333,0.0,13.696506876125333
60,2019-03-01,SZ002406,stock,184.9273365836048,0.0,184.9273365836048
61,2019-03-01,SH600668,stock,8.329589546470642,0.0,8.329589546470642
62,2019-03-01,SH600097,stock,13.561605138187407,0.0,13.561605138187407
63,2019-03-01,SH601006,stock,184.83820973971365,0.0,184.83820973971365
64,2019-03-01,SZ000922,stock,5.0,0.0,5.0
65,2019-03-01,SH600567,stock,13.177544931793213,0.0,13.177544931793213
66,2019-03-01,SH603898,stock,184.67269780174257,0.0,184.67269780174257
68,2019-04-01,SH600382,stock,5.0,5.328870489978791,10.32887048997879
69,2019-04-01,SH600596,stock,5.0,2.5331113191604615,7.5331113191604615
70,2019-04-01,SH603898,stock,214.50495936721802,715.0165312240601,929.5214905912782
71,2019-04-01,SZ000055,stock,5.007651708126068,16.692172360420226,21.699824068546295
72,2019-04-01,SZ000636,stock,5.0,5.942214298248291,10.942214298248292
73,2019-04-01,SZ000789,stock,229.31009203737256,764.3669734579087,993.6770654952812
74,2019-04-01,SZ000922,stock,222.06698403576846,740.2232801192283,962.2902641549967
75,2019-04-01,SZ002440,stock,240.4865896818351,801.6219656061172,1042.1085552879524
76,2019-04-01,SZ002884,stock,232.55939999542235,775.1979999847413,1007.7573999801637
77,2019-04-01,SH600230,stock,25.203162635993955,0.0,25.203162635993955
78,2019-04-01,SH600585,stock,5.0,0.0,5.0
79,2019-04-01,SH601006,stock,31.070813754930494,0.0,31.070813754930494
80,2019-04-01,SH600114,stock,5.0,0.0,5.0
81,2019-04-01,SH600426,stock,204.20283566093443,0.0,204.20283566093443
82,2019-04-01,SZ002233,stock,204.32039571304318,0.0,204.32039571304318
83,2019-04-01,SH600971,stock,204.37546313232417,0.0,204.37546313232417
84,2019-04-01,SH600525,stock,24.132670460128782,0.0,24.132670460128782
85,2019-04-01,SZ000581,stock,5.0,0.0,5.0
86,2019-04-01,SH600567,stock,6.593977815456389,0.0,6.593977815456389
87,2019-04-01,SZ002406,stock,10.689034157552719,0.0,10.689034157552719
88,2019-04-01,SH600668,stock,5.0,0.0,5.0
89,2019-04-01,SH600097,stock,5.0,0.0,5.0
90,2019-04-01,SZ000910,stock,204.07582440925594,0.0,204.07582440925594
91,2019-04-01,SH600598,stock,204.27716562852854,0.0,204.27716562852854
92,2019-04-01,SH600516,stock,14.524640760669707,0.0,14.524640760669707
93,2019-05-06,SH600097,stock,170.4885298965454,568.2950996551514,738.7836295516968
94,2019-05-06,SH600114,stock,178.49158157298086,594.971938576603,773.4635201495838
95,2019-05-06,SH600230,stock,174.75865523986815,582.5288507995606,757.2875060394288
96,2019-05-06,SH600382,stock,22.759891400356288,75.86630466785431,98.62619606821059
97,2019-05-06,SH600426,stock,11.235796590728759,37.4526553024292,48.68845189315796
99,2019-05-06,SH600525,stock,170.94882221923825,569.829407397461,740.7782296166993
100,2019-05-06,SH600567,stock,179.08300407505985,596.9433469168663,776.0263509919262
101,2019-05-06,SH600585,stock,201.8957794885254,672.985931628418,874.8817111169434
102,2019-05-06,SH600596,stock,176.27155802384374,587.5718600794792,763.8434181033228
103,2019-05-06,SH600598,stock,204.92508488445282,683.0836162815094,888.0087011659623
104,2019-05-06,SH600668,stock,189.1307472929764,630.4358243099214,819.5665716028977
105,2019-05-06,SH600971,stock,202.26428559391022,674.2142853130341,876.4785709069444
106,2019-05-06,SH601006,stock,20.010654132556912,66.70218044185638,86.7128345744133
107,2019-05-06,SZ000055,stock,169.41583983146666,564.719466104889,734.1353059363556
108,2019-05-06,SZ000910,stock,167.1747800527954,557.2492668426514,724.4240468954468
109,2019-05-06,SZ002233,stock,187.68501576255798,625.6167192085267,813.3017349710847
110,2019-05-06,SZ002406,stock,13.680948852252959,45.603162840843204,59.284111693096165
111,2019-05-06,SZ002195,stock,185.0174615851021,0.0,185.0174615851021
112,2019-05-06,SZ000919,stock,184.91805840642928,0.0,184.91805840642928
113,2019-05-06,SH600261,stock,185.01317670435904,0.0,185.01317670435904
114,2019-05-06,SH600269,stock,185.00775481521606,0.0,185.00775481521606
115,2019-05-06,SZ000636,stock,18.613558068695067,0.0,18.613558068695067
116,2019-05-06,SZ000581,stock,6.559218045043945,0.0,6.559218045043945
117,2019-05-06,SZ000999,stock,185.03772239135742,0.0,185.03772239135742
118,2019-05-06,SH600173,stock,185.03451049026486,0.0,185.03451049026486
119,2019-05-06,SH600603,stock,185.01867119381902,0.0,185.01867119381902
120,2019-05-06,SH600694,stock,184.88367693168638,0.0,184.88367693168638
121,2019-05-06,SZ002635,stock,184.90130755674357,0.0,184.90130755674357
122,2019-05-06,SH600587,stock,185.03345183000562,0.0,185.03345183000562
123,2019-05-06,SH603585,stock,184.44055590156555,0.0,184.44055590156555
124,2019-05-06,SH601222,stock,185.0480201693916,0.0,185.0480201693916
125,2019-05-06,SZ002884,stock,184.88869579948425,0.0,184.88869579948425
126,2019-05-06,SH600327,stock,7.095259841051101,0.0,7.095259841051101
127,2019-06-03,SH600327,stock,6.795463905258178,22.651546350860595,29.447010256118773
128,2019-06-03,SH600382,stock,15.061550212411879,50.20516737470627,65.26671758711815
129,2019-06-03,SH600426,stock,5.0,4.971076969146728,9.97107696914673
130,2019-06-03,SH600587,stock,186.37042277755737,621.2347425918579,807.6051653694152
131,2019-06-03,SH600694,stock,5.0,4.632930916595459,9.632930916595459
132,2019-06-03,SH601006,stock,9.924821214866638,33.082737382888794,43.007558597755434
133,2019-06-03,SH603585,stock,192.87428479511257,642.9142826503753,835.7885674454878
134,2019-06-03,SZ000581,stock,5.0,15.163611291885376,20.163611291885374
135,2019-06-03,SZ000636,stock,8.290178979263304,27.633929930877688,35.924108910140994
136,2019-06-03,SZ000999,stock,5.0,5.04902706451416,10.04902706451416
137,2019-06-03,SZ002406,stock,5.0,3.347472831916809,8.347472831916809
138,2019-06-03,SZ002195,stock,5.0,0.0,5.0
139,2019-06-03,SH600261,stock,19.2113632406044,0.0,19.2113632406044
140,2019-06-03,SZ000919,stock,9.23134281852722,0.0,9.23134281852722
141,2019-06-03,SH600269,stock,5.0,0.0,5.0
142,2019-06-03,SZ002635,stock,5.0,0.0,5.0
143,2019-06-03,SZ002884,stock,9.107277032661438,0.0,9.107277032661438
144,2019-06-03,SH600516,stock,18.335170526275636,0.0,18.335170526275636
145,2019-06-03,SZ000789,stock,175.3407255830383,0.0,175.3407255830383
146,2019-06-03,SH600173,stock,5.0,0.0,5.0
147,2019-06-03,SH600603,stock,5.0,0.0,5.0
148,2019-06-03,SH601222,stock,13.24124171218872,0.0,13.24124171218872
149,2019-06-03,SH600062,stock,175.17466444839476,0.0,175.17466444839476
150,2019-07-01,SH600261,stock,9.074274045467375,30.24758015155792,39.321854197025296
151,2019-07-01,SH600426,stock,189.02063055782315,630.0687685260773,819.0893990839004
152,2019-07-01,SH600516,stock,5.0,9.208681958007814,14.208681958007814
153,2019-07-01,SH600603,stock,5.0,9.5155986328125,14.5155986328125
154,2019-07-01,SH601222,stock,5.0,13.712424975585938,18.71242497558594
155,2019-07-01,SZ000789,stock,186.75562776763917,622.518759225464,809.2743869931032
156,2019-07-01,SZ000999,stock,9.00764071632385,30.025469054412838,39.03310977073669
157,2019-07-01,SZ002635,stock,6.34740197845459,21.158006594848633,27.50540857330322
158,2019-07-01,SZ002195,stock,5.0,0.0,5.0
159,2019-07-01,SZ000919,stock,5.0,0.0,5.0
160,2019-07-01,SH600382,stock,9.535453434448241,0.0,9.535453434448241
161,2019-07-01,SZ000636,stock,5.0,0.0,5.0
162,2019-07-01,SH600269,stock,5.0,0.0,5.0
163,2019-07-01,SH601006,stock,5.0,0.0,5.0
164,2019-07-01,SZ000581,stock,5.0,0.0,5.0
165,2019-07-01,SZ002884,stock,11.7505093597126,0.0,11.7505093597126
166,2019-07-01,SH600173,stock,5.0,0.0,5.0
167,2019-07-01,SH600694,stock,5.0,0.0,5.0
168,2019-07-01,SZ002406,stock,6.019924199180603,0.0,6.019924199180603
169,2019-07-01,SH603980,stock,180.5942368027496,0.0,180.5942368027496
170,2019-07-01,SH600062,stock,6.217453880310058,0.0,6.217453880310058
171,2019-07-01,SH603167,stock,180.415897972641,0.0,180.415897972641
172,2019-08-01,SH600062,stock,182.0689739267349,606.8965797557831,788.965553682518
173,2019-08-01,SH600173,stock,5.0,11.023506881618502,16.023506881618502
174,2019-08-01,SH600261,stock,22.91389094100952,76.37963647003174,99.29352741104125
175,2019-08-01,SH600269,stock,5.0,6.114752517700196,11.114752517700197
176,2019-08-01,SH600382,stock,167.67292458560945,558.9097486186982,726.5826732043076
177,2019-08-01,SH600603,stock,191.20763760589597,637.3587920196533,828.5664296255493
178,2019-08-01,SH600694,stock,5.0,4.556259615325928,9.556259615325928
179,2019-08-01,SH601006,stock,5.0,5.056614931488037,10.056614931488037
180,2019-08-01,SH603167,stock,168.39551484283444,561.3183828094482,729.7138976522826
181,2019-08-01,SZ000581,stock,5.0,1.4888469738006593,6.488846973800659
182,2019-08-01,SZ000919,stock,5.0,1.4072445678710939,6.407244567871094
183,2019-08-01,SZ000999,stock,5.0,7.985996807098389,12.985996807098388
184,2019-08-01,SZ002635,stock,12.671003967418669,42.23667989139557,54.90768385881424
185,2019-08-01,SZ002195,stock,7.014055483460425,0.0,7.014055483460425
