execution_date,observation_date,active_full_market_stocks,merged_point_in_time_rows,eligible_candidates,selected_count,selected_industries,selected_sha256
2019-01-02,2018-12-28,3567,3358,1720,20,14,23a61dd76773c58361b874360e7df6b3fca2a238783ee9f400f62672d6b9cf5d
2019-02-01,2019-01-31,3583,3376,1728,20,14,f3cc3b4181c8463971e6a51606bfc8ad7496ef7b18dc0fd4138863b063bf9d49
2019-03-01,2019-02-28,3589,3386,1649,20,12,e5b72c34a7fc792b1764ebac6330687480df6e5201e5b2f645f4fa81fcc9e7cc
2019-04-01,2019-03-29,3600,3379,1701,20,13,591d94d2bd59e93df7f1124e22229d30007f4291e36cfd5b9a540bc2ef1ac012
2019-05-06,2019-04-30,3610,3348,1269,20,11,0d9194dbd62889a5a54226848b43ca6f2b3af4a447b8b380204ae79e040e38b3
2019-06-03,2019-05-31,3622,3354,1276,20,13,a83403a1c09c3bbb9e05e21ff61e3ce0d18ebb4fef2a0fb17b90c8edd88ae177
2019-07-01,2019-06-28,3632,3364,1280,20,12,a38b365a9e1e7ce30999ee9db97056e974ae06cbf4b869210b912edf32ebedc0
2019-08-01,2019-07-31,3666,3377,1292,20,13,b290cf90999e2f23e98c9f26bc98d0aa651061a485448375d2d3a8f82e2e9492
2019-09-02,2019-08-30,3681,3378,1585,20,14,6d5aebccdbd53ed3ec8136ccb14da9265ce0b3d19bf31c34d2878e49642ac3ea
2019-10-08,2019-09-30,3692,3382,1600,20,13,da0f563c762c096d8db1aa01f035a9c26cd6b70c4ccb9d137441532f2838c5ad
2019-11-01,2019-10-31,3707,3388,1753,20,12,f0be82150132b1898ca49c75ffda891da9f77b02f2810dc7e6d9820c807f547c
2019-12-02,2019-11-29,3735,3394,1749,20,13,89feee519da343624f91f35678f8ce3307a765a704b91bde47ff1e715869cf61
2020-01-02,2019-12-31,3760,3402,1740,20,15,207aff244fa37ecc81ca80ac064b3a60ab9f0dd3501aeb50e2843bffbcabcaf7
2020-02-03,2020-01-23,3775,3412,1731,20,15,a153ed413658980cac66f8f69f8e7fed5424aba959994dc1cbd32236b2cd48c4
2020-03-02,2020-02-28,3796,3426,1756,20,14,10233ebefbad0333d6fae17a4f07cd8d3f94391bb5581dc60acf76701adc0266
2020-04-01,2020-03-31,3809,3431,1854,20,12,c34488b25718920c42b34723690be84749dcd55f591295fd34bf7497e1b9d9c2
2020-05-06,2020-04-30,3831,3373,1021,20,15,0a078c2936d3a9f4b718526bfe28602ad9c1d1392aab35a7d542499c72758120
2020-06-01,2020-05-29,3848,3380,1014,20,14,2f07e6c39a72e6586682a58394ba0694c2b030298a1cecf8055cf1be8bf7d057
2020-07-01,2020-06-30,3873,3383,996,20,14,a6209ba7e2aa22f22f1a0972de742ed4ed069bdc471a018f3fa469116f3b06d6
2020-08-03,2020-07-31,3920,3418,997,20,13,20f24d7d27ed060b0762dca261bf8aa482da1ea5739939d1e6f19f7e7aede476
2020-09-01,2020-08-31,3973,3430,1460,20,15,b6b1db8afae54cac0e3a4dc6c77f7d21da9d2108b1f0426f24aa15c5217876a5
2020-10-09,2020-09-30,4039,3439,1497,20,12,ccb7c3925cf0a2a005f5139035470ea34dcccfff5696d17429cd492eee634276
2020-11-02,2020-10-30,4065,3451,1662,20,13,39b335cc3cd6267697cb5a2f4b9cb6929b547240b91938afeb9ebdb3455e2833
2020-12-01,2020-11-30,4085,3490,1694,20,12,ac8768c7239382538d00349fb02bb887e9b5ca47db80e3d1600e10a6dff578a9
2021-01-04,2020-12-31,4138,3517,1703,20,14,30b7a6d8efe986a86c4f690050f853c8fc03c62f69613a5be1907cf62278b499
2021-02-01,2021-01-29,4170,3534,1716,20,13,6ef2a5df670388c5b31f866756e0bab4da633e169d54044fef24199906d5fb3d
2021-03-01,2021-02-26,4195,3545,1733,20,13,d83f4e767d03fef94294877c67929522ca9657816e853d9c963cedb044262795
2021-04-01,2021-03-31,4233,3574,1874,20,14,fae80962e15af5ec2d295f4b3be7d3dc75b43a523c945bd08fbce249aac929bf
2021-05-06,2021-04-30,4286,3549,1245,20,11,a8a4dced91a1d703d46a6cf92ce16b709545cfc7caaa8ae1e773d9e3ddcc877c
2021-06-01,2021-05-31,4324,3609,1245,20,13,0d3e9b67e43c9e5ad80abd9aa1d06ce8c966798889e3cd534446d0efba3dfc55
2021-07-01,2021-06-30,4373,3645,1234,20,11,88ae6143cd7881206e626295fecbc6a845e32989c75d47592f86628bdcbd0769
2021-08-02,2021-07-30,4416,3682,1266,20,13,576a7795ad8ce37d963f9882f395a0427630bccb5a5e066435123346a54ecb4a
2021-09-01,2021-08-31,4455,3739,1661,20,16,f691e5973fe01f4e40ef77898e59ca2be990f0af122609ba613a99025c9d32b8
2021-10-08,2021-09-30,4493,3796,1702,20,15,636d8d4a540e7d437b88868163bd6ede6f391bbb51983f46524889a8e4da9729
2021-11-01,2021-10-29,4526,3840,1807,20,13,cb082b3107f5cedd2bd0a5da22500d7606dd3399ff6a0eaaf641aadf89f0fa25
2021-12-01,2021-11-30,4637,3869,1794,20,13,6d6604d0f2f3cf77fe2d6fb9fc02b0ec4e6d610222f5b39b63654610ac57dcd9
2022-01-04,2021-12-31,4681,3908,1818,20,15,7ae24fcf74cae431f4583e56a1a06ea945659b2f1d50458a2cd48d0ffc636671
2022-02-07,2022-01-28,4713,3944,1890,20,14,4844bd4c847b05a904067b0f11c5e821f9ccea0ec5d54b1b80bcc249f9c9f44b
2022-03-01,2022-02-28,4730,3987,1893,20,13,bf1211a38e78fa27d9497fc5e22addaec776b1c1bb61a6464d6902943fea9397
2022-04-01,2022-03-31,4767,4012,2040,20,15,f710d2979dd33c0b3c7a91db5788aa0b34fca14f1460630070a4bb512ae29ad9
2022-05-05,2022-04-29,4801,4017,1532,20,14,25ed945850c229a54baf3ddeeeefe7d76f4d7aafe82024a4b7747b729c625fcd
2022-06-01,2022-05-31,4815,4091,1374,20,12,d59175eb2c78b34707d245885e9763a5846792715776cdcd386850289e93a4c2
2022-07-01,2022-06-30,4817,4149,1368,20,14,aa01edb7121e9ddbff7df6c7c9b251563ff7339ef10441b5fc467130111b90f8
2022-08-01,2022-07-29,4844,4193,1376,20,14,903161433f7d7a9e42389a101c13e95604fe9299973dab09c39f6960168c3245
2022-09-01,2022-08-31,4893,4251,1846,20,12,bc1088d86ea2777f617d8ef2fc39a2fe152265f734a2d79ab879cf153eb8856d
2022-10-10,2022-09-30,4943,4290,1892,20,13,30ba0b8c1adfb2ab9dee9f31b986e40f6cfb3b472fb20e2dd1b2ca2e6caae237
2022-11-01,2022-10-31,4973,4317,2075,20,12,c505008745b4620e1a68e4f3ebb0364f9ce2dc4376633b6de23508600812f593
2022-12-01,2022-11-30,5007,4365,2079,20,12,8114f8e5deae50096345e75525188c99882a4585981095881824071b04a7bf3a
2023-01-03,2022-12-30,5067,4395,2101,20,13,64f1fed63a4dad1e6d108b626910e2584910b8c60612f9931165f11a599b4839
2023-02-01,2023-01-31,5077,4428,2100,20,13,c49cca74df9dd70f69d696cdf06f32880f2fa58d7821d74dcbf12b12771b9aa4
2023-03-01,2023-02-28,5097,4456,2102,20,12,47599d96049c7c7ee05b60209794d042a361709a8d5c7aa7317e412c4b342d48
2023-04-03,2023-03-31,5130,4482,2220,20,12,8458ce41023fa69d22d1c4c21911f4a21a62a0fc50dcc44da3a115c4a25884bc
2023-05-04,2023-04-28,5163,4456,1718,20,11,3e351795181799901706011ff1fd1264019bc1f6776b83054c70f344ffdfc92e
2023-06-01,2023-05-31,5186,4496,1545,20,12,12ac0c5d4234f91b3364e057b3b40af9be22bed222af99bf409f3af47767dd37
