trade_date,cash,positions_value,total_value,cash_ratio,daily_return
2019-01-02,139.04459638503613,9887801.647806168,9887940.692402553,1.406203786111619e-05,-0.011205930759744742
2019-01-03,139.04459638503613,9908847.71387577,9908986.758472156,1.4032170975115432e-05,0.0021284579594793573
2019-01-04,139.04459638503613,10211314.691758156,10211453.736354541,1.3616532961415016e-05,0.030524511259819365
2019-01-07,139.04459638503613,10410446.75450325,10410585.799099635,1.335607804097455e-05,0.01950085344226249
2019-01-08,139.04459638503613,10364335.139656067,10364474.184252452,1.3415499321354608e-05,-0.004429300688456039
2019-01-09,139.04459638503613,10438743.830013275,10438882.87460966,1.3319873213946315e-05,0.007179205527885202
2019-01-10,139.04459638503613,10384915.72239399,10385054.766990375,1.3388913154988758e-05,-0.005156500773680572
2019-01-11,139.04459638503613,10468333.270645142,10468472.315241527,1.3282224205970795e-05,0.00803246108208322
2019-01-14,139.04459638503613,10412579.934096336,10412718.978692722,1.3353341876368651e-05,-0.005325833117754142
2019-01-15,139.04459638503613,10522816.330122948,10522955.374719333,1.321345491201845e-05,0.010586706147758917
2019-01-16,139.04459638503613,10483009.354901314,10483148.399497699,1.3263629501963214e-05,-0.003782870287302287
2019-01-17,139.04459638503613,10347315.268111229,10347454.312707614,1.3437565625612545e-05,-0.012944020404841994
2019-01-18,139.04459638503613,10470528.226685524,10470667.27128191,1.3279439865919175e-05,0.011907562464226418
2019-01-21,139.04459638503613,10524465.487980843,10524604.532577228,1.3211384423485543e-05,0.005151272588257427
2019-01-22,139.04459638503613,10451048.216176033,10451187.260772418,1.3304191467980617e-05,-0.006975774869027895
2019-01-23,139.04459638503613,10445863.052344322,10446002.096940707,1.3310795373644215e-05,-0.0004961315592509896
2019-01-24,139.04459638503613,10478381.717085838,10478520.761682224,1.3269487129661791e-05,0.0031130249103663576
2019-01-25,139.04459638503613,10411565.940833092,10411704.985429477,1.3354642354890026e-05,-0.006376451196916877
2019-01-28,139.04459638503613,10310543.417692184,10310682.46228857,1.3485489141343768e-05,-0.009702783865109699
2019-01-29,139.04459638503613,10075516.649866104,10075655.69446249,1.3800054368814337e-05,-0.022794491895729796
2019-01-30,139.04459638503613,10061431.770348549,10061570.814944934,1.3819372634987224e-05,-0.001397911951804387
2019-01-31,139.04459638503613,9926451.655197144,9926590.699793529,1.4007286145879696e-05,-0.013415411731825477
2019-02-01,77.12713431182783,10228284.698438644,10228361.825572956,7.540516812672243e-06,0.030400278897940725
2019-02-11,77.12713431182783,10559680.657434464,10559757.784568775,7.303873430178062e-06,0.032399710202592136
2019-02-12,77.12713431182783,10691343.824362755,10691420.951497067,7.213927378009384e-06,0.012468388917091788
2019-02-13,77.12713431182783,10924763.751888275,10924840.879022587,7.059794752701988e-06,0.021832451325643154
2019-02-14,77.12713431182783,10930150.99542141,10930228.122555722,7.056315151617701e-06,0.0004931187184133989
2019-02-15,77.12713431182783,10908949.776029587,10909026.903163899,7.070028793261017e-06,-0.0019396868166065007
2019-02-18,77.12713431182783,11305474.400615692,11305551.527750004,6.822058536685776e-06,0.03634830385019061
2019-02-19,77.12713431182783,11434104.169416428,11434181.29655074,6.7453132245764e-06,0.011377575740998402
2019-02-20,77.12713431182783,11464687.29877472,11464764.425909031,6.7273195895355245e-06,0.0026747109010347714
2019-02-21,77.12713431182783,11366100.596141815,11366177.723276127,6.785670274527179e-06,-0.008599104087137599
2019-02-22,77.12713431182783,11631420.939683914,11631498.066818226,6.630885709541781e-06,0.023342969818144432
2019-02-25,77.12713431182783,12256003.777837753,12256080.904972065,6.292968764634931e-06,0.05369754046863662
2019-02-26,77.12713431182783,12222264.499282837,12222341.626417149,6.310340249787049e-06,-0.0027528602998393437
2019-02-27,77.12713431182783,12202359.423136711,12202436.550271023,6.320633915536713e-06,-0.0016285812289114077
2019-02-28,77.12713431182783,12265142.023539543,12265219.150673855,6.288280165592512e-06,0.005145087224521339
2019-03-01,396.3485379857011,12328695.99699974,12329092.345537726,3.2147422281993995e-05,0.005207668454938474
