trade_date,cash,positions_value,total_value,cash_ratio,daily_return
2021-03-08,200000.0,0.0,200000.0,1.0,0.0
2021-03-09,200000.0,0.0,200000.0,1.0,0.0
2021-03-10,200000.0,0.0,200000.0,1.0,0.0
2021-03-11,200000.0,0.0,200000.0,1.0,0.0
2021-03-12,200000.0,0.0,200000.0,1.0,0.0
2021-03-15,200000.0,0.0,200000.0,1.0,0.0
2021-03-16,200000.0,0.0,200000.0,1.0,0.0
2021-03-17,200000.0,0.0,200000.0,1.0,0.0
2021-03-18,200000.0,0.0,200000.0,1.0,0.0
2021-03-19,200000.0,0.0,200000.0,1.0,0.0
2021-03-22,200000.0,0.0,200000.0,1.0,0.0
2021-03-23,200000.0,0.0,200000.0,1.0,0.0
2021-03-24,200000.0,0.0,200000.0,1.0,0.0
2021-03-25,200000.0,0.0,200000.0,1.0,0.0
2021-03-26,200000.0,0.0,200000.0,1.0,0.0
2021-03-29,200000.0,0.0,200000.0,1.0,0.0
2021-03-30,200000.0,0.0,200000.0,1.0,0.0
2021-03-31,200000.0,0.0,200000.0,1.0,0.0
2021-04-01,200000.0,0.0,200000.0,1.0,0.0
2021-04-02,200000.0,0.0,200000.0,1.0,0.0
2021-04-06,200000.0,0.0,200000.0,1.0,0.0
2021-04-07,200000.0,0.0,200000.0,1.0,0.0
2021-04-08,200000.0,0.0,200000.0,1.0,0.0
2021-04-09,200000.0,0.0,200000.0,1.0,0.0
2021-04-12,200000.0,0.0,200000.0,1.0,0.0
2021-04-13,200000.0,0.0,200000.0,1.0,0.0
2021-04-14,200000.0,0.0,200000.0,1.0,0.0
2021-04-15,200000.0,0.0,200000.0,1.0,0.0
2021-04-16,200000.0,0.0,200000.0,1.0,0.0
2021-04-19,429.9173427843489,204638.06378219608,205067.98112498043,0.0020964625507398547,0.02533990562490218
2021-04-20,429.9173427843489,204316.36904644102,204746.28638922537,0.0020997564857761102,-0.00156872240117778
2021-04-21,429.9173427843489,204798.9111500736,205228.82849285795,0.0020948194556366147,0.002356780736502584
