trade_date,symbol,shares,available_shares,average_cost,close,market_value
2021-03-08,SH510300,32900,32900,6.076731983364692,5.819833538588934,191472.52341957594
2021-03-09,SH510300,32900,32900,6.076731983364692,5.704124249731162,187665.68781615523
2021-03-10,SH510300,32900,32900,6.076731983364692,5.7281826167213925,188457.20809013382
2021-03-11,SH510300,32900,32900,6.076731983364692,5.875969728232803,193319.40405885922
2021-03-12,SH510300,32900,32900,6.076731983364692,5.89086300303628,193809.39279989363
2021-03-15,SH510300,32900,32900,6.076731983364692,5.774008077655163,189964.86575485487
2021-03-16,SH510300,32900,32900,6.076731983364692,5.811814082925525,191208.68332824978
2021-03-17,SH510300,32900,32900,6.076731983364692,5.8381637229624435,192075.5864854644
2021-03-18,SH510300,32900,32900,6.076731983364692,5.883989183896214,193583.24415018546
2021-03-19,SH510300,32900,32900,6.076731983364692,5.724745707151359,188344.13376527972
2021-03-22,SH510300,32900,32900,6.076731983364692,5.790046988981984,190492.54593750727
2021-03-23,SH510300,32900,32900,6.076731983364692,5.7384933454314915,188796.43106469608
2021-03-24,SH510300,32900,32900,6.076731983364692,5.6514249696573255,185931.88150172602
2021-03-25,SH510300,32900,32900,6.076731983364692,5.646842423563949,185781.1157352539
2021-03-26,SH510300,32900,32900,6.076731983364692,5.765988621991754,189701.0256635287
2021-03-29,SH510300,32900,32900,6.076731983364692,5.777444987225197,190077.94007970896
2021-03-30,SH510300,32900,32900,6.076731983364692,5.8278529942523445,191736.36351090213
2021-03-31,SH510300,32900,32900,6.076731983364692,5.785464442888606,190341.78017103515
2021-04-01,SH510300,32900,32900,6.076731983364692,5.856493907335952,192678.6495513528
2021-04-02,SH510300,32900,32900,6.076731983364692,5.912630096979821,194525.5301906361
2021-04-06,SH510300,32900,32900,6.076731983364692,5.880552274326181,193470.16982533137
2021-04-07,SH510300,32900,32900,6.076731983364692,5.840454996009131,192150.96936870043
2021-04-08,SH510300,32900,32900,6.076731983364692,5.853056997765918,192565.5752264987
2021-04-09,SH510300,32900,32900,6.076731983364692,5.7717168046084755,189889.48287161885
2021-04-12,SH510300,32900,32900,6.076731983364692,5.675483336647555,186723.40177570455
2021-04-13,SH510300,32900,32900,6.076731983364692,5.667463880984146,186459.5616843784
2021-04-14,SH510300,32900,32900,6.076731983364692,5.699541703637785,187514.92204968314
2021-04-15,SH510300,32900,32900,6.076731983364692,5.667463880984146,186459.5616843784
2021-04-16,SH510300,32900,32900,6.076731983364692,5.685794065357654,187062.6247502668
2021-04-19,SH510300,32900,32900,6.076731983364692,5.830144267299033,191811.7463941382
2021-04-20,SH510300,32900,32900,6.076731983364692,5.82097917511228,191510.214861194
2021-04-21,SH510300,32900,32900,6.076731983364692,5.83472681339241,191962.5121606103
2021-04-22,SH510300,32900,32900,6.076731983364692,5.830144267299033,191811.7463941382
2021-04-23,SH510300,32900,32900,6.076731983364692,5.888571729989591,193734.00991665755
2021-04-26,SH510300,32900,32900,6.076731983364692,5.815250992495557,191321.75765310382
2021-04-27,SH510300,32900,32900,6.076731983364692,5.830144267299033,191811.7463941382
2021-04-28,SH510300,32900,32900,6.076731983364692,5.873678455186115,193244.0211756232
2021-04-29,SH510300,32900,32900,6.076731983364692,5.926377735259953,194977.82749005244
2021-04-30,SH510300,32900,32900,6.076731983364692,5.87482409170946,193281.71261724122
