trade_date,cash,positions_value,total_value,cash_ratio,daily_return
2021-03-08,200000.0,0.0,200000.0,1.0,0.0
2021-03-09,200000.0,0.0,200000.0,1.0,0.0
2021-03-10,200000.0,0.0,200000.0,1.0,0.0
2021-03-11,200000.0,0.0,200000.0,1.0,0.0
2021-03-12,200000.0,0.0,200000.0,1.0,0.0
2021-03-15,200000.0,0.0,200000.0,1.0,0.0
2021-03-16,200000.0,0.0,200000.0,1.0,0.0
2021-03-17,200000.0,0.0,200000.0,1.0,0.0
2021-03-18,200000.0,0.0,200000.0,1.0,0.0
2021-03-19,200000.0,0.0,200000.0,1.0,0.0
2021-03-22,200000.0,0.0,200000.0,1.0,0.0
2021-03-23,200000.0,0.0,200000.0,1.0,0.0
2021-03-24,200000.0,0.0,200000.0,1.0,0.0
2021-03-25,200000.0,0.0,200000.0,1.0,0.0
2021-03-26,200000.0,0.0,200000.0,1.0,0.0
2021-03-29,200000.0,0.0,200000.0,1.0,0.0
2021-03-30,200000.0,0.0,200000.0,1.0,0.0
2021-03-31,200000.0,0.0,200000.0,1.0,0.0
2021-04-01,200000.0,0.0,200000.0,1.0,0.0
2021-04-02,200000.0,0.0,200000.0,1.0,0.0
2021-04-06,200000.0,0.0,200000.0,1.0,0.0
2021-04-07,200000.0,0.0,200000.0,1.0,0.0
2021-04-08,200000.0,0.0,200000.0,1.0,0.0
2021-04-09,200000.0,0.0,200000.0,1.0,0.0
2021-04-12,200000.0,0.0,200000.0,1.0,0.0
2021-04-13,200000.0,0.0,200000.0,1.0,0.0
2021-04-14,200000.0,0.0,200000.0,1.0,0.0
2021-04-15,200000.0,0.0,200000.0,1.0,0.0
2021-04-16,200000.0,0.0,200000.0,1.0,0.0
2021-04-19,529.6525165260537,204638.06378219608,205167.71629872214,0.0025815587660725577,0.025838581493610624
2021-04-20,529.6525165260537,204316.36904644102,204846.02156296707,0.00258561290321787,-0.0015679598211576495
2021-04-21,529.6525165260537,204798.9111500736,205328.56366659966,0.002579536461308286,0.002355633270057167
