trade_date,symbol,shares,available_shares,average_cost,close,market_value
2021-03-08,SH510300,16400,16400,6.076731983364691,5.819833538588934,95445.27003285852
2021-03-08,SH511010,800,800,123.52127164872361,123.4650229596631,98772.01836773049
2021-03-09,SH510300,16400,16400,6.076731983364691,5.704124249731162,93547.63769559105
2021-03-09,SH511010,800,800,123.52127164872361,123.3273785369849,98661.90282958791
2021-03-10,SH510300,16400,16400,6.076731983364691,5.7281826167213925,93942.19491423084
2021-03-10,SH511010,800,800,123.52127164872361,123.40328538772656,98722.62831018124
2021-03-11,SH510300,16400,16400,6.076731983364691,5.875969728232803,96365.90354301798
2021-03-11,SH511010,800,800,123.52127164872361,123.31725762355268,98653.80609884215
2021-03-12,SH510300,16400,16400,6.076731983364691,5.89086300303628,96610.153249795
2021-03-12,SH511010,800,800,123.52127164872361,123.3273785369849,98661.90282958791
2021-03-15,SH510300,16400,16400,6.076731983364691,5.774008077655163,94693.73247354467
2021-03-15,SH511010,800,800,123.52127164872361,123.26361678236191,98610.89342588953
2021-03-16,SH510300,16400,16400,6.076731983364691,5.811814082925525,95313.75095997861
2021-03-16,SH511010,800,800,123.52127164872361,123.09763380207347,98478.10704165878
2021-03-17,SH510300,16400,16400,6.076731983364691,5.8381637229624435,95745.88505658407
2021-03-17,SH511010,800,800,123.52127164872361,123.1441900038617,98515.35200308936
2021-03-18,SH510300,16400,16400,6.076731983364691,5.883989183896214,96497.42261589791
2021-03-18,SH511010,800,800,123.52127164872361,123.08852497998448,98470.81998398759
2021-03-19,SH510300,16400,16400,6.076731983364691,5.724745707151359,93885.8295972823
2021-03-19,SH511010,800,800,123.52127164872361,123.06423478774715,98451.38783019772
2021-03-22,SH510300,16400,16400,6.076731983364691,5.790046988981984,94956.77061930453
2021-03-22,SH511010,800,800,123.52127164872361,123.08042824923871,98464.34259939096
2021-03-23,SH510300,16400,16400,6.076731983364691,5.7384933454314915,94111.29086507646
2021-03-23,SH511010,800,800,123.52127164872361,123.10977889819215,98487.82311855372
2021-03-24,SH510300,16400,16400,6.076731983364691,5.6514249696573255,92683.36950238014
2021-03-24,SH511010,800,800,123.52127164872361,123.2626046910187,98610.08375281496
2021-03-25,SH510300,16400,16400,6.076731983364691,5.646842423563949,92608.21574644875
2021-03-25,SH511010,800,800,123.52127164872361,123.35875336862479,98687.00269489983
2021-03-26,SH510300,16400,16400,6.076731983364691,5.765988621991754,94562.21340066477
2021-03-26,SH511010,800,800,123.52127164872361,123.19175829699314,98553.40663759451
2021-03-29,SH510300,16400,16400,6.076731983364691,5.777444987225197,94750.09779049322
2021-03-29,SH511010,800,800,123.52127164872361,123.18163738356091,98545.30990684874
2021-03-30,SH510300,16400,16400,6.076731983364691,5.8278529942523445,95576.78910573845
2021-03-30,SH511010,800,800,123.52127164872361,123.37595892145956,98700.76713716764
2021-03-31,SH510300,16400,16400,6.076731983364691,5.785464442888606,94881.61686337314
2021-03-31,SH511010,800,800,123.52127164872361,123.40834584444266,98726.67667555413
2021-04-01,SH510300,16800,16800,6.070327279740763,5.856493907335952,98389.097643244
2021-04-01,SH511010,700,700,123.52127164872361,123.37393473877312,86361.75431714118
2021-04-02,SH510300,16800,16800,6.070327279740763,5.912630096979821,99332.18562926099
2021-04-02,SH511010,700,700,123.52127164872361,123.55813536323953,86490.69475426766
2021-04-06,SH510300,16800,16800,6.070327279740763,5.880552274326181,98793.27820867984
2021-04-06,SH511010,700,700,123.52127164872361,123.47919223846822,86435.43456692775
2021-04-07,SH510300,16800,16800,6.070327279740763,5.840454996009131,98119.6439329534
2021-04-07,SH511010,700,700,123.52127164872361,123.46198668563343,86423.3906799434
2021-04-08,SH510300,16800,16800,6.070327279740763,5.853056997765918,98331.35756246743
2021-04-08,SH511010,700,700,123.52127164872361,123.30207625340434,86311.45337738303
2021-04-09,SH510300,16800,16800,6.070327279740763,5.7717168046084755,96964.84231742239
2021-04-09,SH511010,700,700,123.52127164872361,123.29802788803146,86308.61952162202
2021-04-12,SH510300,16800,16800,6.070327279740763,5.675483336647555,95348.12005567893
2021-04-12,SH511010,700,700,123.52127164872361,123.52473634891321,86467.31544423924
2021-04-13,SH510300,16800,16800,6.070327279740763,5.667463880984146,95213.39320053365
2021-04-13,SH511010,700,700,123.52127164872361,123.79192846352385,86654.34992446669
2021-04-14,SH510300,16800,16800,6.070327279740763,5.699541703637785,95752.30062111479
2021-04-14,SH511010,700,700,123.52127164872361,123.75144480979495,86626.01136685646
2021-04-15,SH510300,16800,16800,6.070327279740763,5.667463880984146,95213.39320053365
2021-04-15,SH511010,700,700,123.52127164872361,123.75751735785428,86630.262150498
2021-04-16,SH510300,16800,16800,6.070327279740763,5.685794065357654,95521.34029800858
2021-04-16,SH511010,700,700,123.52127164872361,123.81824283844762,86672.76998691334
2021-04-19,SH510300,16800,16800,6.070327279740763,5.830144267299033,97946.42369062376
2021-04-19,SH511010,700,700,123.52127164872361,123.73929971367629,86617.5097995734
2021-04-20,SH510300,16800,16800,6.070327279740763,5.82097917511228,97792.4501418863
2021-04-20,SH511010,700,700,123.52127164872361,123.80103728561284,86660.72609992899
2021-04-21,SH510300,16800,16800,6.070327279740763,5.83472681339241,98023.41046499248
2021-04-21,SH511010,700,700,123.52127164872361,124.03685456858359,86825.79819800852
2021-04-22,SH510300,16800,16800,6.070327279740763,5.830144267299033,97946.42369062376
2021-04-22,SH511010,700,700,123.52127164872361,123.93766961694782,86756.36873186348
2021-04-23,SH510300,16800,16800,6.070327279740763,5.888571729989591,98928.00506382513
2021-04-23,SH511010,700,700,123.52127164872361,124.230164015139,86961.1148105973
2021-04-26,SH510300,16800,16800,6.070327279740763,5.815250992495557,97696.21667392536
2021-04-26,SH511010,700,700,123.52127164872361,124.06316894350736,86844.21826045515
