order_id,trade_date,symbol,side,execution,requested_shares,filled_shares,unfilled_shares,price,gross_value,commission,tax,reason
1,2021-03-08,SH510300,buy,open,16400,16400,0,6.074909510511538,99628.51597238921,29.88855479171676,0.0,filled
2,2021-03-08,SH511010,buy,open,800,800,0,123.48422638080937,98787.3811046475,29.63621433139425,0.0,filled
3,2021-04-01,SH511010,sell,open,100,100,0,123.347653256818,12334.765325681801,5.0,0.0,filled
4,2021-04-01,SH510300,buy,open,400,400,0,5.7952344311596855,2318.0937724638743,5.0,0.0,filled
5,2021-06-01,SH510300,sell,open,400,400,0,6.10662473920554,2442.649895682216,5.0,0.0,filled
6,2021-06-01,SH511010,buy,open,100,100,0,124.46847104281407,12446.847104281407,5.0,0.0,filled
7,2021-07-01,SH510300,buy,open,200,200,0,6.043961858288177,1208.7923716576354,5.0,0.0,filled
8,2021-08-02,SH511010,sell,open,100,100,0,126.24584513430014,12624.584513430014,5.0,0.0,filled
9,2021-08-02,SH510300,buy,open,800,800,0,5.565992562838495,4452.794050270796,5.0,0.0,filled
10,2021-09-01,SH510300,sell,open,100,100,0,5.587910880803119,558.791088080312,5.0,0.0,filled
11,2021-10-08,SH510300,sell,open,100,100,0,5.700127123901214,570.0127123901214,5.0,0.0,filled
12,2021-12-01,SH510300,buy,open,100,100,0,5.629034076626822,562.9034076626822,5.0,0.0,filled
13,2022-01-04,SH510300,sell,open,100,100,0,5.753945118040098,575.3945118040098,5.0,0.0,filled
14,2022-02-07,SH510300,buy,open,600,600,0,5.384396314837472,3230.6377889024834,5.0,0.0,filled
15,2022-03-01,SH510300,buy,open,100,100,0,5.341321144318773,534.1321144318773,5.0,0.0,filled
16,2022-04-01,SH510300,buy,open,800,800,0,4.874479431399891,3899.5835451199127,5.0,0.0,filled
17,2022-05-05,SH511010,sell,open,100,100,0,128.85472361668283,12885.472361668284,5.0,0.0,filled
18,2022-05-05,SH510300,buy,open,500,500,0,4.633491315254732,2316.7456576273657,5.0,0.0,filled
19,2022-06-01,SH510300,sell,open,200,200,0,4.755630429780729,951.1260859561459,5.0,0.0,filled
20,2022-06-01,SH511010,buy,open,100,100,0,129.41500928755983,12941.500928755982,5.0,0.0,filled
21,2022-07-01,SH510300,sell,open,900,900,0,5.256896439865222,4731.206795878699,5.0,0.0,filled
22,2022-08-01,SH510300,buy,open,700,700,0,4.896599113558143,3427.6193794907,5.0,0.0,filled
23,2022-09-01,SH510300,buy,open,300,300,0,4.808120384925138,1442.4361154775413,5.0,0.0,filled
24,2022-10-10,SH511010,sell,open,100,100,0,130.26183876557556,13026.183876557556,5.0,0.0,filled
25,2022-10-10,SH510300,buy,open,600,600,0,4.501937416103028,2701.162449661817,5.0,0.0,filled
26,2022-11-01,SH510300,buy,open,800,800,0,4.173634765122667,3338.907812098134,5.0,0.0,filled
27,2022-12-01,SH510300,sell,open,1100,1100,0,4.628860139527342,5091.746153480076,5.0,0.0,filled
28,2023-01-03,SH510300,buy,open,200,200,0,4.583430981949216,916.6861963898432,5.0,0.0,filled
29,2023-02-01,SH510300,sell,open,700,700,0,4.917668915632515,3442.36824094276,5.0,0.0,filled
30,2023-02-01,SH511010,buy,open,100,100,0,130.4640601824537,13046.406018245369,5.0,0.0,filled
31,2023-03-01,SH510300,buy,open,200,200,0,4.807917782046012,961.5835564092024,5.0,0.0,filled
32,2023-04-03,SH510300,buy,open,100,100,0,4.787820756647737,478.78207566477374,5.0,0.0,filled
33,2023-05-04,SH511010,sell,open,100,100,0,131.69323196160948,13169.323196160949,5.0,0.0,filled
34,2023-05-04,SH510300,buy,open,100,100,0,4.744080171957375,474.4080171957375,5.0,0.0,filled
35,2023-06-01,SH510300,buy,open,600,600,0,4.491094087532038,2694.656452519223,5.0,0.0,filled
