trade_date,symbol,shares,available_shares,average_cost,close,market_value
2018-11-15,SH510310,93200,0,1.3911122084999996,1.407,131132.4
2018-11-16,SH510310,142900,93200,1.3987698353999998,1.414,202060.59999999998
2018-11-19,SH510310,142900,142900,1.3987698353999998,1.426,203775.4
2018-11-20,SH510310,142900,142900,1.3987698353999998,1.4,200060.0
2018-11-21,SH510310,142900,142900,1.3987698353999998,1.4,200060.0
2018-11-22,SH510310,142900,142900,1.3987698353999998,1.396,199488.4
2018-11-23,SH510310,142900,142900,1.3987698353999998,1.376,196630.4
2018-11-26,SH510310,142900,142900,1.3987698353999998,1.366,195201.40000000002
2018-11-27,SH510310,142900,142900,1.3987698353999998,1.361,194486.9
2018-11-28,SH510310,142900,142900,1.3987698353999998,1.379,197059.1
2018-11-29,SH510310,142900,142900,1.3987698353999998,1.363,194772.7
2018-11-30,SH510310,142900,142900,1.3987698353999998,1.375,196487.5
2018-12-03,SH510310,142900,142900,1.3987698353999998,1.414,202060.59999999998
2018-12-04,SH510310,142900,142900,1.3987698353999998,1.416,202346.4
2018-12-05,SH510310,142900,142900,1.3987698353999998,1.41,201489.0
2018-12-06,SH510310,142900,142900,1.3987698353999998,1.381,197344.9
2018-12-07,SH510310,142900,142900,1.3987698353999998,1.38,197201.99999999997
2018-12-10,SH510310,142900,142900,1.3987698353999998,1.367,195344.3
2018-12-11,SH510310,142900,142900,1.3987698353999998,1.373,196201.7
2018-12-12,SH510310,142900,142900,1.3987698353999998,1.376,196630.4
2018-12-13,SH510310,142900,142900,1.3987698353999998,1.399,199917.1
2018-12-14,SH510310,142900,142900,1.3987698353999998,1.374,196344.6
2018-12-17,SH510310,142900,142900,1.3987698353999998,1.373,196201.7
2018-12-18,SH510310,142900,142900,1.3987698353999998,1.357,193915.3
2018-12-19,SH510310,142900,142900,1.3987698353999998,1.342,191771.80000000002
2018-12-20,SH510310,142900,142900,1.3987698353999998,1.336,190914.40000000002
2018-12-21,SH510310,142900,142900,1.3987698353999998,1.316,188056.4
2018-12-24,SH510310,142900,142900,1.3987698353999998,1.32,188628.0
2018-12-25,SH510310,142900,142900,1.3987698353999998,1.311,187341.9
2018-12-26,SH510310,142900,142900,1.3987698353999998,1.306,186627.4
2018-12-27,SH510310,142900,142900,1.3987698353999998,1.304,186341.6
2018-12-28,SH510310,142900,142900,1.3987698353999998,1.302,186055.80000000002
2019-01-02,SH510310,142900,142900,1.3987698353999998,1.287,183912.3
2019-01-03,SH510310,142900,142900,1.3987698353999998,1.286,183769.4
2019-01-04,SH510310,142900,142900,1.3987698353999998,1.319,188485.1
2019-01-07,SH510310,142900,142900,1.3987698353999998,1.322,188913.80000000002
2019-01-08,SH510310,142900,142900,1.3987698353999998,1.323,189056.69999999998
2019-01-09,SH510310,142900,142900,1.3987698353999998,1.334,190628.6
2019-01-10,SH510310,142900,142900,1.3987698353999998,1.333,190485.69999999998
2019-01-11,SH510310,142900,142900,1.3987698353999998,1.344,192057.6
2019-01-14,SH510310,142900,142900,1.3987698353999998,1.332,190342.80000000002
2019-01-15,SH510310,142900,142900,1.3987698353999998,1.356,193772.40000000002
2019-01-16,SH510310,142900,142900,1.3987698353999998,1.356,193772.40000000002
2019-01-17,SH510310,142900,142900,1.3987698353999998,1.349,192772.1
2019-01-18,SH510310,142900,142900,1.3987698353999998,1.373,196201.7
2019-01-21,SH510310,142900,142900,1.3987698353999998,1.38,197201.99999999997
2019-01-22,SH510310,142900,142900,1.3987698353999998,1.363,194772.7
2019-01-23,SH510310,142900,142900,1.3987698353999998,1.36,194344.0
2019-01-24,SH510310,142900,142900,1.3987698353999998,1.369,195630.1
2019-01-25,SH510310,142900,142900,1.3987698353999998,1.379,197059.1
2019-01-28,SH510310,142900,142900,1.3987698353999998,1.38,197201.99999999997
2019-01-29,SH510310,142900,142900,1.3987698353999998,1.384,197773.59999999998
2019-01-30,SH510310,142900,142900,1.3987698353999998,1.378,196916.19999999998
2019-01-31,SH510310,142900,142900,1.3987698353999998,1.389,198488.1
2019-02-01,SH510310,142900,142900,1.3987698353999998,1.412,201774.8
2019-02-11,SH510310,142900,142900,1.3987698353999998,1.435,205061.5
2019-02-12,SH510310,142900,142900,1.3987698353999998,1.442,206061.8
2019-02-13,SH510310,142900,142900,1.3987698353999998,1.472,210348.8
2019-02-14,SH510310,142900,142900,1.3987698353999998,1.474,210634.6
2019-02-15,SH510310,142900,142900,1.3987698353999998,1.45,207205.0
2019-02-18,SH510310,142900,142900,1.3987698353999998,1.489,212778.1
2019-02-19,SH510310,142900,142900,1.3987698353999998,1.488,212635.2
2019-02-20,SH510310,142900,142900,1.3987698353999998,1.492,213206.8
2019-02-21,SH510310,142900,142900,1.3987698353999998,1.49,212921.0
2019-02-22,SH510310,142900,142900,1.3987698353999998,1.527,218208.3
2019-02-25,SH510310,142900,142900,1.3987698353999998,1.631,233069.9
2019-02-26,SH510310,142900,142900,1.3987698353999998,1.6,228640.0
2019-02-27,SH510310,142900,142900,1.3987698353999998,1.594,227782.6
2019-02-28,SH510310,142900,142900,1.3987698353999998,1.589,227068.1
2019-03-01,SH510310,142900,142900,1.3987698353999998,1.62,231498.00000000003
2019-03-04,SH510310,142900,142900,1.3987698353999998,1.643,234784.7
2019-03-05,SH510310,142900,142900,1.3987698353999998,1.65,235785.0
2019-03-06,SH510310,142900,142900,1.3987698353999998,1.665,237928.5
2019-03-07,SH510310,142900,142900,1.3987698353999998,1.642,234641.8
2019-03-08,SH510310,142900,142900,1.3987698353999998,1.583,226210.69999999998
2019-03-11,SH510310,142900,142900,1.3987698353999998,1.608,229783.2
2019-03-12,SH510310,142900,142900,1.3987698353999998,1.622,231783.80000000002
2019-03-13,SH510310,142900,142900,1.3987698353999998,1.61,230069.0
2019-03-14,SH510310,142900,142900,1.3987698353999998,1.598,228354.2
2019-03-15,SH510310,142900,142900,1.3987698353999998,1.619,231355.1
2019-03-18,SH510310,142900,142900,1.3987698353999998,1.668,238357.19999999998
2019-03-19,SH510310,142900,142900,1.3987698353999998,1.659,237071.1
2019-03-20,SH510310,142900,142900,1.3987698353999998,1.659,237071.1
2019-03-21,SH510310,142900,142900,1.3987698353999998,1.656,236642.4
2019-03-22,SH510310,142900,142900,1.3987698353999998,1.658,236928.19999999998
2019-03-25,SH510310,142900,142900,1.3987698353999998,1.627,232498.3
2019-03-26,SH510310,142900,142900,1.3987698353999998,1.605,229354.5
2019-03-27,SH510310,142900,142900,1.3987698353999998,1.617,231069.3
2019-03-28,SH510310,142900,142900,1.3987698353999998,1.612,230354.80000000002
2019-03-29,SH510310,142900,142900,1.3987698353999998,1.675,239357.5
2019-04-01,SH510310,142900,142900,1.3987698353999998,1.721,245930.90000000002
2019-04-02,SH510310,142900,142900,1.3987698353999998,1.716,245216.4
2019-04-03,SH510310,142900,142900,1.3987698353999998,1.738,248360.2
2019-04-04,SH510310,142900,142900,1.3987698353999998,1.759,251361.09999999998
2019-04-08,SH510310,142900,142900,1.3987698353999998,1.75,250075.0
2019-04-09,SH510310,142900,142900,1.3987698353999998,1.758,251218.2
2019-04-10,SH510310,142900,142900,1.3987698353999998,1.764,252075.6
2019-04-11,SH510310,142900,142900,1.3987698353999998,1.733,247645.7
2019-04-12,SH510310,142900,142900,1.3987698353999998,1.727,246788.30000000002
2019-04-15,SH510310,142900,142900,1.3987698353999998,1.719,245645.1
2019-04-16,SH510310,142900,142900,1.3987698353999998,1.768,252647.2
2019-04-17,SH510310,142900,142900,1.3987698353999998,1.765,252218.5
2019-04-18,SH510310,142900,142900,1.3987698353999998,1.762,251789.8
2019-04-19,SH510310,142900,142900,1.3987698353999998,1.785,255076.5
2019-04-22,SH510310,142900,142900,1.3987698353999998,1.75,250075.0
2019-04-23,SH510310,142900,142900,1.3987698353999998,1.742,248931.8
2019-04-24,SH510310,142900,142900,1.3987698353999998,1.742,248931.8
2019-04-25,SH510310,142900,142900,1.3987698353999998,1.709,244216.1
2019-04-26,SH510310,142900,142900,1.3987698353999998,1.686,240929.4
2019-04-29,SH510310,142900,142900,1.3987698353999998,1.69,241501.0
2019-04-30,SH510310,142900,142900,1.3987698353999998,1.693,241929.7
2019-05-06,SH510310,142900,142900,1.3987698353999998,1.602,228925.80000000002
2019-05-07,SH510310,142900,142900,1.3987698353999998,1.613,230497.7
2019-05-08,SH510310,142900,142900,1.3987698353999998,1.591,227353.9
2019-05-09,SH510310,142900,142900,1.3987698353999998,1.565,223638.5
2019-05-10,SH510310,142900,142900,1.3987698353999998,1.614,230640.6
2019-05-13,SH510310,142900,142900,1.3987698353999998,1.592,227496.80000000002
2019-05-14,SH510310,142900,142900,1.3987698353999998,1.583,226210.69999999998
2019-05-15,SH510310,142900,142900,1.3987698353999998,1.613,230497.7
2019-05-16,SH510310,142900,142900,1.3987698353999998,1.624,232069.6
2019-05-17,SH510310,142900,142900,1.3987698353999998,1.585,226496.5
2019-05-20,SH510310,142900,142900,1.3987698353999998,1.569,224210.1
2019-05-21,SH510310,142900,142900,1.3987698353999998,1.588,226925.2
2019-05-22,SH510310,142900,142900,1.3987698353999998,1.587,226782.3
2019-05-23,SH510310,142900,142900,1.3987698353999998,1.56,222924.0
2019-05-24,SH510310,142900,142900,1.3987698353999998,1.562,223209.80000000002
2019-05-27,SH510310,142900,142900,1.3987698353999998,1.581,225924.9
2019-05-28,SH510310,142900,142900,1.3987698353999998,1.587,226782.3
2019-05-29,SH510310,142900,142900,1.3987698353999998,1.591,227353.9
2019-05-30,SH510310,142900,142900,1.3987698353999998,1.587,226782.3
2019-05-31,SH510310,142900,142900,1.3987698353999998,1.581,225924.9
2019-06-03,SH510310,142900,142900,1.3987698353999998,1.584,226353.6
2019-06-04,SH510310,142900,142900,1.3987698353999998,1.57,224353.0
2019-06-05,SH510310,142900,142900,1.3987698353999998,1.566,223781.4
2019-06-06,SH510310,142900,142900,1.3987698353999998,1.553,221923.69999999998
2019-06-10,SH510310,142900,142900,1.3987698353999998,1.574,224924.6
2019-06-11,SH510310,142900,142900,1.3987698353999998,1.62,231498.00000000003
2019-06-12,SH510310,142900,142900,1.3987698353999998,1.61,230069.0
2019-06-13,SH510310,142900,142900,1.3987698353999998,1.608,229783.2
2019-06-14,SH510310,142900,142900,1.3987698353999998,1.598,228354.2
2019-06-17,SH510310,142900,142900,1.3987698353999998,1.598,228354.2
2019-06-18,SH510310,142900,142900,1.3987698353999998,1.601,228782.9
2019-06-19,SH510310,142900,142900,1.3987698353999998,1.628,232641.19999999998
2019-06-20,SH510310,142900,142900,1.3987698353999998,1.673,239071.7
2019-06-21,SH510310,142900,142900,1.3987698353999998,1.677,239643.30000000002
2019-06-24,SH510310,142900,142900,1.3987698353999998,1.679,239929.1
2019-06-25,SH510310,142900,142900,1.3987698353999998,1.662,237499.8
2019-06-26,SH510310,142900,142900,1.3987698353999998,1.66,237214.0
2019-06-27,SH510310,142900,142900,1.3987698353999998,1.68,240072.0
2019-06-28,SH510310,142900,142900,1.3987698353999998,1.68,240072.0
2019-07-01,SH510310,142900,142900,1.3987698353999998,1.723,246216.7
2019-07-02,SH510310,142900,142900,1.3987698353999998,1.722,246073.8
2019-07-03,SH510310,142900,142900,1.3987698353999998,1.708,244073.19999999998
2019-07-04,SH510310,142900,142900,1.3987698353999998,1.697,242501.30000000002
2019-07-05,SH510310,142900,142900,1.3987698353999998,1.706,243787.4
2019-07-08,SH510310,142900,142900,1.3987698353999998,1.668,238357.19999999998
2019-07-09,SH510310,142900,142900,1.3987698353999998,1.665,237928.5
2019-07-10,SH510310,142900,142900,1.3987698353999998,1.664,237785.59999999998
2019-07-11,SH510310,142900,142900,1.3987698353999998,1.664,237785.59999999998
2019-07-12,SH510310,142900,142900,1.3987698353999998,1.676,239500.4
2019-07-15,SH510310,142900,142900,1.3987698353999998,1.684,240643.6
2019-07-16,SH510310,142900,142900,1.3987698353999998,1.677,239643.30000000002
2019-07-17,SH510310,142900,142900,1.3987698353999998,1.675,239357.5
2019-07-18,SH510310,142900,142900,1.3987698353999998,1.663,237642.7
2019-07-19,SH510310,142900,142900,1.3987698353999998,1.679,239929.1
2019-07-22,SH510310,142900,142900,1.3987698353999998,1.668,238357.19999999998
2019-07-23,SH510310,142900,142900,1.3987698353999998,1.672,238928.8
2019-07-24,SH510310,142900,142900,1.3987698353999998,1.685,240786.5
2019-07-25,SH510310,142900,142900,1.3987698353999998,1.699,242787.1
2019-07-26,SH510310,142900,142900,1.3987698353999998,1.704,243501.6
2019-07-29,SH510310,142900,142900,1.3987698353999998,1.701,243072.90000000002
2019-07-30,SH510310,142900,142900,1.3987698353999998,1.708,244073.19999999998
2019-07-31,SH510310,142900,142900,1.3987698353999998,1.694,242072.6
2019-08-01,SH510310,142900,142900,1.3987698353999998,1.681,240214.9
2019-08-02,SH510310,142900,142900,1.3987698353999998,1.655,236499.5
2019-08-05,SH510310,142900,142900,1.3987698353999998,1.626,232355.4
2019-08-06,SH510310,142900,142900,1.3987698353999998,1.605,229354.5
2019-08-07,SH510310,142900,142900,1.3987698353999998,1.599,228497.1
2019-08-08,SH510310,142900,142900,1.3987698353999998,1.62,231498.00000000003
2019-08-09,SH510310,142900,142900,1.3987698353999998,1.608,229783.2
2019-08-12,SH510310,142900,142900,1.3987698353999998,1.633,233355.7
2019-08-13,SH510310,142900,142900,1.3987698353999998,1.622,231783.80000000002
2019-08-14,SH510310,142900,142900,1.3987698353999998,1.63,232926.99999999997
2019-08-15,SH510310,142900,142900,1.3987698353999998,1.635,233641.5
2019-08-16,SH510310,142900,142900,1.3987698353999998,1.641,234498.9
2019-08-19,SH510310,142900,142900,1.3987698353999998,1.679,239929.1
2019-08-20,SH510310,142900,142900,1.3987698353999998,1.672,238928.8
2019-08-21,SH510310,142900,142900,1.3987698353999998,1.673,239071.7
2019-08-22,SH510310,142900,142900,1.3987698353999998,1.675,239357.5
2019-08-23,SH510310,142900,142900,1.3987698353999998,1.688,241215.19999999998
2019-08-26,SH510310,142900,142900,1.3987698353999998,1.667,238214.30000000002
2019-08-27,SH510310,142900,142900,1.3987698353999998,1.688,241215.19999999998
2019-08-28,SH510310,142900,142900,1.3987698353999998,1.681,240214.9
2019-08-29,SH510310,142900,142900,1.3987698353999998,1.678,239786.19999999998
2019-08-30,SH510310,142900,142900,1.3987698353999998,1.682,240357.8
2019-09-02,SH510310,142900,142900,1.3987698353999998,1.7,242930.0
2019-09-03,SH510310,142900,142900,1.3987698353999998,1.702,243215.8
2019-09-04,SH510310,142900,142900,1.3987698353999998,1.721,245930.90000000002
2019-09-05,SH510310,142900,142900,1.3987698353999998,1.737,248217.30000000002
2019-09-06,SH510310,142900,142900,1.3987698353999998,1.747,249646.30000000002
2019-09-09,SH510310,142900,142900,1.3987698353999998,1.757,251075.3
2019-09-10,SH510310,142900,142900,1.3987698353999998,1.751,250217.9
2019-09-11,SH510310,142900,142900,1.3987698353999998,1.739,248503.1
2019-09-12,SH510310,142900,142900,1.3987698353999998,1.755,250789.49999999997
2019-09-16,SH510310,142900,142900,1.3987698353999998,1.753,250503.69999999998
2019-09-17,SH510310,142900,142900,1.3987698353999998,1.722,246073.8
2019-09-18,SH510310,142900,142900,1.3987698353999998,1.727,246788.30000000002
2019-09-19,SH510310,142900,142900,1.3987698353999998,1.736,248074.4
2019-09-20,SH510310,142900,142900,1.3987698353999998,1.737,248217.30000000002
2019-09-23,SH510310,142900,142900,1.3987698353999998,1.723,246216.7
2019-09-24,SH510310,142900,142900,1.3987698353999998,1.724,246359.6
2019-09-25,SH510310,142900,142900,1.3987698353999998,1.711,244501.90000000002
2019-09-26,SH510310,142900,142900,1.3987698353999998,1.701,243072.90000000002
2019-09-27,SH510310,142900,142900,1.3987698353999998,1.705,243644.5
2019-09-30,SH510310,142900,142900,1.3987698353999998,1.683,240500.7
2019-10-08,SH510310,142900,142900,1.3987698353999998,1.696,242358.4
2019-10-09,SH510310,142900,142900,1.3987698353999998,1.701,243072.90000000002
2019-10-10,SH510310,142900,142900,1.3987698353999998,1.715,245073.5
2019-10-11,SH510310,142900,142900,1.3987698353999998,1.733,247645.7
2019-10-14,SH510310,142900,142900,1.3987698353999998,1.747,249646.30000000002
2019-10-15,SH510310,142900,142900,1.3987698353999998,1.742,248931.8
2019-10-16,SH510310,142900,142900,1.3987698353999998,1.736,248074.4
2019-10-17,SH510310,142900,142900,1.3987698353999998,1.736,248074.4
2019-10-18,SH510310,142900,142900,1.3987698353999998,1.712,244644.8
2019-10-21,SH510310,142900,142900,1.3987698353999998,1.715,245073.5
2019-10-22,SH510310,142900,142900,1.3987698353999998,1.725,246502.5
2019-10-23,SH510310,142900,142900,1.3987698353999998,1.714,244930.6
2019-10-24,SH510310,142900,142900,1.3987698353999998,1.713,244787.7
2019-10-25,SH510310,142900,142900,1.3987698353999998,1.724,246359.6
2019-10-28,SH510310,142900,142900,1.3987698353999998,1.735,247931.5
2019-10-29,SH510310,142900,142900,1.3987698353999998,1.729,247074.1
2019-10-30,SH510310,142900,142900,1.3987698353999998,1.721,245930.90000000002
2019-10-31,SH510310,142900,142900,1.3987698353999998,1.72,245788.0
2019-11-01,SH510310,142900,142900,1.3987698353999998,1.751,250217.9
2019-11-04,SH510310,142900,142900,1.3987698353999998,1.759,251361.09999999998
2019-11-05,SH510310,142900,142900,1.3987698353999998,1.77,252933.0
2019-11-06,SH510310,142900,142900,1.3987698353999998,1.764,252075.6
2019-11-07,SH510310,142900,142900,1.3987698353999998,1.765,252218.5
2019-11-08,SH510310,142900,142900,1.3987698353999998,1.76,251504.0
2019-11-11,SH510310,142900,142900,1.3987698353999998,1.729,247074.1
2019-11-12,SH510310,142900,142900,1.3987698353999998,1.727,246788.30000000002
2019-11-13,SH510310,142900,142900,1.3987698353999998,1.726,246645.4
2019-11-14,SH510310,142900,142900,1.3987698353999998,1.728,246931.2
2019-11-15,SH510310,142900,142900,1.3987698353999998,1.718,245502.19999999998
2019-11-18,SH510310,142900,142900,1.3987698353999998,1.729,247074.1
2019-11-19,SH510310,142900,142900,1.3987698353999998,1.747,249646.30000000002
