trade_date,symbol,shares,available_shares,average_cost,close,market_value
2019-01-29,SH510310,144800,0,1.3804139999999998,1.384,200403.19999999998
2019-01-30,SH510310,144800,144800,1.3804139999999998,1.378,199534.4
2019-01-31,SH510310,144800,144800,1.3804139999999998,1.389,201127.2
2019-02-01,SH510310,144800,144800,1.3804139999999998,1.412,204457.59999999998
2019-02-11,SH510310,144800,144800,1.3804139999999998,1.435,207788.0
2019-02-12,SH510310,144800,144800,1.3804139999999998,1.442,208801.6
2019-02-13,SH510310,144800,144800,1.3804139999999998,1.472,213145.6
2019-02-14,SH510310,144800,144800,1.3804139999999998,1.474,213435.19999999998
2019-02-15,SH510310,144800,144800,1.3804139999999998,1.45,209960.0
2019-02-18,SH510310,144800,144800,1.3804139999999998,1.489,215607.2
2019-02-19,SH510310,144800,144800,1.3804139999999998,1.488,215462.4
2019-02-20,SH510310,144800,144800,1.3804139999999998,1.492,216041.6
2019-02-21,SH510310,144800,144800,1.3804139999999998,1.49,215752.0
2019-02-22,SH510310,144800,144800,1.3804139999999998,1.527,221109.59999999998
2019-02-25,SH510310,144800,144800,1.3804139999999998,1.631,236168.8
2019-02-26,SH510310,144800,144800,1.3804139999999998,1.6,231680.0
2019-02-27,SH510310,144800,144800,1.3804139999999998,1.594,230811.2
2019-02-28,SH510310,144800,144800,1.3804139999999998,1.589,230087.19999999998
2019-03-01,SH510310,144800,144800,1.3804139999999998,1.62,234576.00000000003
2019-03-04,SH510310,144800,144800,1.3804139999999998,1.643,237906.4
2019-03-05,SH510310,144800,144800,1.3804139999999998,1.65,238920.0
2019-03-06,SH510310,144800,144800,1.3804139999999998,1.665,241092.0
2019-03-07,SH510310,144800,144800,1.3804139999999998,1.642,237761.59999999998
2019-03-08,SH510310,144800,144800,1.3804139999999998,1.583,229218.4
2019-03-11,SH510310,144800,144800,1.3804139999999998,1.608,232838.40000000002
2019-03-12,SH510310,144800,144800,1.3804139999999998,1.622,234865.6
2019-03-13,SH510310,144800,144800,1.3804139999999998,1.61,233128.0
2019-03-14,SH510310,144800,144800,1.3804139999999998,1.598,231390.40000000002
2019-03-15,SH510310,144800,144800,1.3804139999999998,1.619,234431.2
2019-03-18,SH510310,144800,144800,1.3804139999999998,1.668,241526.4
2019-03-19,SH510310,144800,144800,1.3804139999999998,1.659,240223.2
2019-03-20,SH510310,144800,144800,1.3804139999999998,1.659,240223.2
2019-03-21,SH510310,144800,144800,1.3804139999999998,1.656,239788.8
2019-03-22,SH510310,144800,144800,1.3804139999999998,1.658,240078.4
2019-03-25,SH510310,144800,144800,1.3804139999999998,1.627,235589.6
2019-03-26,SH510310,144800,144800,1.3804139999999998,1.605,232404.0
2019-03-27,SH510310,144800,144800,1.3804139999999998,1.617,234141.6
2019-03-28,SH510310,144800,144800,1.3804139999999998,1.612,233417.6
2019-03-29,SH510310,144800,144800,1.3804139999999998,1.675,242540.0
2019-04-01,SH510310,144800,144800,1.3804139999999998,1.721,249200.80000000002
2019-04-02,SH510310,144800,144800,1.3804139999999998,1.716,248476.8
2019-04-03,SH510310,144800,144800,1.3804139999999998,1.738,251662.4
2019-04-04,SH510310,144800,144800,1.3804139999999998,1.759,254703.19999999998
2019-04-08,SH510310,144800,144800,1.3804139999999998,1.75,253400.0
2019-04-09,SH510310,144800,144800,1.3804139999999998,1.758,254558.4
2019-04-10,SH510310,144800,144800,1.3804139999999998,1.764,255427.2
2019-04-11,SH510310,144800,144800,1.3804139999999998,1.733,250938.40000000002
2019-04-12,SH510310,144800,144800,1.3804139999999998,1.727,250069.6
2019-04-15,SH510310,144800,144800,1.3804139999999998,1.719,248911.2
2019-04-16,SH510310,144800,144800,1.3804139999999998,1.768,256006.4
2019-04-17,SH510310,144800,144800,1.3804139999999998,1.765,255572.0
2019-04-18,SH510310,144800,144800,1.3804139999999998,1.762,255137.6
2019-04-19,SH510310,144800,144800,1.3804139999999998,1.785,258468.0
2019-04-22,SH510310,144800,144800,1.3804139999999998,1.75,253400.0
2019-04-23,SH510310,144800,144800,1.3804139999999998,1.742,252241.6
2019-04-24,SH510310,144800,144800,1.3804139999999998,1.742,252241.6
2019-04-25,SH510310,144800,144800,1.3804139999999998,1.709,247463.2
2019-04-26,SH510310,144800,144800,1.3804139999999998,1.686,244132.8
2019-04-29,SH510310,144800,144800,1.3804139999999998,1.69,244712.0
2019-04-30,SH510310,144800,144800,1.3804139999999998,1.693,245146.40000000002
2019-05-06,SH510310,144800,144800,1.3804139999999998,1.602,231969.6
2019-05-07,SH510310,144800,144800,1.3804139999999998,1.613,233562.4
2019-05-08,SH510310,144800,144800,1.3804139999999998,1.591,230376.8
2019-05-09,SH510310,144800,144800,1.3804139999999998,1.565,226612.0
2019-05-10,SH510310,144800,144800,1.3804139999999998,1.614,233707.2
2019-05-13,SH510310,144800,144800,1.3804139999999998,1.592,230521.6
2019-07-01,SH510310,132000,0,1.7225166,1.723,227436.0
2019-07-02,SH510310,132000,132000,1.7225166,1.722,227304.0
2019-07-03,SH510310,132000,132000,1.7225166,1.708,225456.0
2019-07-04,SH510310,132000,132000,1.7225166,1.697,224004.0
2019-07-05,SH510310,132000,132000,1.7225166,1.706,225192.0
2019-07-08,SH510310,132000,132000,1.7225166,1.668,220176.0
2019-07-09,SH510310,132000,132000,1.7225166,1.665,219780.0
2019-07-10,SH510310,132000,132000,1.7225166,1.664,219648.0
2019-07-11,SH510310,132000,132000,1.7225166,1.664,219648.0
2019-07-12,SH510310,132000,132000,1.7225166,1.676,221232.0
2019-07-15,SH510310,132000,132000,1.7225166,1.684,222288.0
2019-07-16,SH510310,132000,132000,1.7225166,1.677,221364.0
2019-07-17,SH510310,132000,132000,1.7225166,1.675,221100.0
2019-07-18,SH510310,132000,132000,1.7225166,1.663,219516.0
2019-07-19,SH510310,132000,132000,1.7225166,1.679,221628.0
