trade_date,symbol,shares,available_shares,average_cost,close,market_value
2018-11-15,SH510310,71900,0,1.3911122084999996,1.407,101163.3
2018-11-16,SH510310,71900,71900,1.3911122084999996,1.414,101666.59999999999
2018-11-19,SH510310,71900,71900,1.3911122084999996,1.426,102529.4
2018-11-20,SH510310,71900,71900,1.3911122084999996,1.4,100660.0
2018-11-21,SH510310,71900,71900,1.3911122084999996,1.4,100660.0
2018-11-22,SH510310,71900,71900,1.3911122084999996,1.396,100372.4
2018-11-23,SH510310,71900,71900,1.3911122084999996,1.376,98934.4
2018-11-26,SH510310,71900,71900,1.3911122084999996,1.366,98215.40000000001
2018-11-27,SH510310,71900,71900,1.3911122084999996,1.361,97855.9
2018-11-28,SH510310,71900,71900,1.3911122084999996,1.379,99150.1
2018-11-29,SH510310,71900,71900,1.3911122084999996,1.363,97999.7
2018-11-30,SH510310,71900,71900,1.3911122084999996,1.375,98862.5
2018-12-03,SH510310,71900,71900,1.3911122084999996,1.414,101666.59999999999
2018-12-04,SH510310,71900,71900,1.3911122084999996,1.416,101810.4
2018-12-05,SH510310,71900,71900,1.3911122084999996,1.41,101379.0
2018-12-06,SH510310,71900,71900,1.3911122084999996,1.381,99293.9
2018-12-07,SH510310,71900,71900,1.3911122084999996,1.38,99221.99999999999
2018-12-10,SH510310,71900,71900,1.3911122084999996,1.367,98287.3
2018-12-11,SH510310,71900,71900,1.3911122084999996,1.373,98718.7
2018-12-12,SH510310,71900,71900,1.3911122084999996,1.376,98934.4
2018-12-13,SH510310,71900,71900,1.3911122084999996,1.399,100588.1
2018-12-14,SH510310,71900,71900,1.3911122084999996,1.374,98790.6
2018-12-17,SH510310,71900,71900,1.3911122084999996,1.373,98718.7
2018-12-18,SH510310,71900,71900,1.3911122084999996,1.357,97568.3
2018-12-19,SH510310,71900,71900,1.3911122084999996,1.342,96489.8
2018-12-20,SH510310,71900,71900,1.3911122084999996,1.336,96058.40000000001
2018-12-21,SH510310,71900,71900,1.3911122084999996,1.316,94620.40000000001
2018-12-24,SH510310,71900,71900,1.3911122084999996,1.32,94908.0
2018-12-25,SH510310,71900,71900,1.3911122084999996,1.311,94260.9
2018-12-26,SH510310,71900,71900,1.3911122084999996,1.306,93901.40000000001
2018-12-27,SH510310,71900,71900,1.3911122084999996,1.304,93757.6
2018-12-28,SH510310,71900,71900,1.3911122084999996,1.302,93613.8
2019-01-02,SH510310,71900,71900,1.3911122084999996,1.287,92535.29999999999
2019-01-03,SH510310,71900,71900,1.3911122084999996,1.286,92463.40000000001
2019-01-04,SH510310,71900,71900,1.3911122084999996,1.319,94836.09999999999
2019-01-07,SH510310,71900,71900,1.3911122084999996,1.322,95051.8
2019-01-08,SH510310,71900,71900,1.3911122084999996,1.323,95123.7
2019-01-09,SH510310,71900,71900,1.3911122084999996,1.334,95914.6
2019-01-10,SH510310,71900,71900,1.3911122084999996,1.333,95842.7
2019-01-11,SH510310,71900,71900,1.3911122084999996,1.344,96633.6
2019-01-14,SH510310,71900,71900,1.3911122084999996,1.332,95770.8
2019-01-15,SH510310,71900,71900,1.3911122084999996,1.356,97496.40000000001
2019-01-16,SH510310,71900,71900,1.3911122084999996,1.356,97496.40000000001
2019-01-17,SH510310,71900,71900,1.3911122084999996,1.349,96993.09999999999
2019-01-18,SH510310,71900,71900,1.3911122084999996,1.373,98718.7
2019-01-21,SH510310,71900,71900,1.3911122084999996,1.38,99221.99999999999
2019-01-22,SH510310,71900,71900,1.3911122084999996,1.363,97999.7
2019-01-23,SH510310,71900,71900,1.3911122084999996,1.36,97784.0
2019-01-24,SH510310,71900,71900,1.3911122084999996,1.369,98431.1
2019-01-25,SH510310,71900,71900,1.3911122084999996,1.379,99150.1
2019-01-28,SH510310,71900,71900,1.3911122084999996,1.38,99221.99999999999
2019-01-29,SH510310,71900,71900,1.3911122084999996,1.384,99509.59999999999
2019-01-30,SH510310,71900,71900,1.3911122084999996,1.378,99078.2
2019-01-31,SH510310,71900,71900,1.3911122084999996,1.389,99869.1
2019-02-01,SH510310,71900,71900,1.3911122084999996,1.412,101522.79999999999
2019-02-11,SH510310,71900,71900,1.3911122084999996,1.435,103176.5
2019-02-12,SH510310,71900,71900,1.3911122084999996,1.442,103679.8
2019-02-13,SH510310,71900,71900,1.3911122084999996,1.472,105836.8
2019-02-14,SH510310,71900,71900,1.3911122084999996,1.474,105980.59999999999
2019-02-15,SH510310,71900,71900,1.3911122084999996,1.45,104255.0
2019-02-18,SH510310,71900,71900,1.3911122084999996,1.489,107059.1
2019-02-19,SH510310,71900,71900,1.3911122084999996,1.488,106987.2
2019-02-20,SH510310,71900,71900,1.3911122084999996,1.492,107274.8
2019-02-21,SH510310,71900,71900,1.3911122084999996,1.49,107131.0
2019-02-22,SH510310,71900,71900,1.3911122084999996,1.527,109791.29999999999
2019-02-25,SH510310,71900,71900,1.3911122084999996,1.631,117268.9
2019-02-26,SH510310,71900,71900,1.3911122084999996,1.6,115040.0
2019-02-27,SH510310,71900,71900,1.3911122084999996,1.594,114608.6
2019-02-28,SH510310,71900,71900,1.3911122084999996,1.589,114249.09999999999
