scenario,trade_date,observation_date,side,mode,requested_shares,filled_shares,unfilled_shares,price,gross_value,fees,unfilled_value
source-cost-calibration,2015-07-30,2015-07-29,buy,normal,1400,1400,0,4.155557805523456,5817.780927732838,5.0,0.0
source-cost-calibration,2015-08-06,2015-08-05,buy,normal,1400,1400,0,4.057141999518593,5679.99879932603,5.0,0.0
source-cost-calibration,2015-08-13,2015-08-12,buy,normal,1300,1300,0,4.268631284763084,5549.2206701920095,5.0,0.0
source-cost-calibration,2015-08-20,2015-08-19,buy,normal,1300,1300,0,4.075987579391865,5298.783853209424,5.0,0.0
source-cost-calibration,2015-08-27,2015-08-26,buy,buy,2500,2500,0,3.289708108012596,8224.27027003149,5.0,0.0
source-cost-calibration,2015-09-01,2015-08-31,buy,buy,1800,1800,0,3.476069953426058,6256.925916166904,5.0,0.0
source-cost-calibration,2015-09-10,2015-09-09,buy,buy,1600,1600,0,3.576579712750172,5722.527540400275,5.0,0.0
source-cost-calibration,2015-09-17,2015-09-16,buy,buy,1700,1700,0,3.47816390674531,5912.878641467027,5.0,0.0
source-cost-calibration,2015-09-24,2015-09-23,buy,buy,1700,1700,0,3.495962509958955,5943.136266930223,5.0,0.0
source-cost-calibration,2015-09-29,2015-09-28,buy,buy,1800,1800,0,3.395452750634841,6111.814951142714,5.0,0.0
source-cost-calibration,2015-10-08,2015-09-30,buy,buy,1700,1700,0,3.532606693045872,6005.431378177983,5.0,0.0
source-cost-calibration,2015-10-15,2015-10-14,buy,buy,1500,1500,0,3.6299755223911077,5444.963283586661,5.0,0.0
source-cost-calibration,2015-10-22,2015-10-21,buy,buy,1300,1300,0,3.68441830869167,4789.743801299171,5.0,0.0
source-cost-calibration,2015-10-29,2015-10-28,buy,buy,1300,1300,0,3.770270394781017,4901.3515132153225,5.0,0.0
source-cost-calibration,2015-11-05,2015-11-04,buy,buy,1100,1100,0,3.8896257339784035,4278.588307376244,5.0,0.0
source-cost-calibration,2015-11-12,2015-11-11,buy,normal,1100,1100,0,4.087504322647753,4496.254754912528,5.0,0.0
source-cost-calibration,2015-11-19,2015-11-18,buy,normal,1100,1100,0,3.9786187500466297,4376.480625051293,5.0,0.0
