scenario,trade_date,observation_date,threshold_observation_date,now,upper,lower,target_weeks,mode,target_shares,actual_shares_after
source-cost-calibration,2015-07-30,2015-07-29,2015-07-24,1.1682027468426308,1.1934785641614705,1.131371611251806,50.0,normal,1400,1400
source-cost-calibration,2015-08-06,2015-08-05,2015-07-31,1.1586639808139894,1.1930515925342267,1.1309414573451224,50.0,normal,2800,2800
source-cost-calibration,2015-08-13,2015-08-12,2015-08-07,1.1728946977521761,1.1930518360857292,1.1309402395876091,50.0,normal,4100,4100
source-cost-calibration,2015-08-20,2015-08-19,2015-08-14,1.1559430179718369,1.1930513990106149,1.1309424249631816,50.0,normal,5400,5400
source-cost-calibration,2015-08-27,2015-08-26,2015-08-21,1.0538464268522527,1.1930512233977284,1.1309433030276137,32.95739583740244,buy,7900,7900
source-cost-calibration,2015-09-01,2015-08-31,2015-08-28,1.0969100130080565,1.1930546531625161,1.1309261542036753,42.480468094848604,buy,9700,9700
source-cost-calibration,2015-09-10,2015-09-09,2015-09-02,1.1058506743851435,1.1930551821160849,1.1309235094358308,44.45744233772384,buy,11300,11300
source-cost-calibration,2015-09-17,2015-09-16,2015-09-11,1.0965624383741355,1.1930557765724146,1.1309205371541822,42.40483799451894,buy,13000,13000
source-cost-calibration,2015-09-24,2015-09-23,2015-09-18,1.0874264570362855,1.1930578071657043,1.1309103841877335,40.387406517917874,buy,14700,14700
source-cost-calibration,2015-09-29,2015-09-28,2015-09-25,1.0849335749367162,1.193059873648105,1.1309000517757302,39.83851915851498,buy,16500,16500
source-cost-calibration,2015-10-08,2015-09-30,2015-09-30,1.0788191830988487,1.1930616852150446,1.1308909939410323,38.48876436341601,buy,18200,18200
source-cost-calibration,2015-10-15,2015-10-14,2015-10-09,1.1027766148834413,1.193062515175579,1.1308868441383608,43.785799746318304,buy,19700,19700
source-cost-calibration,2015-10-22,2015-10-21,2015-10-16,1.1139433523068367,1.1930635435228427,1.1308817024020426,46.255499125322295,buy,21000,21000
source-cost-calibration,2015-10-29,2015-10-28,2015-10-23,1.1156105116742998,1.1930630058634155,1.130884390699178,46.623465857673814,buy,22300,22300
source-cost-calibration,2015-11-05,2015-11-04,2015-10-30,1.1251558295805302,1.1930624853941978,1.1308869930452663,48.7330379825788,buy,23400,23400
source-cost-calibration,2015-11-12,2015-11-11,2015-11-06,1.1482940974347458,1.1930617778500632,1.1308905307659396,50.0,normal,24500,24500
source-cost-calibration,2015-11-19,2015-11-18,2015-11-13,1.1367205671564067,1.1930611798784947,1.1308935206237818,50.0,normal,25600,25600
source-cost-calibration,2015-11-26,2015-11-25,2015-11-20,1.1417632302757879,1.1930612636759543,1.1308931016364836,50.0,normal,26600,26600
source-cost-calibration,2015-12-03,2015-12-02,2015-11-27,1.1357685145678222,1.1930621447903762,1.1308886960643745,50.0,normal,27600,27600
source-cost-calibration,2015-12-10,2015-12-09,2015-12-04,1.1251558295805302,1.1930631998617875,1.1308834207073173,48.7338237032415,buy,28700,28700
