trade_date,cash,positions_value,total_value,cash_ratio,daily_return
2020-05-15,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-18,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-19,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-20,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-21,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-22,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-25,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-26,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-27,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-28,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-29,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-01,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-02,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-03,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-04,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-05,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-08,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-09,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-10,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-11,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-12,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-15,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-16,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-17,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-18,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-19,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-22,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-23,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-24,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-29,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-30,1000000.0,0.0,1000000.0,1.0,0.0
2020-07-01,1000000.0,0.0,1000000.0,1.0,0.0
2020-07-02,121.12439002329484,1022477.1076625844,1022598.2320526077,0.00011844768182335717,0.022598232052607692
2020-07-03,121.12439002329484,1042833.0592338989,1042954.1836239222,0.00011613586859820389,0.019906108707478554
2020-07-06,121.12439002329484,1119343.3599674606,1119464.484357484,0.0001081985107306143,0.07335921551962499
2020-07-07,121.12439002329484,1108112.4901350115,1108233.6145250348,0.00010929499740468182,-0.01003235921226664
2020-07-08,121.12439002329484,1122619.0303352585,1122740.1547252818,0.0001078828342546742,0.013089785411773525
2020-07-09,121.12439002329484,1139933.287993618,1140054.4123836413,0.00010624439387068053,0.015421429068417147
2020-07-10,121.12439002329484,1119577.3364223035,1119698.4608123268,0.00010817590115772835,-0.017855245635823747
2020-07-13,121.12439002329484,1142974.981906573,1143096.1062965964,0.00010596168542268395,0.02089638085890999
2020-07-14,121.12439002329484,1132913.9943483372,1133035.1187383605,0.0001069025911201829,-0.008801523776361564
2020-07-15,121.12439002329484,1119343.3599674606,1119464.484357484,0.0001081985107306143,-0.011977240737239936
2020-07-16,121.12439002329484,1065996.728263326,1066117.8526533493,0.00011361257080710262,-0.0476537062582677
2020-07-17,121.12439002329484,1077461.5745506184,1077582.6989406417,0.00011240379985904631,0.010753826379287013
2020-07-20,121.12439002329484,1106006.7020414271,1106127.8264314504,0.00010950306748367587,0.026489964546452915
2020-07-21,121.12439002329484,1108814.4194995395,1108935.5438895628,0.00010922581631611713,0.0025383300112524765
2020-07-22,121.12439002329484,1121215.1716062024,1121336.2959962257,0.0001080178983377013,0.011182572490342935
2020-07-23,121.12439002329484,1115131.7837802924,1115252.9081703157,0.00010860710529059418,-0.005425123442120761
