trade_date,cash,positions_value,total_value,cash_ratio,daily_return
2020-05-15,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-18,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-19,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-20,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-21,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-22,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-25,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-26,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-27,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-28,1000000.0,0.0,1000000.0,1.0,0.0
2020-05-29,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-01,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-02,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-03,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-04,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-05,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-08,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-09,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-10,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-11,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-12,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-15,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-16,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-17,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-18,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-19,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-22,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-23,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-24,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-29,1000000.0,0.0,1000000.0,1.0,0.0
2020-06-30,1000000.0,0.0,1000000.0,1.0,0.0
2020-07-01,1000000.0,0.0,1000000.0,1.0,0.0
2020-07-02,288.71774855430704,1021488.729598145,1021777.4473466993,0.0002825642211070864,0.021777447346699397
2020-07-03,288.71774855430704,1041825.0040775588,1042113.7218261131,0.00027705013618703933,0.019902841398801607
2020-07-06,288.71774855430704,1118261.3460863903,1118550.0638349447,0.00025811785979828144,0.07334740960409869
2020-07-07,288.71774855430704,1107041.3325805068,1107330.0503290612,0.00026073323709449576,-0.010030855004751205
2020-07-08,288.71774855430704,1121533.8500256063,1121822.5677741608,0.0002573648960612015,0.013087802901034618
2020-07-09,288.71774855430704,1138831.3708471768,1139120.0885957312,0.00025345681411889463,0.015419123592682604
2020-07-10,288.71774855430704,1118495.096367763,1118783.8141163173,0.00025806393059266206,-0.017852616842604974
2020-07-13,288.71774855430704,1141870.12450502,1142158.8422535742,0.00025278248337564236,0.020893248402704012
2020-07-14,288.71774855430704,1131818.8624059996,1132107.580154554,0.0002550267780336668,-0.008800231392674052
2020-07-15,288.71774855430704,1118261.3460863903,1118550.0638349447,0.00025811785979828144,-0.01197546642851588
2020-07-16,288.71774855430704,1064966.2819334436,1065254.999681998,0.0002710315827107083,-0.047646561272568166
2020-07-17,288.71774855430704,1076420.0457207,1076708.7634692541,0.00026814841519821203,0.010752133330212299
2020-07-20,288.71774855430704,1104937.5800481536,1105226.297796708,0.00026122953202423064,0.026485838413321527
2020-07-21,288.71774855430704,1107742.5834246245,1108031.301173179,0.00026056822424476087,0.002537944837236239
2020-07-22,288.71774855430704,1120131.3483373707,1120420.0660859249,0.0002576870562153653,0.011180879908021302
2020-07-23,288.71774855430704,1114053.841021684,1114342.5587702384,0.00025909245436423877,-0.005424311380746283
2020-07-24,288.71774855430704,1064498.7813706985,1064787.499119253,0.0002711505805553898,-0.044470220814031625
