order_id,trade_date,symbol,side,execution,requested_shares,filled_shares,unfilled_shares,price,gross_value,commission,tax,reason
1,2020-07-02,SH510300,buy,open,207000,206700,300,4.833632390722537,999111.8151623483,599.4670890974089,0.0,partial_volume_or_cash
2,2020-07-30,SH510300,sell,open,206700,206700,0,5.366248295516223,1109203.5226832032,665.5221136099219,0.0,filled
3,2020-09-29,SH510300,buy,open,209900,209600,300,5.28643167790966,1108036.0796898648,664.8216478139188,0.0,partial_volume_or_cash
4,2021-04-02,SH510300,sell,open,209600,209600,0,5.871238249391393,1230611.537072436,738.3669222434615,0.0,filled
5,2021-06-28,SH510300,buy,open,203400,203000,400,6.0527162397813115,1228701.3966756063,737.2208380053637,0.0,partial_volume_or_cash
6,2021-07-22,SH510300,sell,open,203000,203000,0,5.957075065902963,1209286.2383783015,725.5717430269808,0.0,filled
7,2021-09-30,SH510300,buy,open,214300,214000,300,5.645608573028306,1208160.2346280576,724.8961407768345,0.0,partial_volume_or_cash
8,2021-11-03,SH510300,sell,open,214000,214000,0,5.619450254290787,1202562.3544182284,721.537412650937,0.0,filled
9,2021-12-09,SH510300,buy,open,206600,206200,400,5.823359807807788,1200776.792369966,720.4660754219794,0.0,partial_volume_or_cash
10,2022-03-10,SH510300,sell,open,206200,206200,0,4.998528033204441,1030696.4804467558,618.4178882680534,0.0,filled
11,2022-06-09,SH510300,buy,open,210100,209800,300,4.909529170011099,1030019.2198683284,618.011531920997,0.0,partial_volume_or_cash
12,2023-02-24,SH510300,sell,open,209800,209800,0,4.837302082608495,1014865.9769312623,608.9195861587573,0.0,filled
13,2023-05-22,SH510300,buy,open,217700,217300,400,4.663657213542733,1013412.712502836,608.0476275017015,0.0,partial_volume_or_cash
14,2023-11-21,SH510300,sell,open,217300,217300,0,4.314382408963898,937515.2974678549,562.5091784807129,0.0,filled
15,2024-06-13,SH510300,buy,open,218500,218100,400,4.293521167476496,936416.9666266238,561.8501799759742,0.0,partial_volume_or_cash
16,2025-04-08,SH510300,sell,open,218100,218100,0,4.457304674524002,972138.1495136848,583.2828897082109,0.0,filled
17,2025-05-16,SH510300,buy,open,201200,200900,300,4.833381634948224,971026.3704610982,582.6158222766588,0.0,partial_volume_or_cash
18,2025-09-17,SH510300,sell,open,200900,200900,0,5.687977149473356,1142714.6093291973,685.6287655975183,0.0,filled
19,2026-01-14,SH510300,buy,open,189000,188700,300,6.046389717983502,1140953.7397834868,684.572243870092,0.0,partial_volume_or_cash
