trade_date,symbol,shares,available_shares,average_cost,close,market_value
2014-01-16,SH000300,4500,4500,2215.5452569477734,2211.841552734375,9953286.987304688
2014-01-17,SH000300,4500,4500,2215.5452569477734,2178.491455078125,9803211.547851562
2014-01-20,SH000300,4500,4500,2215.5452569477734,2165.991455078125,9746961.547851562
2014-01-21,SH000300,4500,4500,2215.5452569477734,2187.411376953125,9843351.196289062
2014-01-22,SH000300,4500,4500,2215.5452569477734,2243.801513671875,10097106.811523438
2014-01-23,SH000300,4500,4500,2215.5452569477734,2231.8916015625,10043512.20703125
2014-01-24,SH000300,4500,4500,2215.5452569477734,2245.681396484375,10105566.284179688
2014-01-27,SH000300,4500,4500,2215.5452569477734,2215.921630859375,9971647.338867188
2014-01-28,SH000300,4500,4500,2215.5452569477734,2219.861572265625,9989377.075195312
2014-01-29,SH000300,4500,4500,2215.5452569477734,2227.78173828125,10025017.822265625
2014-01-30,SH000300,4500,4500,2215.5452569477734,2202.451416015625,9911031.372070312
2014-02-07,SH000300,4500,4500,2215.5452569477734,2212.4814453125,9956166.50390625
2014-02-10,SH000300,4500,4500,2215.5452569477734,2267.53173828125,10203892.822265625
2014-02-11,SH000300,4500,4500,2215.5452569477734,2285.5615234375,10285026.85546875
2014-02-12,SH000300,4500,4500,2215.5452569477734,2291.251708984375,10310632.690429688
2014-02-13,SH000300,4500,4500,2215.5452569477734,2279.551513671875,10257981.811523438
2014-02-14,SH000300,4500,4500,2215.5452569477734,2295.571533203125,10330071.899414062
2014-02-17,SH000300,4500,4500,2215.5452569477734,2311.651611328125,10402432.250976562
2014-02-18,SH000300,4500,4500,2215.5452569477734,2282.441650390625,10270987.426757812
2014-02-19,SH000300,4500,4500,2215.5452569477734,2308.66162109375,10388977.294921875
2014-02-20,SH000300,4500,4500,2215.5452569477734,2287.441650390625,10293487.426757812
2014-02-21,SH000300,4500,4500,2215.5452569477734,2264.29150390625,10189311.767578125
2014-02-24,SH000300,4500,4500,2215.5452569477734,2214.51171875,9965302.734375
2014-02-25,SH000300,4500,4500,2215.5452569477734,2157.91162109375,9710602.294921875
2014-02-26,SH000300,4500,4500,2215.5452569477734,2163.411376953125,9735351.196289062
2014-02-27,SH000300,4500,4500,2215.5452569477734,2154.111328125,9693500.9765625
2014-02-28,SH000300,4500,4500,2215.5452569477734,2178.9716796875,9805372.55859375
2014-03-03,SH000300,4500,4500,2215.5452569477734,2190.37158203125,9856672.119140625
2014-03-04,SH000300,4500,4500,2215.5452569477734,2184.271484375,9829221.6796875
2014-03-05,SH000300,4500,4500,2215.5452569477734,2163.9814453125,9737916.50390625
2014-03-06,SH000300,4500,4500,2215.5452569477734,2173.631591796875,9781342.163085938
2014-03-07,SH000300,4500,4500,2215.5452569477734,2168.361572265625,9757627.075195312
2014-03-10,SH000300,4500,4500,2215.5452569477734,2097.791259765625,9440060.668945312
2014-03-11,SH000300,4500,4500,2215.5452569477734,2108.661376953125,9488976.196289062
2014-03-12,SH000300,4500,4500,2215.5452569477734,2114.131591796875,9513592.163085938
2014-03-13,SH000300,4500,4500,2215.5452569477734,2140.33154296875,9631491.943359375
2014-03-14,SH000300,4500,4500,2215.5452569477734,2122.841552734375,9552786.987304688
2014-03-17,SH000300,4500,4500,2215.5452569477734,2143.04150390625,9643686.767578125
2014-03-18,SH000300,4500,4500,2215.5452569477734,2138.131591796875,9621592.163085938
2014-03-19,SH000300,4500,4500,2215.5452569477734,2120.871337890625,9543921.020507812
2014-03-20,SH000300,4500,4500,2215.5452569477734,2086.971435546875,9391371.459960938
2014-03-21,SH000300,4500,4500,2215.5452569477734,2158.801513671875,9714606.811523438
2014-05-08,SH000300,4500,4500,2137.9275119036615,2135.50146484375,9609756.591796875
2014-05-09,SH000300,4500,4500,2137.9275119036615,2133.91162109375,9602602.294921875
2014-05-12,SH000300,4500,4500,2137.9275119036615,2180.051513671875,9810231.811523438
2014-05-13,SH000300,4500,4500,2137.9275119036615,2174.851318359375,9786830.932617188
2014-05-14,SH000300,4500,4500,2137.9275119036615,2172.371337890625,9775671.020507812
2014-05-15,SH000300,4500,4500,2137.9275119036615,2144.08154296875,9648366.943359375
2014-05-16,SH000300,4500,4500,2137.9275119036615,2145.951416015625,9656781.372070312
2014-05-19,SH000300,4500,4500,2137.9275119036615,2115.1416015625,9518137.20703125
2014-05-20,SH000300,4500,4500,2137.9275119036615,2115.771484375,9520971.6796875
2014-05-21,SH000300,4500,4500,2137.9275119036615,2135.911376953125,9611601.196289062
2014-05-22,SH000300,4500,4500,2137.9275119036615,2130.87158203125,9588922.119140625
2014-05-23,SH000300,4500,4500,2137.9275119036615,2148.411376953125,9667851.196289062
2014-05-26,SH000300,4500,4500,2137.9275119036615,2155.9814453125,9701916.50390625
2014-05-27,SH000300,4500,4500,2137.9275119036615,2147.281494140625,9662766.723632812
2014-05-28,SH000300,4500,4500,2137.9275119036615,2169.3515625,9762082.03125
2014-05-29,SH000300,4500,4500,2137.9275119036615,2155.161376953125,9698226.196289062
2014-05-30,SH000300,4500,4500,2137.9275119036615,2156.461669921875,9704077.514648438
2014-06-03,SH000300,4500,4500,2137.9275119036615,2149.92138671875,9674646.240234375
2014-06-04,SH000300,4500,4500,2137.9275119036615,2128.271484375,9577221.6796875
2014-06-05,SH000300,4500,4500,2137.9275119036615,2150.601318359375,9677705.932617188
2014-06-06,SH000300,4500,4500,2137.9275119036615,2134.7216796875,9606247.55859375
2014-06-09,SH000300,4500,4500,2137.9275119036615,2134.281494140625,9604266.723632812
2014-06-10,SH000300,4500,4500,2137.9275119036615,2161.271484375,9725721.6796875
2014-06-11,SH000300,4500,4500,2137.9275119036615,2160.771728515625,9723472.778320312
2014-07-25,SH000300,4300,4300,2249.2572112118246,2260.45166015625,9719942.138671875
2014-07-28,SH000300,4300,4300,2249.2572112118246,2323.901611328125,9992776.928710938
2014-07-29,SH000300,4300,4300,2249.2572112118246,2331.37158203125,10024897.802734375
2014-07-30,SH000300,4300,4300,2249.2572112118246,2322.01171875,9984650.390625
2014-07-31,SH000300,4300,4300,2249.2572112118246,2350.251708984375,10106082.348632812
2014-08-01,SH000300,4300,4300,2249.2572112118246,2329.40185546875,10016427.978515625
2014-08-04,SH000300,4300,4300,2249.2572112118246,2375.62158203125,10215172.802734375
2014-08-05,SH000300,4300,4300,2249.2572112118246,2369.3515625,10188211.71875
2014-08-06,SH000300,4300,4300,2249.2572112118246,2363.2216796875,10161853.22265625
2014-08-07,SH000300,4300,4300,2249.2572112118246,2327.461669921875,10008085.180664062
2014-08-08,SH000300,4300,4300,2249.2572112118246,2331.131591796875,10023865.844726562
2014-08-11,SH000300,4300,4300,2249.2572112118246,2365.3515625,10171011.71875
2014-08-12,SH000300,4300,4300,2249.2572112118246,2357.0517578125,10135322.55859375
2014-08-13,SH000300,4300,4300,2249.2572112118246,2358.901611328125,10143276.928710938
2014-08-14,SH000300,4300,4300,2249.2572112118246,2335.95166015625,10044592.138671875
2014-08-15,SH000300,4300,4300,2249.2572112118246,2360.6416015625,10150758.88671875
2014-08-18,SH000300,4300,4300,2249.2572112118246,2374.5615234375,10210614.55078125
2014-08-19,SH000300,4300,4300,2249.2572112118246,2374.771484375,10211517.3828125
