trade_date,observation_date,score,target_position,signal_transition
2014-01-02,,,0,0
2014-01-03,2014-01-02,0.16145680985845595,0,0
2014-01-06,2014-01-03,0.20421123048786585,0,0
2014-01-07,2014-01-06,0.04560435002943526,0,0
2014-01-08,2014-01-07,0.0005267153336305972,0,0
2014-01-09,2014-01-08,0.19582578295299932,0,0
2014-01-10,2014-01-09,0.24010199997384796,0,0
2014-01-13,2014-01-10,0.1727167008444008,0,0
2014-01-14,2014-01-13,0.41178691258713784,0,0
2014-01-15,2014-01-14,0.8461166811873256,0,0
2014-01-16,2014-01-15,1.0201544416984467,1,1
2014-01-17,2014-01-16,0.8321868793880121,1,0
2014-01-20,2014-01-17,0.9001650635090165,1,0
2014-01-21,2014-01-20,0.9478301928151674,1,0
2014-01-22,2014-01-21,1.0971635803704651,1,0
2014-01-23,2014-01-22,0.7647643366302411,1,0
2014-01-24,2014-01-23,0.5508453799267442,1,0
2014-01-27,2014-01-24,0.7575213522166048,1,0
2014-01-28,2014-01-27,0.3931361360678175,1,0
2014-01-29,2014-01-28,1.0038046485948913,1,0
2014-01-30,2014-01-29,0.6803319414952135,1,0
2014-02-07,2014-01-30,-0.09020817529352684,1,0
2014-02-10,2014-02-07,-0.135441489403709,1,0
2014-02-11,2014-02-10,0.2798950597540885,1,0
2014-02-12,2014-02-11,0.5905292792795982,1,0
2014-02-13,2014-02-12,0.15493836146274087,1,0
2014-02-14,2014-02-13,0.3267097311983515,1,0
2014-02-17,2014-02-14,0.2545592473493161,1,0
2014-02-18,2014-02-17,0.13425331639299892,1,0
2014-02-19,2014-02-18,0.22026095597032624,1,0
2014-02-20,2014-02-19,0.3904649366062397,1,0
2014-02-21,2014-02-20,0.5558442854623549,1,0
2014-02-24,2014-02-21,0.47356715593965265,1,0
2014-02-25,2014-02-24,0.506042336359779,1,0
2014-02-26,2014-02-25,-0.4541334486954165,1,0
2014-02-27,2014-02-26,-0.0715332207239008,1,0
2014-02-28,2014-02-27,0.09046170910371405,1,0
2014-03-03,2014-02-28,0.04316941427407524,1,0
2014-03-04,2014-03-03,0.15109881246841633,1,0
2014-03-05,2014-03-04,0.22861940199487646,1,0
2014-03-06,2014-03-05,0.2774280862405432,1,0
2014-03-07,2014-03-06,0.24942033300824273,1,0
2014-03-10,2014-03-07,0.2997969800562117,1,0
2014-03-11,2014-03-10,0.2891994486900083,1,0
2014-03-12,2014-03-11,0.4507834383300268,1,0
2014-03-13,2014-03-12,0.5790016532559332,1,0
2014-03-14,2014-03-13,0.8582889408414826,1,0
2014-03-17,2014-03-14,1.0207118840268576,1,0
2014-03-18,2014-03-17,1.0471790734613504,1,0
2014-03-19,2014-03-18,0.8385531694380991,1,0
2014-03-20,2014-03-19,1.013601063401752,1,0
2014-03-21,2014-03-20,0.05981575540583978,1,0
2014-03-24,2014-03-21,-1.0318054380230506,0,-1
