trade_date,target,target_changed,dynamic_pool,observation_date,available_count,leader,reason,leader_momentum_percent,leader_ma_gap_percent,target_market,low_volume_streak
2006-01-05,SH511880,True,,2006-01-04,0,,no_complete_volume_history,,,,
2006-01-06,SH511880,False,,2006-01-05,0,,no_complete_volume_history,,,,
2006-01-09,SH511880,False,,2006-01-06,0,,no_complete_volume_history,,,,
2006-01-10,SH511880,False,,2006-01-09,0,,no_complete_volume_history,,,,
2006-01-11,SH511880,False,,2006-01-10,0,,no_complete_volume_history,,,,
2006-01-12,SH511880,False,,2006-01-11,0,,no_complete_volume_history,,,,
2006-01-13,SH511880,False,,2006-01-12,0,,no_complete_volume_history,,,,
2006-01-16,SH511880,False,,2006-01-13,0,,no_complete_volume_history,,,,
2006-01-17,SH511880,False,,2006-01-16,0,,no_complete_volume_history,,,,
2006-01-18,SH511880,False,,2006-01-17,0,,no_complete_volume_history,,,,
2006-01-19,SH511880,False,,2006-01-18,0,,no_complete_volume_history,,,,
2006-01-20,SH511880,False,,2006-01-19,0,,no_complete_volume_history,,,,
2006-01-23,SH511880,False,,2006-01-20,0,,no_complete_volume_history,,,,
2006-01-24,SH511880,False,,2006-01-23,0,,no_complete_volume_history,,,,
2006-01-25,SH511880,False,,2006-01-24,0,,no_complete_volume_history,,,,
2006-02-06,SH511880,False,,2006-01-25,0,,no_complete_volume_history,,,,
2006-02-07,SH511880,False,,2006-02-06,0,,no_complete_volume_history,,,,
2006-02-08,SH511880,False,,2006-02-07,0,,no_complete_volume_history,,,,
2006-02-09,SH511880,False,,2006-02-08,0,,no_complete_volume_history,,,,
2006-02-10,SH511880,False,,2006-02-09,0,,no_complete_volume_history,,,,
2006-02-13,SH511880,False,,2006-02-10,0,,no_complete_volume_history,,,,
2006-02-14,SH511880,False,,2006-02-13,0,,no_complete_volume_history,,,,
2006-02-15,SH511880,False,,2006-02-14,0,,no_complete_volume_history,,,,
2006-02-16,SH511880,False,,2006-02-15,0,,no_complete_volume_history,,,,
2006-02-17,SH511880,False,,2006-02-16,0,,no_complete_volume_history,,,,
2006-02-20,SH511880,False,,2006-02-17,0,,no_complete_volume_history,,,,
2006-02-21,SH511880,False,,2006-02-20,0,,no_complete_volume_history,,,,
2006-02-22,SH511880,False,,2006-02-21,0,,no_complete_volume_history,,,,
2006-02-23,SH511880,False,,2006-02-22,0,,no_complete_volume_history,,,,
2006-02-24,SH510050,True,SH510050,2006-02-23,1,SH510050,risk_on_leader,1.9473081328751363,1.3756242880925251,SH510050,1.0
2006-02-27,SH510050,False,SH510050,2006-02-24,1,SH510050,risk_on_leader,2.394526795895091,2.063297779332074,SH510050,2.0
2006-02-28,SH510050,False,SH510050,2006-02-27,1,SH510050,risk_on_leader,4.161849710982657,2.189844704240085,SH510050,0.0
2006-03-01,SH510050,False,SH510050,2006-02-28,1,SH510050,risk_on_leader,3.640500568828209,2.9110184219673263,SH510050,1.0
2006-03-02,SH510050,False,SH510050,2006-03-01,1,SH510050,risk_on_leader,4.908675799086759,3.45514374783511,SH510050,2.0
2006-03-03,SH510050,False,SH510050,2006-03-02,1,SH510050,risk_on_leader,2.736602052451542,1.2097122612978461,SH510050,3.0
2006-03-06,SH510050,False,SH510050,2006-03-03,1,SH510050,risk_on_leader,1.9209039548022666,1.103638558372122,SH510050,4.0
2006-03-07,SH510050,False,SH510050,2006-03-06,1,SH510050,risk_on_leader,2.5142857142857133,0.4392764857881204,SH510050,5.0
2006-03-08,SH511880,True,SH510050,2006-03-07,1,SH510050,persistent_low_volume,0.6857142857142895,-1.4032369146005474,SH510050,6.0
2006-03-09,SH511880,False,SH510050,2006-03-08,1,SH510050,persistent_low_volume,0.5733944954128489,-1.867791358237203,SH510050,7.0
