execution_date,observation_date,active_proxy_universe,factor_merged_rows,valid_candidates,selected_count,selected_sha256,future_notice_rows
2009-01-05,2008-12-31,1602,162,15,15,24e0ddab74032657ce32ff6caa618b2ed09540d753d58ee78ea03295de7a5fbb,0
2009-02-02,2009-01-23,1602,162,15,15,24e0ddab74032657ce32ff6caa618b2ed09540d753d58ee78ea03295de7a5fbb,0
2009-03-02,2009-02-27,1602,162,15,15,24e0ddab74032657ce32ff6caa618b2ed09540d753d58ee78ea03295de7a5fbb,0
2009-04-01,2009-03-31,1601,161,14,14,2d4c32973e4d4510ef98278eef2dc71bc0f9c0040505b46052ce5af55d2359d5,0
2009-05-04,2009-04-30,1599,159,11,11,5862f8b8fa8b6e894294b1b1901c1b21afeec984701aa600251a89f8c142a734,0
2009-06-01,2009-05-27,1599,159,11,11,5862f8b8fa8b6e894294b1b1901c1b21afeec984701aa600251a89f8c142a734,0
2009-07-01,2009-06-30,1599,159,11,11,5862f8b8fa8b6e894294b1b1901c1b21afeec984701aa600251a89f8c142a734,0
2009-08-03,2009-07-31,1604,159,11,11,5862f8b8fa8b6e894294b1b1901c1b21afeec984701aa600251a89f8c142a734,0
2009-09-01,2009-08-31,1614,158,12,12,73ec503b827d790d9172175f483e0fd026d3c53e4cadaacc8624c538d7b28264,0
2009-10-09,2009-09-30,1626,158,13,13,f084c90962cc99ad41593323340a1569d00a1ef4beabb5b8f599643220ce6545,0
2009-11-02,2009-10-30,1658,160,12,12,73ec503b827d790d9172175f483e0fd026d3c53e4cadaacc8624c538d7b28264,0
2009-12-01,2009-11-30,1669,160,12,12,3d7b44475ad5548307badce20789f92a5b3da19734203001bea9c46a4c060461,0
2010-01-04,2009-12-31,1695,158,10,10,6d96dd6442bfadaacc33a62f47d403588ea3d41a98768184231c8c35cba1f909,0
2010-02-01,2010-01-29,1731,157,10,10,6d96dd6442bfadaacc33a62f47d403588ea3d41a98768184231c8c35cba1f909,0
2010-03-01,2010-02-26,1753,155,8,8,777d31cbe702bc04011cdbc7e0aaf0ab341facb6f453efe5a88997b05480b585,0
2010-04-01,2010-03-31,1785,155,9,9,d38bd0cb85344d94d5fb21dd865d09d807f98cf9ac08cb2735849297e091f99f,0
2010-05-04,2010-04-30,1815,167,80,50,e282e1328169eb5ce97ee094bccae2f7da01a2d8e12e65c174f2bdaeda762f16,0
2010-06-01,2010-05-31,1841,167,80,50,e282e1328169eb5ce97ee094bccae2f7da01a2d8e12e65c174f2bdaeda762f16,0
2010-07-01,2010-06-30,1869,167,80,50,e282e1328169eb5ce97ee094bccae2f7da01a2d8e12e65c174f2bdaeda762f16,0
2010-08-02,2010-07-30,1894,167,79,50,b5960ec6a130aedda196ec331dac9f4631b5d3b5d51a2920bb679721884f6964,0
2010-09-01,2010-08-31,1925,173,82,50,8ec2cf0ab9fd5e2c9e8691ba3039f5ab6e213b952b81a03efd2f5752dd74effa,0
2010-10-08,2010-09-30,1954,173,82,50,e9e9d27f9ec639925fa1229dfb9333209025fc915a6bb836adadd76d1503f25d,0
2010-11-01,2010-10-29,1975,182,84,50,6fcc7ae0e4b146aa7fe487fb87b07fb1447300a0296614be210c0e8cecc189df,0
2010-12-01,2010-11-30,2004,182,85,50,6fcc7ae0e4b146aa7fe487fb87b07fb1447300a0296614be210c0e8cecc189df,0
2011-01-04,2010-12-31,2041,182,85,50,6f4de1af977847af28ec8e56049c67e62bf830c0dce7217605e3c9aec881c7bc,0
2011-02-01,2011-01-31,2072,182,85,50,cb989d5ac1400a0a1158f24c0bb21005af2e3e6f771bbc8802ca43d442b67e56,0
2011-03-01,2011-02-28,2098,181,85,50,124392429f04ef89c30d73edfe190f7d5452b1e3c5a37e1ec1137adb771ff591,0
2011-04-01,2011-03-31,2129,181,88,50,e087d8eb6eede022089590510db882d2cfcc8f23a6cdbc7ca1f7ba3e82a7c924,0
2011-05-03,2011-04-29,2153,190,86,50,16407f57eb776b989ffd7ef2c5bfa8bcfd73ddac01ffb9f51f4eb947980c9143,0
2011-06-01,2011-05-31,2179,190,84,50,a3b73d865bd49de8bfd2c5b7e425d62e1506393c0e3388d45882c085e6c13541,0
2011-07-01,2011-06-30,2207,190,84,50,5c693fee6d70a3a3f606834b649a075c2e7ad7b41d5d50d12fcfc2a730de4425,0
2011-08-01,2011-07-29,2227,191,86,50,6dfed5317e11d206b173b52105356d37b19c01282bc2e9cacb93ca716b4db14c,0
2011-09-01,2011-08-31,2251,193,87,50,de9c1e61f61ee4a0d2092214d63f3d69416fef7c20912f40b7ae886fa4f17852,0
2011-10-10,2011-09-30,2271,193,87,50,4c30dbbce59021463f6151cce32a4699e072457b581c41dd68603e7221736754,0
2011-11-01,2011-10-31,2281,199,100,50,23d5720582cf3801d8c001d1000fa3601adb2f91a4a4bdf61b32b5a8c65ed829,0
2011-12-01,2011-11-30,2301,199,100,50,7703d47de078683058f84333f7c94b328ae32d4da3432a9a8942885fd29b4d26,0
2012-01-04,2011-12-30,2317,199,100,50,bebee77fab5e130c5aff57483bb45f022a5089ce099e9ba91c88f3d06daf7d58,0
2012-02-01,2012-01-31,2328,199,100,50,168073aaad55334e0e4ead6d3ae5d4eb5d8d4ae289b5e43f7c3e87cbcf1f358e,0
2012-03-01,2012-02-29,2339,197,97,50,3ad4fc8e43ef4d5e7f760dd6933cd250fa2c43322ae25d602b390487441d261e,0
2012-04-05,2012-03-30,2365,198,97,50,51236992ba3209eed0e726fa7f3c8f12ccfc09d8bbb90c445aa3ecb34deeceea,0
2012-05-02,2012-04-27,2379,202,84,50,80b6a2aeccf3a0c4177ce9cc1635b32f4b5b5f9afe18316e5a3ad23133fe7cd6,0
2012-06-01,2012-05-31,2398,202,84,50,01285b6ea4ec58b71e6642684aafd82bdea290a5e850219c204b872a68370434,0
2012-07-02,2012-06-29,2420,202,84,50,df1fc6e286ae570c0fd21af5cb5db83b6606540d3f490436e95d8533c872d774,0
2012-08-01,2012-07-31,2438,203,84,50,75ddfebe90b60491696ce4f8f07c275345ee65794c4d0442141afa896090748c,0
2012-09-03,2012-08-31,2453,208,103,50,1044ce186b561bcaa0327e3eaf87dfea8b7e5c621aef21467d7a139a3f2d5391,0
2012-10-08,2012-09-28,2464,208,104,50,293f153ddf7b74ef459fd811cf3214ad3c6d57f758c0e87485895e45e8ae7909,0
2012-11-01,2012-10-31,2468,211,99,50,a8c5bc4c47b6a8de57e410ab6921daace92385c66711c4e4d1053455c94ecdc4,0
2012-12-03,2012-11-30,2469,211,99,50,3691620343a516a38b716103f55c5a5318a14431174609bda49babe81358c245,0
2013-01-04,2012-12-31,2469,211,99,50,9e0279ede91bde9b0f7a1006b6b50cef187a1357c722fde058d3d594c0b41a00,0
2013-02-01,2013-01-31,2469,211,99,50,f2e7247f0abbe2fe8acafc606a8ca2535fe7d3af89fea11b2326c102ea4685d5,0
2013-03-01,2013-02-28,2469,211,97,50,1fd3b876d6f79be4912670e0188eec88188f951c64170bb554e8b3b7f5683e05,0
2013-04-01,2013-03-29,2468,211,108,50,0e042ee232ac9cf0f3796dbb94f9436dd2aa0b1310a4175d28d225ccb12dc607,0
2013-05-02,2013-04-26,2468,211,91,50,71c6ceda59b1680301819e9d75fc1d35f6d2b4fddf1462c496bdad491e8582b8,0
2013-06-03,2013-05-31,2468,211,90,50,2065ac1f6b1be8122edb22e6d845a769f37e6d29878daf9d2cc0a3b5c3c0890f,0
2013-07-01,2013-06-28,2467,210,89,50,5a89395bb77cb46b72c1537ca2bfe48ad14feacc86481258635abd879afb53b0,0
2013-08-01,2013-07-31,2466,209,88,50,5db7ec4fbae746bd2901b97fb03e7cc705b3a3aeea82b62a9079e61b1d70b356,0
2013-09-02,2013-08-30,2465,208,87,50,e93c301a35ac4a62bee97f272505cfa9f88ab6b691589da20b1c3509cc424b2a,0
2013-10-08,2013-09-30,2466,208,89,50,b5f62702f4d6203cc3380855853dce95629c60f7912ef84e0ecda08e08356412,0
2013-11-01,2013-10-31,2466,208,95,50,f44635180b5a7001d5f0fb0ed742b2724f7760df8b22ddb19fa28aa0218dee4c,0
2013-12-02,2013-11-29,2466,208,96,50,f44635180b5a7001d5f0fb0ed742b2724f7760df8b22ddb19fa28aa0218dee4c,0
2014-01-02,2013-12-31,2467,208,96,50,bcde3187f1676bb6b6c62aa211df609e7314b7f77c4e4702f33d0276ecee6733,0
2014-02-07,2014-01-30,2514,208,97,50,5232d340bf6cd0fed9cdb47e867ac8db8b0a1928c293f4ee758e2a0ff72f7284,0
2014-03-03,2014-02-28,2519,208,97,50,bef4447b827f207791e667c96080d49a4039a10ee444de27eb70d8b8c2247479,0
2014-04-01,2014-03-31,2519,208,97,50,33d5cb5efa3fede7202f8d4c08dc2a53bd87b936b47be320a52342b9fd51aac1,0
2014-05-05,2014-04-30,2519,214,86,50,960cf9a7683d29ba248b0db6d0107bdd7d11f7530cba6f7b766789b9428905ff,0
