order_id,trade_date,symbol,side,execution,requested_shares,filled_shares,unfilled_shares,price,gross_value,commission,tax,reason
1,2018-11-21,SH601238,buy,open,109900,109600,300,9.116547225952148,999173.5759643555,599.5041455786132,0.0,partial_volume_or_cash
2,2019-01-11,SH601238,sell,open,109600,109600,0,9.418448923110962,1032262.0019729614,619.3572011837767,1032.2620019729613,filled
3,2019-05-06,SH601238,buy,open,95200,95000,200,10.840182432174682,1029817.3310565948,617.8903986339568,0.0,partial_volume_or_cash
4,2019-07-05,SH601238,sell,open,95000,95000,0,10.539436250686645,1001246.4438152313,600.7478662891388,1001.2464438152314,filled
5,2019-10-30,SH601238,buy,open,95100,94800,300,10.533897485733032,998613.4816474915,599.1680889884948,0.0,partial_volume_or_cash
6,2020-01-06,SH601238,sell,open,94800,94800,0,11.029389705657959,1045586.1440963745,627.3516864578246,1045.5861440963745,filled
7,2020-02-04,SH601238,buy,open,115500,115200,300,9.063447463989258,1044109.1478515625,626.4654887109374,0.0,partial_volume_or_cash
8,2020-02-21,SH601238,sell,open,115200,115200,0,10.480294403076172,1207329.915234375,724.397949140625,1207.329915234375,filled
9,2021-07-29,SH601238,buy,open,96000,95800,200,12.57122721862793,1204323.5675445558,722.5941405267334,0.0,partial_volume_or_cash
10,2021-08-25,SH601238,sell,open,95800,95800,0,14.978214700698853,1434912.9683269502,860.9477809961701,1434.9129683269502,filled
11,2021-09-28,SH601238,buy,open,92900,92700,200,15.439833686828614,1431272.5827690125,858.7635496614074,0.0,partial_volume_or_cash
12,2022-03-02,SH601238,sell,open,92700,92700,0,12.224167526245116,1133180.3296829222,679.9081978097532,1133.1803296829223,filled
13,2022-03-16,SH601238,buy,open,111000,110700,300,10.216446567535401,1130960.635026169,678.5763810157014,0.0,partial_volume_or_cash
14,2022-03-31,SH601238,sell,open,110700,110700,0,10.75283953666687,1190339.3367090225,714.2036020254135,1190.3393367090225,filled
15,2022-06-30,SH601238,buy,open,80200,80000,200,14.848206321716308,1187856.5057373047,712.7139034423827,0.0,partial_volume_or_cash
16,2022-10-17,SH601238,sell,open,80000,80000,0,12.121066417694092,969685.3134155273,581.8111880493163,969.6853134155274,filled
17,2023-03-14,SH601238,buy,open,93500,93300,200,10.37395891571045,967890.366835785,580.7342201014709,0.0,partial_volume_or_cash
18,2023-05-11,SH601238,sell,open,93300,93300,0,10.41699238204956,971905.389245224,583.1432335471343,971.905389245224,filled
19,2023-08-16,SH601238,buy,open,92300,92100,200,10.524894950866699,969342.8249748229,581.6056949848937,0.0,partial_volume_or_cash
20,2023-10-30,SH601238,sell,open,92100,92100,0,10.15681926727295,935443.0545158386,561.2658327095031,467.7215272579193,filled
21,2023-12-06,SH601238,buy,open,99900,99600,300,9.372809383392333,933531.8145858764,560.1190887515259,0.0,partial_volume_or_cash
22,2024-01-26,SH601238,sell,open,99600,99600,0,8.249029029846191,821603.2913726807,492.9619748236084,410.80164568634035,filled
23,2024-04-17,SH601238,buy,open,99000,98700,300,8.312544702529907,820448.1621397018,492.26889728382105,0.0,partial_volume_or_cash
24,2024-07-17,SH601238,sell,open,98700,98700,0,7.967502071380615,786392.4544452666,471.83547266715993,393.1962272226333,filled
25,2025-01-03,SH601238,buy,open,87900,87600,300,8.960501695632935,784939.9485374452,470.96396912246706,0.0,partial_volume_or_cash
26,2025-02-11,SH601238,sell,open,87600,87600,0,9.24169913482666,809572.8442108155,485.74370652648923,404.7864221054078,filled
27,2025-04-08,SH601238,buy,open,108300,108000,300,7.48357187461853,808225.7624588013,484.9354574752807,0.0,partial_volume_or_cash
28,2025-05-23,SH601238,sell,open,108000,108000,0,8.000780603408813,864084.3051681519,518.4505831008911,432.04215258407595,filled
29,2026-03-24,SH601238,buy,open,117600,117300,300,7.359648699760437,863286.7924818993,517.9720754891395,0.0,partial_volume_or_cash
30,2026-04-15,SH601238,sell,open,117300,117300,0,7.312641188621521,857772.8114253044,514.6636868551826,428.8864057126522,filled
31,2026-05-19,SH601238,buy,open,133700,133300,400,6.419633937835694,855737.203913498,513.4423223480987,0.0,partial_volume_or_cash
32,2026-07-16,SH601238,sell,open,133300,133300,0,5.069138471603393,675716.1582647323,405.4296949588394,337.8580791323662,filled
