trade_date,symbol,shares,available_shares,average_cost,close,market_value
2013-03-05,SH601238,26200,0,3.8134429413318633,3.838545799255371,100569.89994049072
2013-03-06,SH601238,26200,26200,3.8134429413318633,3.876363754272461,101560.73036193848
2013-03-07,SH601238,26200,26200,3.8134429413318633,3.907879114151001,102386.43279075623
2013-03-08,SH601238,26200,26200,3.8134429413318633,3.870060682296753,101395.58987617493
2013-03-11,SH601238,26200,26200,3.8134429413318633,3.832242488861084,100404.7532081604
2013-03-12,SH601238,26200,26200,3.8134429413318633,3.756606101989746,98423.07987213135
2013-03-13,SH601238,26200,26200,3.8134429413318633,3.6620607376098633,95945.99132537842
2013-03-14,SH601238,26200,26200,3.8134429413318633,3.706181764602661,97101.96223258972
2013-03-15,SH601238,26200,26200,3.8134429413318633,3.712484836578369,97267.10271835327
2013-03-18,SH601238,26200,26200,3.8134429413318633,3.6494545936584473,95615.71035385132
2013-03-19,SH601238,26200,26200,3.8134429413318633,3.6620607376098633,95945.99132537842
2013-03-20,SH601238,26200,26200,3.8134429413318633,4.027636528015137,105524.07703399658
2013-03-21,SH601238,26200,26200,3.8134429413318633,4.015030384063721,105193.79606246948
2013-03-22,SH601238,26200,26200,3.8134429413318633,3.9898183345794678,104533.24036598206
2013-03-25,SH601238,26200,26200,3.8134429413318633,3.9898183345794678,104533.24036598206
2013-03-26,SH601238,26200,26200,3.8134429413318633,3.91418194770813,102551.567029953
2013-03-27,SH601238,26200,26200,3.8134429413318633,3.907879114151001,102386.43279075623
2013-03-28,SH601238,26200,26200,3.8134429413318633,3.750303030014038,98257.9393863678
2013-03-29,SH601238,26200,26200,3.8134429413318633,3.769212007522583,98753.35459709167
2013-04-01,SH601238,26200,26200,3.8134429413318633,3.781818389892578,99083.64181518555
2013-04-02,SH601238,26200,26200,3.8134429413318633,3.7250912189483643,97597.38993644714
2013-04-03,SH601238,26200,26200,3.8134429413318633,3.687272787094116,96606.54702186584
2013-04-08,SH601238,26200,26200,3.8134429413318633,3.6053335666656494,94459.73944664001
2013-04-09,SH601238,26200,26200,3.8134429413318633,3.6620607376098633,95945.99132537842
2013-04-10,SH601238,26200,26200,3.8134429413318633,3.6368484497070312,95285.42938232422
2013-04-11,SH601238,26200,26200,3.8134429413318633,3.775515556335449,98918.50757598877
2013-04-12,SH601238,26200,26200,3.8134429413318633,3.6809699535369873,96441.41278266907
2013-04-15,SH601238,26200,26200,3.8134429413318633,3.737697124481201,97927.66466140747
2013-04-16,SH601238,26200,26200,3.8134429413318633,3.857454776763916,101065.3151512146
2013-04-17,SH601238,26200,26200,3.8134429413318633,3.88266658782959,101725.86460113525
2013-04-18,SH601238,26200,26200,3.8134429413318633,3.838545799255371,100569.89994049072
2013-04-19,SH601238,26200,26200,3.8134429413318633,3.958303213119507,103707.54418373108
2013-04-22,SH601238,26200,26200,3.8134429413318633,4.015030384063721,105193.79606246948
2013-06-25,SH601238,22700,0,4.61302680735588,4.828121185302734,109598.35090637207
2013-06-26,SH601238,22700,22700,4.61302680735588,4.94157600402832,112173.77529144287
2013-06-27,SH601238,22700,22700,4.61302680735588,4.783999919891357,108596.79818153381
2013-06-28,SH601238,22700,22700,4.61302680735588,4.828121185302734,109598.35090637207
2013-07-01,SH601238,22700,22700,4.61302680735588,4.973091125488281,112889.16854858398
2013-07-02,SH601238,22700,22700,4.61302680735588,5.086545467376709,115464.5821094513
