observation_date,momentum_days,stock_num,epo_w,selected
2024-09-30,30,2,0.1,SZ159740|SH515700
2024-09-30,30,2,0.2,SZ159740|SH515700
2024-09-30,30,2,0.3,SZ159740|SH515700
2024-09-30,30,3,0.1,SZ159740|SH515700|SH512720
2024-09-30,30,3,0.2,SZ159740|SH515700|SH512720
2024-09-30,30,3,0.3,SZ159740|SH515700|SH512720
2022-11-30,34,2,0.1,SZ159740|SH512720
2024-09-30,34,2,0.1,SZ159740|SH515700
2022-11-30,34,2,0.2,SZ159740|SH512720
2024-09-30,34,2,0.2,SZ159740|SH515700
2022-11-30,34,2,0.3,SZ159740|SH512720
2024-09-30,34,2,0.3,SZ159740|SH515700
2023-01-31,40,2,0.1,SZ159992|SZ159740
2023-01-31,40,2,0.2,SZ159992|SZ159740
2023-01-31,40,2,0.3,SZ159992|SZ159740
2022-11-30,40,3,0.2,SH512720|SZ159992|SZ159740
2023-09-28,34,3,0.2,SZ159992
2023-10-31,34,3,0.2,SZ159992
2022-12-30,34,3,0.2,SZ159740|SH510150|SH510300
2023-09-28,34,3,0.2,SZ159992
2023-10-31,34,3,0.2,SZ159992
2024-01-31,34,3,0.2,SH515790
